frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,-33.7,-19.5,1109.6,-0.039,-0.023,0.007,-113.2,-112.4,-109.8,-105.3,-96.4,-82.8,-67.4,-51.1,-33.4,-15.9,-0.6,13.0,23.2,29.5,33.1,35.8,37.3,-95.5,-85.8,-71.7,-57.4,-44.4,-19.5,-6.9,5.8,17.8,25.3,-31.5,-31.5,-31.4,-31.2,-47.2,-40.0,-32.6,-25.3,-18.9,-78.9,-70.7,-61.5,-53.9,-61.9,-71.1,-13.9,-5.6,3.4,10.3,3.5,-5.3,-59.8,-49.0,-39.4,-33.3,-26.6,-18.0,-9.8,-18.4,-26.8,-33.9,-40.6,-49.8,-55.5,-39.6,-33.4,-26.6,-14.1,-26.8,-33.6,-39.9,-53.6,-31.9,-10.3,10.1,27.7,41.5,50.8,56.7,58.2,56.3,48.5,37.7,23.3,6.0,-12.4,-31.1,-49.6,-70.5,-80.9,-85.0,-83.4,-78.6,-78.2,-81.6,-82.2,-78.7,-69.4,-62.7,-51.1,-39.7,-28.0,-17.8,-15.6,-13.6,-15.3,-17.4,-59.0,-63.0,-63.0,-58.4,-56.5,-56.4,-57.3,-61.6,-60.9,-56.6,-54.5,-55.0,9.8,3.3,0.4,2.2,0.9,4.5,10.7,16.1,17.9,18.2,17.7,15.6,9.6,6.7,7.4,7.0,10.6,9.0,9.6,9.2,1172.7,1172.5,1172.5,1169.3,1160.6,1148.7,1133.4,1119.0,1116.4,1124.2,1138.7,1150.1,1156.3,1158.2,1158.9,1160.1,1163.1,1136.9,1131.0,1124.8,1118.3,1112.6,1113.9,1118.9,1124.5,1129.6,1135.0,1111.1,1102.8,1094.2,1086.2,1101.7,1098.5,1096.0,1098.1,1101.0,1127.4,1124.4,1123.0,1121.7,1121.5,1122.9,1123.4,1124.2,1125.4,1128.5,1124.3,1123.0,1113.4,1103.1,1098.5,1097.9,1099.4,1105.1,1115.4,1104.4,1098.5,1096.5,1097.0,1101.8,1110.9,1099.8,1099.3,1101.1,1112.2,1100.6,1098.5,1099.3
2,0,0.033,0.98,1,-33.8,-18.2,1111.3,-0.001,-0.009,0.003,-112.4,-112.2,-110.0,-105.2,-95.9,-81.8,-65.9,-49.7,-32.4,-15.4,-0.4,13.1,23.4,29.9,33.7,36.1,37.3,-94.2,-85.2,-72.1,-58.7,-46.4,-18.7,-6.6,5.2,16.4,23.5,-32.0,-32.2,-32.1,-32.0,-47.4,-40.4,-33.2,-26.0,-19.7,-78.8,-70.7,-61.6,-54.2,-62.1,-71.1,-14.2,-6.1,2.8,9.7,3.0,-5.7,-59.0,-48.9,-39.5,-33.6,-27.2,-18.7,-10.8,-19.0,-27.2,-34.1,-40.6,-49.5,-54.8,-39.6,-33.6,-27.1,-15.0,-27.3,-33.8,-39.9,-54.3,-32.5,-10.5,10.5,28.7,43.0,52.4,58.3,59.6,57.0,48.6,37.6,23.5,6.5,-12.0,-30.8,-49.5,-70.3,-80.2,-84.1,-82.5,-78.1,-77.6,-80.7,-81.3,-78.1,-69.5,-61.1,-49.1,-37.5,-25.5,-15.7,-13.5,-11.6,-13.3,-15.5,-57.8,-61.8,-61.7,-57.0,-55.1,-55.1,-56.0,-60.4,-59.8,-55.6,-53.3,-53.7,11.5,5.2,2.1,3.9,2.5,6.1,12.1,18.4,20.6,21.1,20.5,18.1,11.4,8.8,9.3,8.9,12.1,11.4,12.0,11.6,1172.9,1174.2,1175.8,1173.7,1165.4,1153.3,1137.4,1123.8,1121.8,1129.3,1142.5,1153.1,1158.6,1159.9,1159.3,1159.2,1161.3,1135.7,1130.3,1124.7,1118.8,1113.5,1114.4,1118.7,1123.5,1127.2,1131.4,1111.5,1103.6,1095.3,1087.5,1103.1,1100.2,1097.9,1099.7,1102.2,1127.1,1123.7,1122.2,1120.9,1121.0,1122.5,1122.5,1122.8,1123.9,1127.1,1123.0,1121.8,1115.2,1104.7,1100.1,1099.5,1100.9,1106.7,1116.9,1107.0,1101.6,1099.6,1100.0,1104.2,1112.8,1101.9,1101.4,1103.1,1113.7,1103.2,1101.4,1102.0
3,0,0.067,0.98,1,-34.0,-16.3,1111.2,0.024,-0.011,0.001,-112.7,-112.6,-110.2,-105.2,-95.7,-81.7,-65.8,-49.7,-32.4,-15.5,-0.8,12.7,22.9,29.5,33.4,35.9,37.1,-93.7,-84.7,-71.7,-58.5,-46.5,-18.8,-6.9,4.9,16.0,23.1,-32.3,-32.4,-32.4,-32.2,-47.5,-40.6,-33.4,-26.3,-20.0,-79.0,-71.0,-61.8,-54.4,-62.3,-71.4,-14.4,-6.2,2.6,9.5,2.9,-5.9,-57.9,-48.2,-39.2,-33.8,-27.9,-19.7,-12.1,-20.0,-27.9,-34.2,-40.3,-48.8,-53.7,-39.4,-33.8,-27.8,-16.3,-27.9,-34.0,-39.6,-53.1,-31.4,-9.5,11.5,29.8,44.4,54.2,60.2,61.5,58.8,50.2,39.0,24.6,7.4,-11.3,-30.4,-49.4,-68.9,-78.5,-82.2,-80.4,-75.9,-75.7,-78.9,-79.7,-76.6,-68.1,-59.1,-46.7,-34.8,-22.6,-13.5,-11.2,-9.2,-10.9,-13.2,-56.0,-60.0,-59.9,-55.1,-53.1,-53.0,-54.3,-58.7,-58.1,-54.0,-51.6,-51.9,14.1,7.5,4.2,5.9,4.5,8.4,14.6,20.9,23.2,23.6,23.0,20.6,13.8,10.9,11.4,11.0,14.5,13.8,14.4,14.0,1171.2,1172.9,1175.1,1173.5,1166.1,1154.8,1139.4,1126.3,1124.4,1131.7,1144.5,1154.7,1160.1,1161.0,1160.0,1159.3,1160.5,1133.4,1128.1,1122.8,1117.2,1112.0,1112.6,1116.8,1121.4,1125.2,1129.4,1110.3,1102.7,1094.8,1087.4,1102.6,1099.9,1097.8,1099.6,1102.0,1126.0,1122.6,1120.9,1119.5,1119.9,1121.5,1120.9,1121.1,1122.3,1125.7,1121.6,1120.3,1114.9,1104.6,1100.0,1099.5,1100.8,1106.6,1116.6,1107.1,1102.2,1100.4,1100.8,1104.5,1112.4,1102.1,1101.5,1103.1,1113.4,1103.6,1101.9,1102.5
4,0,0.100,0.98,1,-34.1,-14.0,1107.5,0.062,-0.015,-0.002,-112.8,-112.7,-110.3,-105.2,-95.8,-81.9,-66.1,-49.8,-32.4,-15.2,-0.7,12.7,22.8,29.3,33.1,35.5,36.6,-93.3,-84.5,-71.7,-58.5,-46.5,-19.2,-7.3,4.4,15.4,22.1,-32.4,-32.4,-32.3,-32.1,-47.5,-40.5,-33.3,-26.1,-19.9,-78.9,-71.0,-62.0,-54.7,-62.4,-71.5,-14.6,-6.7,2.1,8.9,2.3,-6.3,-57.1,-47.8,-39.0,-33.7,-28.0,-20.1,-12.9,-20.3,-28.0,-34.1,-40.1,-48.3,-52.9,-39.2,-33.7,-28.0,-17.0,-28.1,-33.9,-39.4,-52.3,-30.5,-8.6,12.5,31.2,46.2,56.5,62.9,64.2,61.2,51.9,40.0,25.1,7.6,-11.1,-30.3,-49.3,-67.1,-76.9,-80.8,-79.1,-74.6,-74.4,-77.5,-78.3,-75.1,-66.4,-56.6,-43.8,-31.5,-18.9,-10.5,-8.1,-5.9,-7.8,-10.3,-53.6,-57.5,-57.4,-52.6,-50.6,-50.6,-52.1,-56.4,-55.9,-51.9,-49.4,-49.6,17.7,10.6,7.2,9.0,7.5,11.4,17.9,24.8,27.1,27.5,27.0,24.5,17.4,14.0,14.4,14.1,17.9,17.7,18.4,17.9,1163.7,1166.5,1169.7,1169.1,1162.4,1151.8,1137.2,1124.7,1122.8,1129.9,1141.8,1151.3,1156.1,1156.2,1154.5,1153.0,1153.4,1125.7,1120.8,1115.6,1110.3,1105.6,1106.7,1110.7,1114.9,1118.3,1122.3,1104.8,1097.9,1090.9,1084.4,1098.7,1096.3,1094.3,1095.9,1098.1,1119.0,1115.6,1113.9,1112.6,1113.3,1114.9,1114.7,1114.7,1115.9,1119.4,1115.5,1114.2,1110.6,1100.8,1096.5,1096.0,1097.3,1103.1,1112.9,1104.3,1099.7,1097.8,1098.2,1101.2,1108.3,1098.7,1098.2,1099.7,1109.8,1100.8,1099.1,1099.6
5,0,0.133,0.98,1,-34.2,-11.0,1099.5,0.108,-0.016,-0.004,-112.2,-112.2,-109.9,-104.8,-95.4,-81.6,-65.9,-49.6,-32.4,-15.4,-1.0,12.2,22.2,28.7,32.5,34.9,35.9,-92.5,-84.0,-71.2,-57.9,-46.0,-20.0,-8.2,3.4,14.4,21.2,-32.4,-32.4,-32.3,-32.1,-47.6,-40.6,-33.2,-26.0,-19.7,-78.6,-70.6,-61.5,-54.2,-62.0,-71.2,-14.9,-6.9,2.0,8.7,2.3,-6.5,-57.3,-47.7,-38.9,-33.7,-28.2,-20.3,-12.9,-20.5,-28.2,-34.1,-40.0,-48.3,-53.1,-39.1,-33.8,-28.2,-16.9,-28.4,-34.0,-39.4,-51.5,-29.6,-7.5,13.9,32.9,48.3,59.1,65.8,66.9,63.6,54.2,41.8,26.3,8.5,-10.5,-30.0,-49.4,-64.0,-74.2,-78.3,-76.7,-72.0,-72.0,-75.3,-76.3,-73.0,-64.1,-53.4,-40.2,-27.4,-14.4,-6.4,-3.9,-1.7,-3.6,-6.2,-50.1,-54.1,-53.8,-48.8,-46.7,-46.7,-48.5,-53.1,-52.7,-48.8,-45.9,-46.0,21.4,14.8,11.4,13.2,11.7,15.4,21.4,28.8,31.1,31.5,31.0,28.5,21.2,18.1,18.6,18.2,21.6,21.9,22.5,22.0,1152.9,1156.2,1160.0,1160.2,1154.9,1145.6,1132.1,1120.2,1118.6,1125.1,1136.2,1145.1,1148.9,1148.6,1146.3,1144.2,1144.0,1114.7,1109.7,1104.2,1098.8,1094.4,1095.2,1098.8,1102.8,1106.2,1110.0,1094.6,1088.2,1081.6,1075.6,1090.3,1088.0,1086.0,1087.7,1089.8,1108.6,1104.7,1103.0,1101.6,1102.7,1104.3,1103.6,1103.4,1104.6,1108.3,1104.5,1103.2,1103.7,1093.6,1088.9,1088.5,1089.6,1095.5,1105.9,1096.9,1092.2,1090.4,1090.7,1094.0,1101.4,1091.3,1090.7,1092.1,1102.7,1093.2,1091.5,1092.1
6,0,0.167,0.98,1,-34.2,-7.4,1093.9,0.159,-0.019,-0.006,-111.5,-111.7,-109.4,-104.3,-95.0,-81.4,-65.9,-49.9,-32.7,-15.6,-1.3,11.9,21.6,28.1,32.0,34.5,35.4,-91.7,-83.4,-71.0,-58.0,-46.4,-19.5,-8.1,2.9,13.5,20.0,-32.3,-32.3,-32.2,-32.0,-47.1,-40.3,-33.2,-26.1,-20.0,-78.1,-70.2,-61.1,-53.9,-61.6,-70.8,-15.0,-7.0,1.8,8.4,2.2,-6.6,-55.9,-47.1,-38.9,-33.7,-28.3,-20.9,-14.3,-21.2,-28.4,-34.3,-40.1,-47.8,-51.9,-39.1,-33.8,-28.3,-18.2,-28.5,-34.1,-39.4,-49.7,-27.9,-6.1,15.4,34.8,50.8,62.2,69.2,70.3,66.7,56.4,43.1,27.0,8.8,-10.2,-29.6,-49.0,-61.4,-71.3,-75.2,-73.5,-69.1,-69.2,-72.3,-73.3,-70.2,-61.8,-49.6,-36.1,-22.9,-9.7,-1.8,0.7,2.9,1.0,-1.5,-46.5,-50.3,-50.0,-44.8,-42.7,-42.8,-44.8,-49.4,-49.1,-45.3,-42.0,-42.1,26.4,19.8,16.4,18.3,16.8,20.5,26.4,33.5,35.8,36.3,35.6,33.3,26.1,23.1,23.7,23.3,26.6,26.5,27.2,26.7,1142.8,1147.5,1152.7,1154.2,1149.8,1141.5,1129.0,1118.2,1116.8,1123.0,1132.8,1140.6,1143.4,1142.3,1139.3,1136.2,1135.2,1104.7,1099.5,1094.0,1088.8,1084.8,1086.1,1089.3,1093.0,1095.9,1099.5,1086.4,1080.6,1074.7,1069.3,1084.4,1082.2,1080.6,1081.8,1083.7,1099.5,1095.1,1093.4,1092.3,1093.7,1095.3,1095.0,1094.4,1095.4,1099.6,1095.9,1094.6,1097.1,1087.8,1083.7,1083.3,1084.4,1090.0,1099.6,1092.1,1088.4,1086.6,1086.9,1088.9,1094.7,1086.4,1085.8,1087.3,1096.4,1088.7,1087.2,1087.6
7,0,0.200,0.98,1,-34.3,-3.5,1091.2,0.209,-0.024,-0.009,-111.7,-111.8,-109.5,-104.2,-94.9,-81.3,-66.1,-50.3,-33.2,-15.9,-1.4,12.0,21.6,27.8,31.6,33.9,34.6,-91.6,-83.5,-71.3,-58.6,-47.1,-19.0,-8.1,2.6,12.8,19.2,-32.3,-32.3,-32.1,-31.8,-46.8,-40.1,-33.0,-25.9,-19.8,-78.3,-70.4,-61.2,-54.1,-61.8,-71.0,-14.8,-7.1,1.9,8.4,2.3,-6.5,-55.7,-46.9,-38.6,-33.5,-28.1,-20.7,-14.2,-21.1,-28.4,-34.2,-40.0,-47.6,-51.6,-38.9,-33.6,-28.2,-18.1,-28.4,-33.9,-39.3,-47.2,-25.6,-4.1,17.3,37.0,53.4,65.5,73.0,74.2,70.3,59.3,45.1,28.5,10.1,-8.7,-27.9,-47.1,-57.4,-67.1,-70.9,-69.2,-64.8,-65.1,-68.4,-69.6,-66.9,-58.8,-45.2,-31.4,-17.9,-4.3,3.1,5.7,7.9,6.0,3.3,-42.1,-45.9,-45.5,-40.3,-38.0,-38.2,-40.8,-45.4,-45.2,-41.5,-38.0,-37.9,31.2,24.7,21.4,23.3,21.7,25.2,30.9,38.2,40.6,41.2,40.5,38.1,31.0,28.3,28.8,28.4,31.3,31.3,32.0,31.4,1135.4,1141.2,1147.7,1150.2,1146.9,1139.6,1128.5,1118.6,1117.0,1122.7,1131.7,1138.9,1140.6,1138.1,1134.0,1129.9,1127.8,1096.7,1091.6,1086.4,1081.8,1078.5,1080.1,1082.9,1086.0,1088.4,1091.6,1080.9,1076.1,1071.1,1066.6,1081.5,1079.6,1078.1,1079.1,1080.8,1093.1,1088.6,1087.0,1086.2,1087.7,1089.3,1089.5,1088.5,1089.5,1093.8,1090.4,1089.2,1095.1,1085.8,1081.7,1081.4,1082.5,1088.2,1097.8,1090.7,1087.0,1085.2,1085.4,1087.3,1092.6,1084.6,1084.2,1085.6,1094.6,1086.9,1085.3,1085.7
8,0,0.233,0.98,1,-34.4,0.5,1089.2,0.263,-0.028,-0.010,-111.4,-111.7,-109.3,-104.0,-94.7,-81.1,-66.1,-50.4,-33.3,-16.1,-1.8,11.4,20.8,27.1,30.9,33.3,34.0,-91.1,-83.1,-71.2,-58.9,-47.7,-18.4,-7.9,2.3,12.0,18.4,-32.2,-32.1,-31.9,-31.6,-46.7,-40.0,-32.8,-25.8,-19.7,-78.2,-70.3,-61.0,-53.9,-61.7,-71.0,-14.8,-7.1,1.9,8.3,2.4,-6.5,-55.4,-46.7,-38.7,-33.5,-28.1,-21.0,-14.8,-21.4,-28.5,-34.3,-40.1,-47.6,-51.3,-39.0,-33.7,-28.2,-18.6,-28.5,-34.0,-39.4,-44.6,-23.1,-1.9,19.5,39.5,56.3,68.7,76.4,77.4,73.2,61.7,46.9,30.0,11.6,-7.0,-26.1,-45.2,-53.9,-63.2,-66.8,-65.0,-60.7,-61.2,-64.4,-65.8,-63.4,-55.8,-40.7,-26.5,-12.6,1.3,8.0,10.7,13.0,11.0,8.3,-37.7,-41.4,-40.9,-35.5,-33.3,-33.5,-36.3,-41.1,-41.0,-37.5,-33.6,-33.4,36.1,29.7,26.3,28.3,26.6,30.0,35.6,43.0,45.3,46.0,45.3,43.1,36.1,33.2,33.7,33.3,36.2,36.0,36.8,36.3,1128.6,1135.6,1143.3,1147.1,1145.1,1139.1,1129.2,1120.1,1118.3,1123.4,1131.4,1137.8,1138.4,1134.9,1129.8,1124.7,1121.8,1089.3,1084.4,1079.2,1075.0,1072.1,1073.9,1076.5,1079.2,1081.4,1084.4,1076.0,1072.1,1068.1,1064.5,1079.5,1077.7,1076.4,1077.1,1078.6,1087.5,1082.6,1081.1,1080.4,1082.2,1083.8,1084.2,1082.9,1083.9,1088.6,1085.2,1084.0,1093.6,1084.5,1080.4,1080.3,1081.2,1087.0,1096.4,1090.0,1086.6,1084.8,1085.1,1086.4,1091.1,1083.7,1083.2,1084.6,1093.2,1086.1,1084.7,1085.0
9,0,0.267,0.98,1,-34.2,4.5,1083.7,0.323,-0.036,-0.001,-111.0,-111.7,-109.6,-104.5,-95.4,-81.8,-66.5,-50.3,-32.9,-15.6,-1.5,11.4,20.4,26.5,30.4,32.9,33.5,-89.8,-81.5,-70.0,-58.3,-47.7,-17.0,-6.9,2.6,11.8,18.1,-31.5,-31.5,-31.3,-31.1,-46.3,-39.6,-32.5,-25.5,-19.4,-77.4,-69.5,-60.4,-53.4,-61.2,-70.4,-14.4,-6.8,2.1,8.4,2.6,-6.2,-55.1,-46.6,-38.7,-33.3,-27.8,-20.8,-15.0,-21.3,-28.3,-34.2,-40.2,-47.5,-51.0,-39.0,-33.5,-27.9,-18.9,-28.2,-33.8,-39.4,-43.5,-22.6,-1.9,19.5,40.0,57.7,71.0,79.1,80.1,75.5,63.5,48.5,31.7,14.1,-3.8,-22.3,-41.0,-50.6,-59.0,-62.0,-59.8,-55.6,-56.3,-59.4,-60.9,-59.2,-52.5,-35.7,-21.4,-7.5,6.5,12.6,15.4,17.8,15.9,13.0,-33.5,-36.9,-36.3,-30.8,-28.7,-29.0,-31.9,-36.5,-36.6,-33.4,-29.3,-29.0,41.1,34.7,31.2,33.2,31.4,34.7,40.3,47.5,49.9,50.7,50.1,48.0,41.1,38.1,38.6,38.0,41.0,40.6,41.5,41.0,1118.0,1126.6,1136.1,1141.5,1140.8,1135.6,1126.3,1117.4,1115.4,1120.3,1127.9,1134.0,1133.8,1129.0,1122.3,1115.8,1111.9,1076.9,1072.2,1067.5,1064.0,1061.8,1064.0,1066.7,1069.2,1071.4,1074.5,1067.2,1064.4,1061.5,1059.0,1074.2,1072.7,1071.4,1071.9,1073.1,1077.6,1072.6,1071.4,1071.2,1073.0,1074.4,1075.8,1074.3,1075.5,1080.5,1077.2,1075.8,1089.0,1079.4,1075.7,1075.7,1076.7,1082.7,1092.4,1086.3,1083.1,1081.2,1081.4,1082.3,1086.3,1079.3,1078.9,1080.4,1089.1,1082.1,1080.7,1080.9
10,0,0.300,0.98,1,-34.2,7.9,1078.6,0.359,-0.045,0.004,-111.1,-111.8,-109.8,-104.8,-95.8,-82.3,-66.9,-50.6,-33.0,-15.7,-1.6,11.1,20.0,26.0,29.8,32.3,33.0,-89.9,-82.2,-70.7,-58.6,-47.6,-16.8,-6.5,3.2,12.4,18.3,-31.4,-31.3,-31.1,-30.9,-46.1,-39.4,-32.3,-25.4,-19.4,-77.2,-69.4,-60.2,-53.2,-61.0,-70.2,-14.3,-6.7,2.3,8.5,2.8,-6.1,-54.7,-46.3,-38.4,-33.1,-27.8,-20.8,-15.0,-21.3,-28.3,-34.0,-39.9,-47.1,-50.6,-38.8,-33.3,-27.9,-18.9,-28.2,-33.7,-39.1,-41.6,-21.4,-1.5,19.4,40.0,58.1,72.3,81.3,82.7,77.8,65.2,49.8,33.1,15.8,-1.6,-19.6,-37.9,-45.6,-54.3,-57.5,-55.2,-50.9,-51.5,-54.8,-56.4,-54.3,-47.4,-31.1,-16.8,-2.8,11.2,16.7,19.5,22.0,20.0,17.1,-29.5,-32.9,-32.3,-26.8,-24.6,-25.0,-27.9,-32.6,-32.7,-29.5,-25.3,-25.0,44.4,38.7,35.6,37.5,35.7,38.6,43.5,50.9,53.4,54.2,53.6,51.5,44.5,42.2,42.7,42.0,44.4,44.3,45.2,44.7,1111.3,1120.6,1130.5,1136.2,1136.0,1131.5,1123.2,1115.1,1113.4,1118.4,1125.7,1131.4,1130.9,1125.5,1118.3,1111.2,1106.6,1070.5,1064.9,1059.5,1056.0,1054.0,1056.8,1059.5,1062.3,1064.9,1068.8,1060.2,1057.6,1054.9,1052.6,1068.8,1067.4,1066.2,1066.7,1067.9,1070.7,1065.7,1064.5,1064.8,1066.6,1067.9,1069.7,1068.3,1069.6,1075.0,1071.7,1070.2,1084.5,1074.7,1071.1,1071.4,1072.3,1078.6,1088.9,1082.6,1079.3,1077.3,1077.3,1078.0,1081.9,1074.9,1074.8,1076.3,1085.3,1078.0,1076.5,1076.5
