frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,3.0,5.2,1338.9,0.079,0.061,0.002,-70.6,-70.1,-67.6,-63.4,-55.7,-43.6,-29.5,-13.9,3.9,21.8,38.1,52.8,63.6,70.1,73.6,76.0,77.1,-56.7,-47.3,-34.6,-21.8,-10.1,16.9,29.4,41.8,53.6,61.7,3.8,3.4,3.1,2.9,-11.0,-4.2,2.6,9.7,16.1,-41.8,-33.9,-24.4,-16.8,-25.0,-34.6,22.4,30.3,39.8,47.3,40.3,31.1,-23.3,-13.4,-4.0,2.2,9.0,18.5,27.9,18.4,9.2,1.9,-4.9,-14.1,-19.1,-4.0,2.3,9.2,23.4,9.0,2.1,-4.3,-32.6,-11.9,8.9,28.9,46.8,61.6,72.5,80.2,82.1,79.6,70.8,59.4,44.9,27.7,9.4,-9.2,-27.8,-50.2,-58.7,-61.3,-59.3,-54.2,-53.9,-58.1,-59.3,-56.7,-49.0,-36.3,-24.1,-12.2,-0.1,10.2,12.4,14.3,12.6,10.4,-34.1,-38.8,-38.4,-32.4,-30.3,-30.5,-31.7,-37.4,-37.2,-32.4,-29.3,-29.3,36.6,30.9,28.1,29.9,28.4,31.6,36.9,44.1,46.8,47.3,46.7,43.8,36.6,34.9,35.4,34.9,37.1,37.5,38.2,37.6,1396.6,1398.6,1400.6,1400.3,1394.2,1384.3,1371.0,1357.3,1353.1,1358.3,1370.1,1379.4,1383.1,1382.8,1381.3,1380.3,1380.7,1358.2,1351.7,1344.9,1338.0,1333.0,1332.0,1335.7,1340.3,1345.0,1350.3,1333.2,1327.0,1320.5,1314.4,1331.5,1328.6,1326.3,1327.1,1328.8,1352.3,1347.7,1345.5,1344.8,1345.3,1347.5,1343.9,1343.5,1344.3,1347.9,1344.1,1343.2,1346.8,1334.9,1329.4,1328.6,1329.2,1334.7,1345.1,1335.9,1330.9,1329.9,1330.8,1335.9,1344.0,1331.7,1330.7,1331.6,1342.4,1331.8,1330.6,1331.7
2,0,0.033,0.98,1,2.3,4.8,1339.9,0.041,0.089,0.002,-70.3,-69.8,-66.9,-62.3,-54.5,-42.4,-28.6,-13.5,3.8,21.5,37.7,52.4,63.1,69.3,72.9,75.3,76.6,-56.6,-47.4,-35.9,-24.3,-13.4,18.5,30.2,41.4,52.1,59.8,3.2,2.6,2.1,1.7,-11.2,-4.8,1.6,8.4,14.6,-42.1,-34.5,-24.9,-17.5,-25.7,-35.2,21.7,29.3,39.0,46.5,39.6,30.2,-22.6,-13.3,-4.2,1.1,6.6,16.0,25.6,15.8,6.6,0.5,-5.3,-14.1,-18.7,-4.1,1.2,6.9,21.1,6.7,0.9,-4.5,-32.4,-11.0,10.4,30.9,48.9,63.6,73.7,80.4,81.9,79.5,71.6,60.8,46.5,29.5,11.2,-7.6,-26.2,-51.8,-59.9,-62.8,-61.2,-57.1,-56.6,-59.8,-60.7,-58.5,-51.4,-37.8,-25.7,-14.0,-2.0,9.1,11.0,12.8,11.2,9.0,-34.3,-39.3,-39.0,-33.0,-30.6,-30.8,-32.2,-38.0,-37.8,-32.7,-29.6,-29.6,36.6,30.3,27.0,28.6,27.3,31.0,36.8,44.0,46.1,46.5,46.0,43.5,36.5,33.8,34.2,33.8,37.0,37.2,37.6,37.2,1401.3,1402.6,1403.5,1401.6,1394.6,1384.0,1370.6,1356.8,1351.8,1355.8,1367.3,1376.6,1380.2,1379.4,1378.1,1377.5,1378.7,1360.3,1355.4,1349.6,1343.2,1337.6,1335.4,1339.7,1343.3,1346.5,1349.9,1336.1,1329.7,1322.9,1316.3,1332.6,1329.8,1327.2,1327.5,1328.9,1355.2,1350.6,1348.1,1346.7,1347.5,1349.9,1345.5,1345.2,1345.8,1349.0,1345.0,1344.4,1347.4,1335.8,1329.9,1329.1,1329.5,1334.7,1344.8,1334.7,1329.9,1329.1,1330.1,1335.6,1344.6,1331.8,1330.9,1331.5,1342.0,1331.6,1330.7,1331.7
3,0,0.067,0.98,1,1.9,4.5,1336.6,0.028,0.096,0.002,-70.4,-69.8,-66.7,-61.9,-54.0,-42.0,-28.4,-13.5,3.5,21.0,37.2,51.9,62.5,68.8,72.5,75.0,76.3,-56.8,-47.7,-36.1,-24.3,-13.4,17.9,29.6,40.9,51.7,59.4,2.9,2.2,1.6,1.2,-11.5,-5.2,1.1,7.8,13.9,-42.3,-34.7,-25.1,-17.8,-25.9,-35.5,21.2,28.9,38.6,46.1,39.1,29.7,-22.3,-13.4,-4.7,0.4,5.9,14.9,24.2,14.7,5.8,-0.1,-5.8,-14.3,-18.4,-4.6,0.6,6.2,19.6,5.9,0.3,-5.0,-32.4,-10.8,10.8,31.4,49.5,64.1,74.1,80.5,81.9,79.6,71.7,60.9,46.5,29.5,11.1,-7.8,-26.6,-51.7,-60.1,-63.2,-61.6,-57.4,-57.0,-60.2,-61.1,-58.8,-51.5,-38.4,-26.4,-14.7,-2.7,8.5,10.4,12.1,10.6,8.4,-34.8,-39.8,-39.5,-33.5,-31.1,-31.2,-32.8,-38.6,-38.3,-33.2,-30.1,-30.2,36.7,29.9,26.3,28.0,26.7,30.7,36.9,43.7,45.7,46.0,45.5,43.1,36.4,33.3,33.7,33.3,37.0,36.6,37.0,36.7,1399.3,1400.5,1401.2,1398.9,1391.4,1380.6,1366.9,1353.1,1348.1,1352.0,1363.3,1372.4,1376.2,1375.7,1374.7,1374.2,1375.5,1358.4,1353.5,1347.6,1341.0,1335.4,1333.0,1337.1,1340.7,1343.9,1347.5,1333.6,1327.0,1320.1,1313.4,1329.5,1326.6,1324.0,1324.3,1325.7,1352.8,1348.3,1345.7,1344.1,1345.0,1347.5,1342.8,1342.5,1342.9,1346.1,1342.1,1341.5,1343.1,1332.0,1326.4,1325.5,1325.9,1330.8,1340.2,1330.7,1326.4,1325.8,1326.7,1331.7,1340.2,1328.3,1327.3,1327.9,1337.5,1328.1,1327.2,1328.2
4,0,0.100,0.98,1,1.7,3.8,1334.8,0.018,0.097,0.000,-70.4,-69.8,-66.6,-61.9,-54.1,-42.3,-28.8,-13.9,3.2,20.8,37.1,51.8,62.4,68.6,72.4,74.9,76.2,-57.1,-47.9,-36.4,-24.7,-13.8,17.5,29.2,40.4,51.2,59.0,2.5,1.8,1.2,0.8,-11.9,-5.6,0.8,7.6,13.7,-42.7,-35.1,-25.5,-18.2,-26.3,-35.8,21.0,28.7,38.3,45.8,38.9,29.5,-22.4,-13.7,-5.0,0.2,5.7,14.7,23.9,14.5,5.7,-0.3,-6.0,-14.4,-18.5,-4.9,0.4,6.0,19.4,5.8,0.1,-5.2,-32.3,-10.8,10.7,31.1,49.1,63.6,73.5,79.8,81.2,78.9,71.3,60.5,46.2,29.1,10.7,-8.3,-27.0,-52.3,-60.7,-63.7,-62.2,-58.1,-57.8,-61.0,-61.9,-59.7,-52.4,-39.2,-27.2,-15.5,-3.6,7.7,9.6,11.2,9.7,7.5,-35.3,-40.4,-40.2,-34.2,-31.8,-31.8,-33.5,-39.4,-39.1,-34.0,-30.9,-31.0,36.1,29.0,25.4,27.0,25.7,29.7,36.2,42.8,44.8,45.1,44.7,42.4,35.8,32.4,32.7,32.4,36.3,35.8,36.2,35.9,1397.9,1398.8,1399.3,1396.9,1389.5,1378.7,1365.0,1350.9,1345.7,1349.5,1360.9,1370.4,1374.4,1374.0,1373.2,1372.8,1374.4,1357.5,1352.6,1346.7,1340.1,1334.5,1332.1,1336.1,1339.6,1342.7,1345.9,1332.5,1325.8,1318.8,1312.0,1328.0,1325.0,1322.3,1322.6,1324.0,1351.9,1347.3,1344.7,1343.0,1343.9,1346.5,1341.5,1341.2,1341.6,1344.8,1340.8,1340.2,1341.1,1330.0,1324.4,1323.5,1323.9,1328.8,1338.0,1328.5,1324.2,1323.6,1324.6,1329.6,1338.1,1326.2,1325.2,1325.8,1335.3,1326.0,1325.2,1326.2
5,0,0.133,0.98,1,1.6,3.2,1334.5,0.010,0.097,-0.001,-70.6,-69.9,-66.7,-61.9,-54.0,-42.3,-28.7,-13.8,3.3,20.9,37.2,51.9,62.5,68.8,72.5,74.9,76.2,-57.3,-48.2,-36.6,-24.9,-14.0,17.4,29.1,40.4,51.2,59.0,2.4,1.8,1.2,0.8,-11.8,-5.6,0.8,7.6,13.7,-42.8,-35.2,-25.6,-18.3,-26.4,-36.0,20.9,28.6,38.2,45.8,38.8,29.4,-22.3,-13.7,-5.0,0.2,5.7,14.8,24.0,14.6,5.8,-0.2,-6.0,-14.4,-18.4,-4.9,0.4,6.0,19.4,5.9,0.2,-5.2,-32.4,-10.9,10.6,31.0,48.9,63.2,73.0,79.2,80.5,78.2,70.7,60.0,45.8,28.7,10.3,-8.7,-27.5,-52.6,-61.1,-64.2,-62.8,-58.8,-58.6,-61.7,-62.6,-60.4,-53.2,-39.9,-27.9,-16.3,-4.4,6.9,8.8,10.4,8.8,6.7,-35.8,-41.0,-40.8,-34.8,-32.3,-32.4,-34.2,-40.1,-39.9,-34.7,-31.7,-31.7,35.4,28.1,24.4,26.1,24.7,28.8,35.4,42.0,44.0,44.4,43.9,41.6,35.0,31.4,31.7,31.4,35.4,35.1,35.5,35.2,1398.0,1398.7,1398.9,1396.4,1388.9,1378.0,1364.3,1350.1,1344.8,1348.6,1360.0,1369.6,1373.8,1373.5,1372.9,1372.8,1374.5,1357.7,1353.0,1347.1,1340.5,1334.8,1332.3,1336.4,1339.9,1343.1,1346.4,1332.6,1325.9,1318.8,1311.9,1327.8,1324.8,1322.1,1322.3,1323.7,1352.0,1347.5,1344.9,1343.1,1344.0,1346.6,1341.6,1341.4,1341.8,1344.9,1340.9,1340.3,1340.6,1329.6,1324.1,1323.1,1323.5,1328.4,1337.5,1328.0,1323.8,1323.2,1324.2,1329.2,1337.7,1325.8,1324.7,1325.3,1334.8,1325.7,1324.9,1326.0
6,0,0.167,0.98,1,1.9,2.5,1334.8,0.001,0.097,-0.006,-70.5,-69.6,-66.3,-61.3,-53.4,-41.6,-28.1,-13.2,3.9,21.5,37.7,52.4,62.8,69.0,72.7,75.1,76.4,-57.4,-48.4,-36.9,-25.2,-14.3,17.4,29.1,40.3,51.0,58.9,2.4,1.8,1.3,0.9,-11.7,-5.4,1.0,7.8,14.0,-42.8,-35.3,-25.7,-18.3,-26.4,-36.0,21.1,28.8,38.5,46.0,39.1,29.7,-21.9,-13.2,-4.6,0.6,6.2,15.3,24.5,15.2,6.4,0.3,-5.5,-13.9,-17.9,-4.5,0.8,6.5,19.9,6.5,0.7,-4.7,-32.3,-10.8,10.6,30.9,48.7,62.9,72.6,78.6,79.8,77.5,70.0,59.5,45.2,28.0,9.6,-9.3,-28.0,-52.9,-61.6,-64.8,-63.5,-59.6,-59.5,-62.6,-63.6,-61.5,-54.4,-40.7,-28.7,-17.1,-5.3,6.1,8.0,9.6,7.9,5.7,-36.3,-41.5,-41.4,-35.4,-32.9,-32.9,-35.1,-41.0,-40.8,-35.6,-32.6,-32.6,34.7,27.3,23.6,25.2,23.8,27.8,34.4,40.9,43.0,43.4,43.0,40.8,34.3,30.5,30.7,30.4,34.4,34.3,34.8,34.5,1398.6,1399.0,1399.0,1396.3,1388.8,1377.7,1364.0,1349.8,1344.5,1348.4,1359.8,1369.5,1373.8,1373.7,1373.2,1373.3,1375.3,1358.7,1354.0,1348.1,1341.4,1335.6,1333.4,1337.4,1340.8,1343.8,1346.9,1333.4,1326.5,1319.3,1312.2,1328.1,1325.1,1322.3,1322.5,1323.9,1352.8,1348.3,1345.7,1343.9,1344.8,1347.4,1342.3,1342.2,1342.6,1345.6,1341.6,1341.0,1340.6,1329.7,1324.3,1323.4,1323.8,1328.6,1337.7,1328.1,1323.8,1323.2,1324.2,1329.1,1337.7,1325.9,1324.8,1325.5,1334.9,1325.8,1325.0,1326.1
7,0,0.200,0.98,1,2.0,1.8,1335.3,0.000,0.100,-0.009,-70.5,-69.5,-66.1,-61.1,-53.3,-41.5,-27.9,-13.0,4.2,22.0,38.3,53.0,63.3,69.4,72.9,75.3,76.5,-57.4,-48.5,-37.0,-25.2,-14.3,17.5,29.1,40.3,51.0,58.8,2.4,1.9,1.4,1.0,-11.5,-5.2,1.2,8.0,14.0,-42.7,-35.1,-25.6,-18.2,-26.3,-35.8,21.2,28.8,38.4,46.0,39.1,29.7,-21.7,-13.2,-4.5,0.7,6.3,15.4,24.5,15.3,6.5,0.4,-5.5,-13.8,-17.8,-4.4,0.9,6.6,20.0,6.6,0.7,-4.7,-32.5,-11.0,10.3,30.5,48.3,62.4,72.0,77.9,79.1,76.8,69.2,58.5,44.2,27.1,8.7,-10.2,-29.0,-53.3,-62.0,-65.4,-64.1,-60.2,-60.1,-63.3,-64.3,-62.2,-55.1,-41.4,-29.4,-17.7,-5.9,5.5,7.3,8.9,7.3,5.0,-36.8,-42.1,-42.0,-36.1,-33.6,-33.6,-35.8,-41.7,-41.5,-36.4,-33.3,-33.3,34.1,26.6,22.9,24.5,23.1,27.1,33.7,40.3,42.4,42.8,42.4,40.2,33.6,29.8,30.0,29.7,33.8,33.6,34.1,33.8,1399.5,1399.9,1399.9,1397.1,1389.4,1378.2,1364.3,1349.9,1344.7,1348.5,1360.1,1369.7,1374.0,1373.9,1373.3,1373.4,1375.3,1359.4,1354.7,1348.8,1342.2,1336.3,1334.0,1337.9,1341.2,1344.1,1347.1,1334.0,1327.2,1320.0,1313.0,1328.8,1325.8,1323.0,1323.2,1324.5,1353.3,1348.8,1346.3,1344.4,1345.4,1347.9,1342.8,1342.6,1343.0,1345.9,1342.0,1341.4,1341.1,1330.3,1324.9,1323.9,1324.3,1329.0,1337.9,1328.5,1324.3,1323.7,1324.8,1329.7,1338.2,1326.5,1325.4,1326.0,1335.2,1326.4,1325.6,1326.7
8,0,0.233,0.98,1,2.2,1.3,1336.7,0.008,0.094,-0.012,-70.6,-69.6,-66.1,-61.2,-53.3,-41.5,-27.7,-12.6,4.8,22.6,38.8,53.3,63.6,69.6,73.0,75.3,76.4,-57.4,-48.5,-37.0,-25.2,-14.2,17.2,28.8,40.0,50.8,58.7,2.4,2.0,1.6,1.3,-11.3,-4.9,1.5,8.3,14.5,-42.8,-35.2,-25.7,-18.2,-26.3,-35.8,21.2,28.9,38.5,46.0,39.1,29.8,-21.7,-13.0,-4.3,1.1,6.9,16.1,25.3,16.1,7.2,0.9,-5.1,-13.6,-17.7,-4.1,1.4,7.3,20.8,7.2,1.2,-4.4,-33.0,-11.8,9.4,29.4,47.1,61.4,71.2,77.3,78.5,76.1,68.4,57.7,43.3,26.2,7.8,-11.1,-29.8,-53.7,-62.4,-65.7,-64.4,-60.5,-60.5,-63.8,-64.8,-62.8,-55.8,-41.8,-29.8,-18.1,-6.2,5.1,7.0,8.6,6.9,4.6,-37.2,-42.5,-42.4,-36.5,-34.0,-33.9,-36.3,-42.2,-42.1,-37.0,-33.9,-33.9,33.6,26.2,22.5,24.1,22.7,26.6,33.1,39.8,42.0,42.5,42.1,39.8,33.2,29.4,29.7,29.3,33.2,33.2,33.7,33.4,1400.1,1400.7,1401.0,1398.4,1391.0,1379.9,1365.9,1351.5,1346.4,1350.5,1362.2,1371.9,1376.2,1376.1,1375.3,1375.3,1377.1,1360.1,1355.3,1349.4,1342.8,1337.1,1335.1,1339.0,1342.4,1345.4,1348.4,1335.0,1328.2,1321.1,1314.2,1330.2,1327.1,1324.4,1324.6,1326.0,1354.2,1349.8,1347.3,1345.5,1346.4,1348.9,1344.1,1343.9,1344.4,1347.4,1343.5,1342.8,1342.6,1331.6,1326.3,1325.3,1325.7,1330.5,1339.7,1330.3,1325.9,1325.2,1326.2,1331.2,1339.8,1327.9,1326.8,1327.5,1337.0,1327.9,1327.0,1328.1
9,0,0.267,0.98,1,2.3,0.9,1340.6,0.007,0.092,-0.014,-70.8,-69.7,-66.2,-61.2,-53.3,-41.4,-27.6,-12.5,5.0,22.7,39.0,53.5,63.9,69.8,73.3,75.5,76.6,-57.6,-48.5,-36.9,-25.0,-14.0,17.0,28.7,39.9,50.7,58.8,2.5,2.1,1.8,1.5,-11.2,-4.8,1.7,8.5,14.6,-42.9,-35.3,-25.7,-18.2,-26.3,-35.9,21.3,28.9,38.6,46.2,39.3,29.9,-21.5,-12.8,-4.1,1.3,7.0,16.3,25.5,16.3,7.4,1.2,-4.8,-13.3,-17.5,-3.9,1.6,7.4,21.0,7.4,1.4,-4.1,-33.1,-11.8,9.3,29.3,46.9,61.0,70.6,76.6,77.8,75.5,67.9,57.3,43.0,25.8,7.4,-11.5,-30.2,-54.1,-62.8,-66.0,-64.7,-60.8,-61.0,-64.3,-65.4,-63.5,-56.5,-42.2,-30.1,-18.5,-6.6,4.7,6.6,8.1,6.4,4.1,-37.5,-42.8,-42.7,-36.8,-34.3,-34.2,-36.7,-42.7,-42.6,-37.5,-34.4,-34.4,33.2,25.7,22.0,23.6,22.1,26.1,32.6,39.4,41.7,42.1,41.7,39.5,32.8,28.9,29.1,28.7,32.7,32.8,33.4,33.1,1403.9,1404.3,1404.4,1401.9,1394.6,1383.5,1369.6,1355.2,1350.1,1354.2,1366.0,1375.7,1380.2,1380.1,1379.4,1379.6,1381.4,1363.9,1359.2,1353.3,1346.6,1340.9,1339.1,1343.0,1346.4,1349.3,1352.3,1339.0,1332.2,1325.1,1318.3,1334.1,1331.0,1328.3,1328.5,1329.8,1358.2,1353.7,1351.2,1349.4,1350.3,1352.9,1348.0,1347.9,1348.3,1351.4,1347.4,1346.8,1346.5,1335.6,1330.2,1329.2,1329.7,1334.5,1343.6,1334.2,1329.8,1329.2,1330.2,1335.2,1343.7,1331.8,1330.7,1331.3,1340.9,1331.8,1331.0,1332.1
10,0,0.300,0.98,1,2.3,0.7,1342.0,0.013,0.086,-0.016,-71.2,-70.1,-66.6,-61.6,-53.7,-41.8,-27.9,-12.6,5.0,22.7,39.0,53.6,64.0,69.9,73.3,75.5,76.5,-57.9,-48.8,-37.2,-25.3,-14.1,16.8,28.5,39.8,50.7,58.7,2.3,2.0,1.8,1.6,-11.1,-4.7,1.8,8.6,14.6,-43.1,-35.5,-25.9,-18.4,-26.5,-36.1,21.1,28.7,38.4,46.0,39.1,29.7,-21.4,-12.7,-3.9,1.4,7.1,16.3,25.5,16.4,7.5,1.3,-4.6,-13.1,-17.4,-3.7,1.7,7.4,21.0,7.4,1.5,-3.9,-33.3,-12.2,8.8,28.8,46.4,60.6,70.2,76.5,77.7,75.4,67.7,57.0,42.6,25.4,6.9,-12.1,-30.9,-53.9,-62.6,-65.9,-64.6,-60.8,-61.0,-64.4,-65.5,-63.5,-56.5,-42.1,-30.1,-18.4,-6.5,4.7,6.5,8.1,6.4,4.1,-37.4,-42.6,-42.6,-36.8,-34.2,-34.1,-36.9,-42.8,-42.7,-37.7,-34.6,-34.5,33.1,25.6,21.8,23.4,21.9,25.8,32.3,39.3,41.6,42.1,41.7,39.4,32.6,28.8,29.0,28.6,32.4,32.7,33.2,33.0,1404.8,1405.3,1405.6,1403.2,1396.2,1385.4,1371.7,1357.3,1352.3,1356.4,1368.3,1378.0,1382.5,1382.4,1381.7,1381.7,1383.4,1365.0,1360.2,1354.3,1347.7,1342.0,1340.2,1344.2,1347.7,1350.8,1354.0,1340.3,1333.6,1326.7,1319.9,1335.5,1332.6,1329.9,1330.2,1331.5,1359.3,1354.9,1352.4,1350.7,1351.6,1354.0,1349.5,1349.3,1349.9,1353.0,1349.0,1348.3,1348.0,1337.1,1331.7,1330.7,1331.2,1336.1,1345.3,1335.9,1331.5,1330.9,1331.9,1336.8,1345.2,1333.4,1332.3,1332.9,1342.6,1333.4,1332.6,1333.7
