frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,25.1,-135.2,843.3,0.157,0.000,0.001,-52.9,-52.8,-51.1,-47.4,-40.2,-28.1,-12.9,4.7,23.8,42.7,60.2,76.0,87.8,95.0,98.6,101.2,102.6,-33.9,-24.5,-11.4,2.2,14.3,38.3,50.8,63.4,75.7,84.4,26.4,26.5,26.7,26.7,12.7,19.4,26.0,32.9,39.1,-18.6,-10.3,-1.2,6.1,-1.5,-10.5,45.1,52.6,61.6,69.0,62.2,53.4,0.5,10.2,19.4,25.5,32.2,41.1,49.2,40.9,32.3,25.1,18.2,9.4,5.2,18.9,25.3,32.1,45.0,31.8,25.0,18.5,-175.2,-155.3,-135.5,-116.2,-98.1,-82.6,-70.8,-62.0,-59.4,-62.0,-71.2,-83.7,-99.3,-118.0,-137.8,-158.0,-178.4,-190.0,-198.4,-200.8,-198.4,-193.3,-194.4,-200.0,-202.5,-200.7,-193.3,-176.0,-163.8,-151.9,-139.7,-130.1,-127.8,-126.0,-127.7,-129.7,-173.6,-177.2,-177.1,-172.5,-170.3,-170.3,-173.5,-178.2,-178.3,-175.0,-171.5,-171.2,-102.2,-109.1,-112.4,-110.4,-112.1,-108.5,-102.5,-94.8,-92.1,-91.6,-92.3,-95.1,-102.4,-104.8,-104.2,-104.6,-102.3,-102.2,-101.7,-102.2,886.7,886.6,888.0,888.2,883.1,874.3,860.8,847.7,845.2,852.1,866.0,877.7,885.1,888.5,888.8,888.4,889.8,855.5,850.7,845.6,840.5,836.5,836.7,840.4,845.5,850.4,854.6,835.4,829.8,823.9,818.3,829.9,828.4,827.3,828.9,830.7,849.6,845.9,844.7,844.2,843.9,845.1,845.5,844.9,846.2,849.7,846.1,844.7,838.6,829.1,825.3,824.3,825.3,830.3,839.4,830.8,826.6,825.5,826.4,830.1,836.1,827.3,826.4,827.2,837.0,827.3,826.3,827.2
2,0,0.044,0.98,1,25.2,-137.5,825.4,0.090,0.011,-0.001,-50.8,-50.9,-49.2,-45.7,-39.4,-28.2,-13.3,4.7,24.2,43.6,61.3,77.0,88.1,94.5,97.8,100.3,101.6,-31.7,-23.0,-10.2,3.5,15.5,37.2,49.2,61.6,73.6,82.0,26.5,26.8,27.0,27.1,13.9,20.2,26.5,32.9,38.6,-17.4,-9.3,-0.3,7.1,-0.5,-9.4,44.4,51.9,60.8,68.1,61.5,52.7,2.2,10.5,19.2,25.4,31.8,40.6,47.6,40.3,32.0,24.9,17.9,9.5,6.9,18.8,25.2,31.7,43.5,31.4,24.7,18.2,-175.0,-155.0,-135.1,-115.8,-98.0,-82.9,-71.7,-63.4,-60.6,-62.5,-70.9,-83.3,-99.0,-118.0,-138.1,-158.9,-179.6,-194.1,-203.8,-207.2,-205.4,-200.3,-201.5,-207.3,-209.3,-206.8,-198.7,-180.5,-168.5,-156.7,-144.7,-133.3,-131.4,-129.7,-131.1,-132.7,-175.8,-179.7,-179.6,-175.1,-172.7,-172.6,-176.2,-180.8,-180.9,-177.4,-173.9,-173.7,-103.0,-112.4,-116.9,-114.8,-116.3,-111.3,-102.8,-94.3,-91.4,-91.0,-91.8,-95.1,-103.7,-107.8,-107.3,-107.3,-103.0,-102.8,-102.5,-103.1,869.0,868.0,869.1,868.9,863.3,853.5,838.9,825.5,823.9,830.7,844.4,856.0,863.5,868.3,869.3,869.8,871.6,841.4,838.7,834.1,828.8,824.9,824.8,827.4,832.1,836.0,837.9,823.0,817.1,811.2,805.2,814.5,813.5,812.4,813.6,814.9,834.9,831.2,829.9,828.8,829.1,830.3,830.4,829.5,830.5,833.5,830.2,829.3,816.5,808.6,805.7,804.5,805.4,808.6,815.4,809.2,806.9,806.2,807.0,809.4,814.1,807.9,806.7,807.1,813.7,808.2,807.4,808.3
3,0,0.087,0.98,1,25.2,-140.9,805.9,0.005,0.030,-0.003,-48.6,-49.1,-47.2,-43.0,-35.9,-24.6,-10.6,6.0,24.4,43.0,60.0,75.3,86.1,92.7,96.3,98.9,100.2,-30.5,-22.2,-10.0,3.2,14.5,38.1,49.9,62.1,73.5,81.1,26.4,26.5,26.5,26.4,14.1,20.1,26.0,32.2,37.8,-16.7,-8.9,0.0,7.3,-0.1,-9.0,43.9,51.3,60.2,67.4,60.8,52.0,3.3,10.9,19.3,25.1,30.9,39.3,45.9,39.1,31.1,24.6,18.1,10.0,7.8,19.0,24.9,30.8,41.8,30.6,24.5,18.4,-175.2,-154.5,-133.6,-113.5,-96.1,-82.1,-72.4,-65.3,-62.8,-64.4,-72.2,-84.2,-99.7,-118.5,-138.8,-159.9,-180.6,-200.7,-210.7,-214.6,-213.1,-208.0,-209.0,-214.6,-216.2,-213.0,-204.4,-186.4,-174.9,-163.8,-152.4,-138.7,-136.9,-135.4,-136.5,-137.9,-180.1,-184.4,-184.3,-180.0,-177.3,-177.1,-180.7,-185.2,-185.0,-181.2,-177.9,-177.8,-105.8,-116.0,-121.0,-118.9,-120.3,-114.8,-105.7,-96.6,-93.6,-93.4,-94.2,-97.7,-106.7,-111.4,-111.1,-111.0,-105.9,-105.3,-105.2,-105.8,852.0,850.2,850.1,848.6,840.2,828.5,813.2,801.0,799.4,805.7,818.5,829.9,837.3,842.7,845.2,847.1,850.5,828.0,826.6,822.3,817.1,813.2,812.0,815.3,820.2,823.5,824.5,808.9,801.6,794.5,787.1,795.4,794.5,793.6,794.8,796.3,820.4,817.0,815.5,814.2,814.4,815.7,814.7,814.3,815.1,817.9,814.3,813.4,794.8,788.0,785.6,784.3,785.2,787.7,793.5,787.3,785.9,785.0,785.8,787.8,792.3,787.1,786.0,786.4,791.9,787.7,787.0,787.6
4,0,0.131,0.98,1,24.5,-143.5,791.6,-0.058,0.044,-0.003,-48.3,-48.6,-46.5,-42.3,-35.5,-24.5,-11.0,5.5,24.0,42.7,59.9,75.1,85.4,91.4,94.6,96.9,98.0,-31.0,-23.0,-10.9,2.4,13.8,37.7,49.4,61.7,73.1,80.1,26.1,26.0,25.9,25.7,13.9,19.7,25.3,31.3,36.8,-16.7,-9.1,-0.1,7.1,-0.3,-9.2,42.9,50.2,59.2,66.3,59.7,50.9,2.7,10.1,18.8,24.3,29.7,38.2,44.9,38.0,30.0,23.9,17.6,9.2,7.0,18.6,24.1,29.6,40.8,29.5,23.8,18.1,-176.2,-154.8,-133.3,-112.9,-95.9,-82.5,-73.7,-67.3,-64.9,-66.3,-73.5,-85.2,-100.7,-119.4,-139.6,-160.5,-180.9,-203.7,-214.4,-218.9,-217.5,-212.2,-212.8,-218.4,-219.4,-215.7,-206.6,-189.9,-179.3,-169.1,-158.5,-143.1,-141.4,-140.1,-141.0,-142.3,-183.0,-187.8,-187.7,-183.1,-180.4,-180.2,-183.4,-188.1,-187.8,-183.4,-180.4,-180.4,-109.1,-120.0,-125.2,-123.2,-124.5,-118.7,-109.0,-99.0,-95.7,-95.6,-96.3,-100.3,-110.2,-115.9,-115.7,-115.4,-109.3,-106.8,-106.8,-107.4,842.5,839.4,837.3,834.0,824.1,811.5,796.0,783.0,780.4,786.2,799.2,811.0,818.8,824.5,827.9,831.2,836.0,818.9,818.4,814.1,808.5,804.2,802.9,806.8,811.7,814.9,815.6,798.4,790.4,782.5,774.2,781.8,780.8,779.7,780.8,782.3,809.6,806.6,805.2,803.7,803.7,804.9,804.0,804.1,804.8,807.3,803.4,802.5,780.2,773.7,771.0,769.8,770.8,773.0,778.6,771.2,769.5,768.8,769.5,772.1,778.0,771.9,770.8,771.3,777.2,772.3,771.6,772.2
5,0,0.174,0.98,1,23.6,-145.6,790.2,-0.103,0.065,0.001,-48.9,-49.0,-46.7,-42.3,-35.5,-24.9,-11.8,4.5,22.9,41.6,58.8,74.1,84.5,90.5,93.8,96.2,97.5,-31.5,-23.5,-11.7,1.4,12.5,37.8,49.5,61.7,72.8,79.3,25.3,25.1,24.9,24.7,12.9,18.7,24.3,30.2,35.6,-17.4,-9.9,-0.8,6.3,-1.1,-10.1,42.2,49.1,58.3,65.3,58.8,49.9,1.9,8.7,17.4,22.9,28.2,37.0,43.5,36.9,28.7,22.6,16.3,7.8,6.2,17.3,22.8,28.2,39.3,28.3,22.6,16.8,-177.2,-155.4,-133.5,-113.0,-96.0,-82.8,-74.3,-68.3,-66.0,-67.4,-74.3,-85.7,-101.0,-119.7,-139.8,-160.8,-181.2,-205.7,-216.6,-221.4,-220.4,-215.2,-216.0,-221.4,-222.1,-218.0,-208.6,-192.3,-182.1,-172.4,-162.2,-146.4,-144.9,-143.7,-144.5,-145.8,-184.8,-190.1,-190.1,-185.2,-182.4,-182.3,-185.5,-190.6,-190.4,-185.6,-182.7,-182.7,-111.5,-124.2,-130.1,-128.2,-129.4,-123.1,-111.7,-100.6,-96.9,-96.7,-97.4,-101.8,-112.7,-120.6,-120.5,-120.2,-112.1,-107.7,-107.7,-108.3,843.5,839.4,835.9,831.2,820.7,807.7,792.6,779.2,775.6,780.3,792.4,804.0,811.8,817.8,822.0,826.6,832.4,819.8,820.6,816.8,811.4,807.1,805.0,808.8,813.0,815.7,815.5,799.6,791.7,784.1,775.9,781.8,780.8,779.5,780.1,781.5,810.4,807.7,806.2,804.2,804.4,805.8,803.9,804.1,804.6,806.6,802.8,802.1,778.6,772.7,769.9,768.4,769.2,771.1,775.9,768.4,766.6,766.3,767.1,770.1,776.8,770.2,769.0,769.2,774.9,770.1,769.6,770.3
6,0,0.218,0.98,1,22.7,-146.3,792.1,-0.101,0.069,-0.009,-50.0,-50.0,-47.5,-42.8,-35.7,-24.8,-11.5,4.7,22.9,41.4,58.3,73.5,83.9,89.9,93.1,95.3,96.4,-33.0,-25.1,-13.4,-0.6,10.5,36.6,48.2,60.2,71.2,77.8,23.9,23.7,23.7,23.4,11.8,17.7,23.2,29.2,34.6,-18.8,-11.3,-2.3,4.9,-2.5,-11.4,41.0,48.0,57.1,64.2,57.7,48.8,1.0,7.7,16.5,22.0,27.4,36.3,43.0,36.5,28.2,22.0,15.7,7.1,5.3,16.4,22.0,27.5,38.9,27.8,22.0,16.1,-177.5,-155.6,-133.6,-113.0,-95.9,-82.7,-74.3,-68.5,-66.5,-68.2,-75.4,-86.8,-102.2,-120.8,-141.1,-162.2,-182.7,-205.6,-216.4,-221.2,-220.3,-215.4,-216.5,-221.8,-222.7,-219.0,-209.9,-193.1,-182.8,-173.1,-162.9,-147.0,-145.6,-144.4,-145.3,-146.7,-185.2,-190.4,-190.5,-185.8,-183.0,-182.8,-186.5,-191.6,-191.5,-186.9,-184.0,-183.9,-111.9,-124.6,-130.5,-128.6,-129.9,-123.8,-112.7,-101.5,-97.6,-97.4,-98.0,-102.3,-113.2,-121.0,-121.0,-120.8,-113.0,-108.6,-108.4,-108.9,845.3,841.4,838.1,833.5,822.7,809.6,794.3,781.0,777.4,782.2,794.1,805.6,813.4,819.3,823.5,828.0,833.8,821.6,822.2,818.6,813.3,809.1,807.0,810.8,814.8,817.3,816.9,801.3,793.3,785.7,777.4,783.6,782.4,781.1,781.8,783.1,812.2,809.6,808.1,806.1,806.2,807.6,805.7,805.8,806.3,808.2,804.5,803.8,780.9,774.7,771.9,770.3,771.2,773.1,778.0,770.4,768.6,768.3,769.1,772.3,779.0,772.2,771.0,771.2,776.9,772.1,771.6,772.4
7,0,0.262,0.98,1,21.8,-146.6,797.0,-0.088,0.077,-0.019,-51.2,-50.9,-48.1,-43.5,-36.5,-25.6,-12.4,3.9,22.5,41.4,58.9,74.2,84.5,90.1,92.8,94.7,95.4,-34.6,-26.5,-14.7,-1.8,9.5,34.5,45.9,57.9,69.1,76.2,22.6,22.5,22.6,22.4,11.0,16.8,22.4,28.4,33.7,-20.1,-12.6,-3.7,3.5,-3.9,-12.6,39.9,46.8,55.8,62.9,56.4,47.7,0.0,6.7,15.4,21.1,26.7,35.7,42.6,36.0,27.7,21.3,14.8,6.1,4.3,15.4,21.1,26.8,38.5,27.2,21.2,15.2,-177.6,-155.8,-133.9,-113.4,-96.2,-82.9,-74.4,-68.5,-66.5,-68.4,-75.8,-87.8,-103.6,-122.6,-143.0,-164.3,-184.9,-205.1,-215.8,-220.4,-219.4,-214.6,-215.9,-221.6,-222.8,-219.6,-211.0,-193.2,-182.9,-173.0,-162.7,-147.1,-145.6,-144.4,-145.4,-146.9,-185.1,-190.2,-190.4,-186.0,-183.1,-182.9,-187.0,-192.0,-192.0,-187.7,-184.7,-184.5,-112.5,-124.9,-130.7,-128.9,-130.2,-124.3,-113.4,-102.2,-98.3,-97.9,-98.5,-102.8,-113.7,-121.2,-121.2,-121.0,-113.7,-109.3,-109.1,-109.5,850.4,846.7,843.8,839.5,829.0,815.9,800.3,786.4,782.7,787.5,799.7,811.1,818.9,824.6,828.3,832.4,837.8,826.0,826.3,822.5,817.1,812.8,810.9,814.2,818.0,820.4,820.0,805.4,797.6,790.1,782.1,788.5,787.2,785.8,786.5,787.6,816.6,813.9,812.4,810.5,810.7,812.1,810.0,809.9,810.2,812.0,808.6,808.0,786.1,779.9,776.9,775.3,776.2,777.9,782.5,775.3,773.7,773.4,774.4,777.6,784.1,777.3,775.9,776.1,781.6,777.1,776.7,777.5
8,0,0.305,0.98,1,21.3,-146.7,805.2,-0.055,0.077,-0.034,-52.5,-51.8,-48.9,-44.2,-37.2,-26.3,-12.8,3.6,22.6,42.2,60.3,76.0,86.1,91.2,93.3,94.7,94.9,-35.9,-28.1,-16.3,-3.3,8.2,33.0,44.1,55.9,67.1,74.4,21.7,21.7,21.8,21.8,10.4,16.3,22.0,28.1,33.5,-21.1,-13.6,-4.8,2.5,-4.8,-13.4,39.3,46.2,55.1,62.3,55.7,47.1,-0.4,6.2,15.0,20.8,26.6,35.8,42.9,36.3,27.9,21.4,14.7,6.0,3.9,15.2,21.0,26.9,38.7,27.2,21.1,15.0,-177.6,-156.0,-134.4,-114.1,-96.8,-83.5,-75.1,-69.3,-67.4,-69.6,-77.6,-90.1,-106.2,-125.4,-145.8,-166.8,-187.3,-203.6,-214.2,-218.7,-217.6,-212.9,-214.2,-220.1,-221.8,-219.5,-211.6,-192.8,-182.2,-172.1,-161.5,-146.4,-144.9,-143.7,-144.8,-146.3,-184.9,-189.7,-190.0,-185.9,-183.1,-182.8,-187.4,-192.1,-192.2,-188.3,-185.3,-185.0,-111.9,-124.1,-129.9,-128.0,-129.5,-123.7,-113.2,-102.3,-98.4,-98.0,-98.6,-102.5,-113.1,-120.1,-120.1,-119.9,-113.3,-110.0,-109.8,-110.2,857.7,854.7,852.9,849.7,840.1,827.2,810.8,796.6,793.0,798.1,810.9,822.7,830.6,835.8,838.2,841.0,845.5,832.3,831.9,828.1,822.9,818.7,817.6,820.4,823.6,825.4,824.4,811.9,804.4,797.1,789.4,796.4,795.2,794.0,794.6,795.6,823.3,820.3,818.9,817.2,817.4,818.8,817.1,816.3,816.6,818.4,815.4,815.0,794.8,788.2,785.0,783.3,784.3,786.2,790.8,784.2,782.6,782.3,783.4,786.5,792.6,785.8,784.4,784.6,789.9,785.6,785.1,786.1
9,0,0.349,0.98,1,21.3,-145.3,810.2,-0.013,0.078,-0.047,-54.0,-52.9,-49.6,-44.4,-36.6,-24.8,-10.9,5.8,24.7,44.0,61.6,76.6,86.2,91.2,93.2,94.6,95.0,-36.7,-28.6,-16.6,-3.5,8.3,31.9,43.4,55.3,67.0,74.8,21.2,21.3,21.5,21.5,9.8,15.9,21.9,28.1,33.6,-21.6,-14.0,-5.2,2.1,-5.3,-13.9,38.9,46.0,54.8,62.1,55.4,46.8,-0.3,6.3,15.0,20.8,26.6,35.7,43.1,36.4,28.1,21.6,15.0,6.2,3.9,15.2,21.1,27.0,38.9,27.4,21.2,15.1,-177.9,-156.0,-134.0,-113.4,-95.6,-81.6,-72.5,-66.7,-65.2,-68.2,-77.1,-90.5,-107.1,-126.6,-147.0,-168.0,-188.6,-200.2,-210.9,-215.4,-214.3,-209.8,-211.3,-216.9,-218.7,-216.4,-208.4,-191.0,-180.1,-169.7,-158.8,-144.6,-143.1,-141.8,-143.1,-144.8,-183.2,-187.7,-188.1,-184.2,-181.4,-181.0,-186.0,-190.5,-190.5,-187.0,-183.9,-183.6,-110.5,-122.4,-128.0,-126.2,-127.8,-122.2,-112.1,-101.4,-97.5,-97.1,-97.5,-101.2,-111.7,-118.7,-118.6,-118.6,-112.2,-109.1,-108.8,-109.1,863.7,861.2,859.8,856.3,846.9,834.5,818.4,804.3,801.5,806.9,819.5,830.2,837.2,841.7,843.6,845.9,850.1,834.6,833.3,829.2,824.1,819.7,818.7,821.6,825.0,827.2,827.1,813.7,806.5,799.4,792.0,800.0,798.7,797.3,798.3,799.5,826.0,822.9,821.6,819.8,820.0,821.4,819.9,818.9,819.3,821.3,818.3,817.9,801.0,793.4,789.9,788.3,789.2,791.5,797.0,790.2,788.4,788.0,789.1,792.4,798.7,791.0,789.6,789.9,795.9,791.0,790.5,791.4
10,0,0.392,0.98,1,21.3,-144.4,816.8,0.012,0.072,-0.044,-54.6,-53.4,-50.0,-45.0,-37.4,-25.8,-12.0,4.6,23.6,43.1,61.3,76.6,86.7,91.9,94.0,95.7,96.1,-37.1,-28.8,-16.4,-2.8,9.2,30.8,42.5,54.9,67.2,75.6,21.1,21.3,21.4,21.5,9.5,15.7,21.7,28.1,33.8,-21.7,-13.9,-5.2,2.1,-5.2,-13.9,39.1,46.1,54.9,62.3,55.5,46.9,-0.4,6.3,15.0,20.8,26.7,35.8,43.2,36.4,28.2,21.5,14.8,6.2,3.9,15.1,21.0,27.0,38.9,27.3,21.1,14.9,-177.7,-156.1,-134.5,-114.2,-96.5,-82.5,-73.2,-67.0,-65.3,-68.0,-76.9,-90.3,-107.0,-126.6,-147.2,-168.2,-188.9,-198.8,-209.3,-213.4,-212.0,-207.3,-208.6,-214.5,-216.6,-214.6,-206.6,-189.6,-178.7,-168.2,-157.2,-143.5,-141.9,-140.6,-141.9,-143.6,-182.7,-186.8,-187.3,-183.4,-180.8,-180.4,-185.3,-189.6,-189.5,-186.2,-183.1,-182.9,-109.3,-121.0,-126.6,-124.7,-126.3,-120.7,-110.6,-100.3,-96.6,-96.2,-96.7,-100.3,-110.5,-117.1,-117.0,-117.0,-110.8,-108.6,-108.3,-108.7,869.4,867.2,866.4,863.7,854.8,842.8,826.7,812.5,809.7,815.2,828.1,839.1,846.3,850.8,852.2,853.8,857.6,840.2,837.9,833.3,828.1,823.6,823.2,826.0,829.4,831.8,832.0,818.5,811.7,805.0,798.0,806.2,805.0,803.8,804.8,805.9,831.6,828.4,827.1,825.4,825.7,827.0,825.4,824.1,824.6,826.7,823.9,823.5,807.8,800.1,796.6,794.9,795.8,798.1,803.6,797.4,795.8,795.5,796.8,800.0,805.5,798.0,796.5,796.7,802.7,797.8,797.4,798.5
