frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,32.5,-158.4,1068.6,-0.081,0.079,-0.061,-39.7,-38.4,-34.9,-29.9,-22.2,-10.5,2.9,19.2,37.5,55.9,72.4,86.7,96.3,101.2,103.3,104.2,103.9,-27.5,-19.2,-7.4,5.2,16.6,41.3,52.8,64.8,76.5,85.3,30.6,30.9,31.3,31.7,19.2,26.0,32.7,39.8,46.2,-13.0,-5.8,3.1,11.1,3.2,-5.6,49.4,56.9,65.9,73.5,66.7,57.9,9.2,17.9,26.9,33.1,39.3,49.2,59.0,49.9,40.7,33.9,27.3,18.2,13.5,27.4,33.5,40.0,54.5,39.9,33.4,27.2,-186.6,-166.1,-145.2,-125.3,-108.1,-94.7,-86.0,-81.0,-80.8,-83.7,-91.7,-103.0,-118.0,-136.0,-155.4,-175.3,-194.4,-212.7,-222.7,-227.1,-226.4,-222.2,-224.1,-229.6,-231.5,-229.7,-222.1,-204.1,-193.2,-182.7,-171.8,-156.6,-155.3,-154.3,-156.1,-158.5,-194.5,-199.8,-200.4,-196.4,-193.4,-192.5,-199.1,-204.3,-204.5,-200.6,-197.6,-197.2,-123.7,-133.5,-138.6,-137.2,-139.1,-135.0,-127.3,-120.7,-118.4,-117.8,-117.7,-118.9,-124.6,-130.5,-130.7,-131.3,-127.2,-128.0,-127.3,-127.1,1125.9,1122.8,1120.4,1116.6,1106.9,1093.5,1077.7,1061.8,1056.5,1061.9,1075.7,1089.5,1097.8,1102.4,1105.3,1108.6,1114.0,1097.8,1095.9,1091.1,1085.4,1081.0,1080.1,1084.7,1089.1,1092.3,1093.6,1074.9,1065.8,1056.6,1047.4,1059.3,1056.3,1053.7,1055.3,1057.8,1089.5,1086.5,1084.8,1082.8,1082.7,1084.3,1083.0,1084.0,1084.8,1086.9,1082.7,1081.8,1062.5,1052.8,1049.2,1048.0,1049.3,1053.3,1062.0,1050.3,1045.0,1043.5,1044.4,1049.9,1059.4,1049.3,1048.3,1049.4,1059.4,1048.6,1047.2,1048.1
2,0,0.033,0.98,1,31.6,-156.5,1057.7,-0.117,0.089,-0.059,-38.2,-37.3,-34.1,-29.3,-22.5,-11.9,1.3,17.7,36.4,55.3,72.1,86.6,96.0,100.6,102.4,102.9,102.3,-27.2,-19.0,-8.2,3.4,14.1,41.2,51.9,62.9,73.7,82.3,29.7,29.9,30.2,30.5,18.9,25.4,31.9,38.7,44.9,-13.1,-6.4,2.5,10.5,2.7,-6.0,48.2,55.5,64.5,72.1,65.3,56.6,9.1,17.7,26.7,32.4,37.9,47.7,57.8,48.6,39.5,33.2,27.2,18.0,13.2,27.3,32.9,38.7,53.3,38.6,32.8,27.1,-181.7,-161.8,-141.6,-122.1,-105.4,-92.6,-85.0,-81.0,-80.9,-83.3,-89.9,-99.8,-113.9,-131.4,-150.5,-170.1,-188.7,-213.5,-222.5,-226.5,-225.8,-221.7,-223.6,-228.8,-230.6,-229.4,-223.0,-202.8,-191.8,-181.3,-170.5,-154.7,-153.5,-152.6,-154.4,-156.8,-192.8,-198.4,-199.1,-194.8,-191.8,-190.9,-197.3,-202.6,-202.9,-198.7,-195.9,-195.5,-122.0,-131.6,-136.6,-135.3,-137.1,-133.1,-125.7,-119.3,-117.3,-116.7,-116.6,-117.5,-123.0,-128.6,-129.0,-129.5,-125.6,-126.3,-125.8,-125.6,1116.1,1112.7,1109.9,1106.2,1096.9,1083.1,1066.3,1049.1,1042.7,1047.8,1062.6,1077.8,1087.2,1092.0,1094.6,1097.7,1103.1,1090.1,1088.7,1084.4,1078.3,1073.5,1072.2,1077.0,1081.1,1083.8,1084.3,1066.9,1057.1,1047.2,1037.1,1049.3,1046.2,1043.5,1044.8,1047.4,1081.8,1078.6,1076.5,1074.6,1074.5,1076.2,1074.3,1075.5,1076.2,1078.2,1073.8,1073.0,1051.5,1041.9,1038.3,1037.2,1038.4,1042.1,1050.6,1038.3,1033.2,1031.8,1032.6,1038.1,1048.3,1038.3,1037.2,1038.3,1048.0,1037.3,1036.1,1036.9
3,0,0.067,0.98,1,30.8,-155.3,1052.2,-0.141,0.088,-0.050,-38.5,-37.6,-34.3,-29.4,-22.8,-12.5,0.5,16.5,35.0,53.5,70.0,84.3,93.9,98.9,101.4,102.4,102.2,-27.7,-19.5,-8.7,2.9,13.4,40.4,51.1,62.1,73.0,81.7,28.8,29.0,29.3,29.5,18.0,24.4,30.9,37.7,43.9,-13.6,-6.9,2.0,10.0,2.3,-6.5,47.4,54.7,63.7,71.3,64.5,55.7,8.4,16.9,25.8,31.4,36.8,46.5,56.6,47.4,38.4,32.3,26.4,17.3,12.6,26.4,31.9,37.6,52.2,37.6,31.8,26.3,-179.0,-159.6,-139.8,-120.6,-104.2,-91.7,-84.2,-80.4,-80.4,-82.5,-88.5,-97.6,-110.9,-127.4,-146.0,-165.2,-183.4,-212.5,-221.5,-225.6,-225.0,-220.9,-222.8,-228.1,-229.9,-228.6,-222.3,-202.2,-191.1,-180.4,-169.5,-153.8,-152.6,-151.8,-153.6,-155.9,-192.0,-197.8,-198.4,-194.1,-191.2,-190.3,-196.6,-202.0,-202.4,-197.9,-195.3,-194.9,-121.1,-130.7,-135.8,-134.5,-136.2,-132.2,-124.8,-118.5,-116.4,-115.8,-115.7,-116.6,-122.2,-127.8,-128.2,-128.7,-124.6,-125.5,-125.0,-124.8,1111.2,1107.3,1104.0,1100.2,1090.6,1076.5,1059.6,1042.3,1035.8,1040.5,1055.3,1070.7,1080.5,1086.1,1089.4,1093.2,1099.2,1086.5,1085.0,1080.6,1074.3,1069.1,1067.8,1072.8,1077.2,1080.4,1081.0,1062.5,1052.3,1042.0,1031.5,1044.0,1040.7,1037.7,1039.2,1042.0,1078.1,1074.9,1072.7,1070.6,1070.5,1072.3,1069.9,1071.4,1072.0,1074.0,1069.4,1068.6,1045.8,1036.3,1032.7,1031.5,1032.7,1036.2,1044.6,1032.5,1027.6,1026.3,1027.1,1032.5,1042.5,1032.8,1031.7,1032.7,1042.1,1031.9,1030.7,1031.5
4,0,0.100,0.98,1,30.0,-155.1,1051.3,-0.146,0.087,-0.049,-39.0,-38.2,-34.8,-29.9,-23.4,-13.2,-0.4,15.6,34.1,52.7,69.2,83.3,92.8,97.9,100.5,101.5,101.3,-28.3,-20.2,-9.4,2.2,12.7,39.8,50.3,61.4,72.2,80.8,28.1,28.3,28.6,28.8,17.3,23.7,30.2,37.1,43.2,-14.3,-7.6,1.2,9.2,1.5,-7.2,46.7,54.0,63.0,70.5,63.8,55.1,7.7,16.0,24.9,30.6,36.2,46.0,55.9,46.8,37.7,31.5,25.4,16.3,11.8,25.4,31.1,36.9,51.5,37.0,31.0,25.3,-178.3,-159.2,-139.7,-120.8,-104.5,-92.0,-84.3,-80.2,-80.1,-82.2,-88.2,-97.2,-110.4,-126.7,-145.1,-164.2,-182.3,-212.2,-221.3,-225.5,-225.0,-220.9,-222.8,-228.3,-230.0,-228.6,-222.1,-202.2,-191.0,-180.3,-169.3,-153.6,-152.4,-151.6,-153.4,-155.8,-191.8,-197.7,-198.4,-194.1,-191.2,-190.2,-196.5,-202.0,-202.4,-197.9,-195.3,-194.9,-120.9,-130.6,-135.6,-134.4,-136.1,-132.0,-124.5,-118.2,-116.0,-115.4,-115.3,-116.4,-122.0,-127.7,-128.1,-128.5,-124.3,-125.0,-124.4,-124.2,1110.0,1106.1,1102.8,1099.0,1089.3,1075.1,1058.2,1040.8,1034.1,1038.7,1053.7,1069.1,1079.1,1084.8,1088.2,1092.2,1098.3,1085.7,1084.3,1079.9,1073.5,1068.4,1067.3,1072.2,1076.7,1079.8,1080.4,1061.7,1051.4,1041.0,1030.4,1043.2,1039.8,1036.7,1038.1,1040.9,1077.3,1074.2,1072.1,1069.9,1069.9,1071.6,1069.2,1070.8,1071.4,1073.3,1068.7,1067.9,1044.7,1035.3,1031.7,1030.5,1031.7,1035.2,1043.5,1031.5,1026.7,1025.4,1026.2,1031.5,1041.4,1031.7,1030.6,1031.7,1041.0,1031.0,1029.7,1030.6
5,0,0.133,0.98,1,29.3,-155.0,1050.7,-0.145,0.081,-0.048,-39.7,-38.9,-35.6,-30.9,-24.5,-14.4,-1.6,14.5,33.1,51.6,68.0,82.3,91.9,97.1,99.8,100.8,100.6,-28.9,-21.0,-10.3,1.3,11.8,39.0,49.6,60.5,71.3,79.9,27.4,27.7,28.0,28.3,16.7,23.1,29.6,36.5,42.7,-15.0,-8.3,0.6,8.6,0.9,-7.9,46.0,53.3,62.2,69.8,63.1,54.3,7.0,15.6,24.6,30.1,35.5,45.3,55.4,46.2,37.1,31.0,25.1,15.9,11.1,25.1,30.6,36.2,51.1,36.3,30.6,25.0,-178.2,-159.2,-139.9,-120.9,-104.6,-91.9,-84.1,-80.0,-79.8,-81.9,-87.8,-96.8,-110.0,-126.5,-144.9,-164.1,-182.3,-212.1,-221.3,-225.5,-225.1,-221.0,-222.9,-228.3,-230.1,-228.7,-222.4,-202.1,-190.9,-180.2,-169.2,-153.6,-152.4,-151.5,-153.4,-155.8,-191.7,-197.6,-198.3,-193.9,-191.0,-190.1,-196.5,-202.0,-202.4,-197.9,-195.3,-194.9,-120.8,-130.4,-135.4,-134.2,-135.9,-131.9,-124.4,-117.9,-115.7,-115.2,-115.0,-116.1,-121.9,-127.6,-128.0,-128.5,-124.2,-124.6,-124.1,-123.9,1108.4,1104.4,1101.0,1097.4,1088.1,1074.4,1057.9,1040.6,1033.8,1038.2,1053.0,1068.6,1078.7,1084.6,1088.2,1092.2,1098.5,1084.7,1083.5,1079.2,1072.9,1067.8,1066.8,1071.8,1076.2,1079.2,1079.7,1061.1,1050.8,1040.4,1029.8,1042.5,1039.0,1036.0,1037.5,1040.3,1076.5,1073.4,1071.2,1069.1,1069.0,1070.7,1068.5,1070.1,1070.8,1072.7,1068.1,1067.3,1044.4,1035.0,1031.2,1030.1,1031.2,1034.9,1043.4,1031.1,1026.0,1024.8,1025.5,1031.0,1041.2,1031.3,1030.2,1031.2,1040.9,1030.3,1029.2,1030.0
6,0,0.167,0.98,1,28.7,-154.5,1048.5,-0.150,0.084,-0.050,-40.1,-39.3,-36.0,-31.1,-24.7,-14.6,-1.8,14.1,32.6,51.1,67.4,81.5,91.0,96.1,98.8,99.8,99.6,-29.5,-21.5,-10.8,0.7,11.2,38.5,49.0,59.8,70.5,79.0,26.7,27.0,27.4,27.6,16.2,22.5,29.0,35.8,41.9,-15.6,-9.0,-0.1,7.9,0.2,-8.6,45.3,52.6,61.6,69.1,62.4,53.7,6.5,15.0,23.9,29.5,34.9,44.6,54.5,45.5,36.5,30.4,24.5,15.3,10.7,24.5,30.0,35.6,50.2,35.6,29.9,24.4,-177.3,-158.2,-138.7,-119.7,-103.5,-91.2,-83.6,-79.5,-79.3,-81.3,-87.3,-96.4,-109.6,-126.1,-144.5,-163.6,-181.7,-212.1,-221.2,-225.5,-225.2,-221.2,-223.2,-228.5,-230.1,-228.7,-222.4,-201.9,-190.7,-179.9,-168.9,-153.0,-151.8,-151.0,-152.8,-155.1,-191.2,-197.1,-197.9,-193.5,-190.5,-189.5,-196.1,-201.6,-202.0,-197.4,-194.8,-194.4,-120.2,-129.8,-134.8,-133.6,-135.3,-131.3,-123.9,-117.2,-114.8,-114.3,-114.2,-115.3,-121.3,-126.8,-127.2,-127.7,-123.6,-124.0,-123.4,-123.2,1105.9,1102.0,1098.8,1095.1,1085.5,1071.4,1054.7,1037.7,1031.3,1035.8,1050.5,1065.9,1075.7,1081.5,1085.1,1089.3,1095.4,1083.0,1082.0,1077.7,1071.4,1066.3,1065.3,1070.1,1074.5,1077.3,1077.5,1059.6,1049.1,1038.7,1028.0,1040.4,1037.1,1034.2,1035.6,1038.3,1074.6,1071.6,1069.3,1067.2,1067.2,1068.9,1066.6,1068.2,1068.7,1070.6,1066.0,1065.3,1041.8,1032.7,1029.1,1027.9,1029.1,1032.5,1040.6,1028.7,1024.0,1022.7,1023.4,1028.6,1038.5,1029.1,1028.1,1029.1,1038.1,1028.3,1027.1,1027.8
7,0,0.200,0.98,1,28.1,-154.1,1046.5,-0.145,0.084,-0.051,-40.5,-39.8,-36.5,-31.6,-25.2,-15.2,-2.4,13.6,32.1,50.6,66.8,80.9,90.4,95.4,98.1,99.1,99.0,-30.0,-22.1,-11.6,-0.1,10.4,37.9,48.2,59.0,69.6,78.0,26.2,26.5,26.8,27.1,15.8,22.1,28.5,35.2,41.2,-16.0,-9.3,-0.5,7.6,-0.1,-8.9,44.5,51.8,60.8,68.3,61.7,52.9,6.1,14.6,23.6,28.9,34.0,43.6,53.7,44.5,35.5,29.8,24.1,14.9,10.2,24.2,29.4,34.7,49.4,34.7,29.3,24.0,-177.0,-157.9,-138.6,-119.6,-103.3,-90.7,-82.9,-78.8,-78.6,-80.8,-86.9,-96.2,-109.6,-126.0,-144.3,-163.3,-181.3,-211.7,-220.9,-225.3,-225.1,-221.1,-223.1,-228.4,-230.0,-228.6,-222.3,-201.6,-190.3,-179.5,-168.5,-152.6,-151.4,-150.6,-152.4,-154.7,-190.7,-196.7,-197.4,-193.0,-190.0,-189.0,-195.6,-201.2,-201.6,-197.0,-194.3,-193.9,-119.8,-129.3,-134.4,-133.2,-134.9,-130.9,-123.5,-116.6,-114.4,-113.8,-113.7,-114.8,-120.8,-126.4,-126.9,-127.3,-123.2,-123.4,-122.9,-122.7,1104.2,1100.1,1096.7,1092.9,1083.6,1069.9,1053.5,1036.5,1029.9,1034.2,1048.8,1064.0,1073.8,1079.6,1083.3,1087.5,1093.7,1080.7,1079.7,1075.4,1069.0,1063.9,1062.7,1067.7,1072.1,1075.0,1075.2,1057.2,1046.8,1036.4,1025.7,1038.2,1034.9,1032.0,1033.4,1036.1,1072.3,1069.1,1066.8,1064.6,1064.7,1066.4,1064.2,1065.8,1066.3,1068.3,1063.6,1062.9,1040.0,1030.7,1026.9,1025.8,1026.9,1030.3,1038.8,1026.5,1021.7,1020.5,1021.2,1026.5,1036.7,1027.1,1026.0,1027.0,1036.3,1026.1,1024.9,1025.6
8,0,0.233,0.93,1,27.7,-153.6,1043.8,-0.148,0.081,-0.050,-40.6,-39.8,-36.5,-31.6,-25.3,-15.5,-3.0,12.9,31.3,49.7,66.0,80.1,89.6,94.7,97.5,98.6,98.5,-30.2,-22.5,-12.1,-0.5,9.9,37.4,47.7,58.4,68.9,77.3,25.8,26.1,26.5,26.8,15.6,21.8,28.2,34.8,40.8,-16.3,-9.7,-0.7,7.3,-0.4,-9.2,44.0,51.2,60.3,67.8,61.2,52.4,6.1,14.4,23.2,28.6,33.8,43.3,53.1,44.3,35.4,29.5,23.7,14.6,10.2,23.7,29.1,34.5,48.8,34.6,29.0,23.6,-176.5,-157.5,-138.1,-119.2,-103.0,-90.4,-82.5,-78.3,-78.1,-80.0,-86.1,-95.4,-108.9,-125.5,-143.9,-163.0,-181.1,-211.5,-220.8,-225.4,-225.4,-221.4,-223.5,-228.8,-230.3,-228.8,-222.4,-201.2,-189.9,-179.2,-168.2,-151.9,-150.8,-150.0,-151.8,-154.1,-190.1,-196.3,-197.0,-192.5,-189.4,-188.4,-195.0,-200.8,-201.3,-196.5,-193.7,-193.3,-119.0,-128.7,-133.8,-132.6,-134.3,-130.2,-122.7,-115.9,-113.5,-113.0,-112.8,-114.1,-120.2,-125.8,-126.2,-126.6,-122.5,-122.6,-122.1,-121.9,1100.7,1096.5,1093.0,1089.3,1080.1,1066.6,1050.6,1033.9,1027.4,1031.5,1045.8,1061.0,1070.8,1076.8,1080.9,1085.3,1091.7,1078.2,1077.5,1073.2,1066.7,1061.7,1060.6,1065.4,1069.8,1072.7,1072.7,1055.1,1044.6,1034.2,1023.4,1035.8,1032.5,1029.6,1030.9,1033.6,1069.7,1066.5,1064.1,1061.9,1062.1,1063.8,1061.6,1063.2,1063.7,1065.7,1061.0,1060.2,1036.6,1027.8,1024.2,1023.0,1024.1,1027.3,1035.4,1023.6,1019.0,1017.9,1018.6,1023.6,1033.3,1024.4,1023.2,1024.1,1033.0,1023.4,1022.3,1023.0
9,0,0.267,0.93,1,27.4,-153.2,1041.2,-0.138,0.082,-0.051,-40.8,-40.1,-36.6,-31.6,-25.3,-15.4,-2.8,13.0,31.2,49.5,65.6,79.6,89.0,94.1,97.0,98.3,98.2,-30.4,-22.8,-12.4,-0.8,9.7,36.8,47.0,57.7,68.3,76.7,25.5,25.8,26.2,26.5,15.4,21.6,28.0,34.5,40.5,-16.4,-9.8,-0.8,7.3,-0.5,-9.4,43.5,50.8,59.9,67.5,60.9,52.0,6.0,14.2,22.9,28.2,33.2,42.7,52.4,43.6,34.8,29.1,23.4,14.4,10.1,23.5,28.7,33.9,48.1,34.0,28.6,23.4,-176.5,-157.4,-138.1,-119.1,-102.8,-90.1,-82.0,-77.7,-77.4,-79.5,-85.7,-95.2,-108.8,-125.3,-143.7,-162.7,-180.9,-211.1,-220.7,-225.5,-225.5,-221.4,-223.4,-228.8,-230.3,-228.7,-222.2,-200.7,-189.4,-178.6,-167.6,-151.3,-150.2,-149.5,-151.2,-153.4,-189.6,-195.8,-196.5,-191.9,-188.7,-187.7,-194.3,-200.2,-200.6,-195.9,-192.9,-192.4,-118.5,-128.0,-133.3,-132.0,-133.7,-129.5,-122.0,-115.0,-112.7,-112.2,-112.1,-113.3,-119.6,-125.2,-125.5,-125.9,-121.7,-121.8,-121.4,-121.2,1098.6,1094.3,1090.8,1087.0,1077.8,1064.6,1048.9,1032.5,1026.2,1030.0,1044.1,1059.0,1068.4,1074.4,1078.6,1083.1,1089.5,1075.2,1074.6,1070.1,1063.5,1058.4,1057.2,1062.0,1066.5,1069.4,1069.3,1052.1,1041.6,1031.3,1020.6,1033.1,1029.9,1027.0,1028.2,1030.8,1066.9,1063.4,1061.0,1058.6,1058.9,1060.7,1058.3,1059.9,1060.5,1062.6,1057.7,1057.0,1034.1,1025.1,1021.5,1020.3,1021.3,1024.4,1032.7,1020.8,1016.4,1015.3,1016.0,1021.0,1030.7,1021.8,1020.6,1021.5,1030.3,1020.7,1019.6,1020.4
10,0,0.300,0.93,1,27.3,-152.5,1039.2,-0.136,0.086,-0.047,-40.6,-39.8,-36.3,-31.2,-24.8,-15.0,-2.5,13.0,31.0,49.1,65.1,79.1,88.5,93.7,96.7,98.1,98.2,-30.1,-22.4,-11.8,-0.1,10.4,36.7,46.9,57.8,68.5,76.8,25.7,25.9,26.2,26.4,15.4,21.5,27.8,34.3,40.3,-16.3,-9.7,-0.6,7.4,-0.4,-9.4,43.5,50.9,60.1,67.6,61.0,52.0,6.3,14.4,22.9,27.9,32.7,41.9,51.5,42.6,34.1,28.7,23.3,14.5,10.3,23.4,28.4,33.3,47.1,33.4,28.3,23.3,-176.3,-156.9,-137.3,-118.3,-101.9,-89.2,-81.3,-77.1,-76.8,-78.7,-84.8,-94.2,-107.9,-124.5,-142.9,-162.0,-180.2,-211.1,-220.8,-225.6,-225.4,-221.2,-222.9,-228.3,-229.7,-228.0,-221.2,-200.2,-188.7,-177.9,-166.8,-150.6,-149.5,-148.7,-150.4,-152.6,-189.3,-195.5,-196.1,-191.3,-188.1,-187.2,-193.5,-199.4,-199.8,-194.9,-191.9,-191.5,-117.7,-127.3,-132.5,-131.2,-132.8,-128.5,-120.8,-114.0,-111.9,-111.5,-111.5,-112.7,-118.8,-124.5,-124.8,-125.1,-120.6,-121.0,-120.6,-120.5,1097.4,1093.1,1089.4,1085.3,1076.0,1062.7,1047.0,1030.8,1024.6,1028.3,1042.1,1056.7,1066.0,1071.9,1076.2,1080.7,1087.0,1073.3,1072.8,1068.1,1061.4,1056.1,1054.7,1059.4,1063.9,1066.9,1066.8,1049.9,1039.5,1029.1,1018.4,1030.9,1027.6,1024.7,1025.9,1028.5,1065.0,1061.4,1058.9,1056.3,1056.8,1058.7,1055.8,1057.6,1058.1,1060.3,1055.3,1054.5,1031.6,1022.9,1019.4,1018.3,1019.3,1022.2,1030.2,1018.5,1014.3,1013.3,1014.0,1018.7,1028.2,1019.6,1018.5,1019.4,1027.7,1018.7,1017.6,1018.3
