frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,-7.3,2.7,1309.2,0.117,0.057,0.026,-80.1,-79.8,-77.3,-73.2,-65.8,-54.4,-41.0,-25.7,-8.4,9.1,25.0,39.5,50.5,57.5,61.9,65.1,66.9,-65.5,-55.6,-43.1,-30.6,-19.4,8.6,20.9,33.0,44.5,52.3,-5.4,-6.0,-6.6,-7.1,-21.5,-14.7,-7.8,-0.6,5.9,-51.5,-43.4,-33.5,-26.1,-34.5,-44.4,12.9,21.0,30.8,38.2,31.3,21.7,-33.7,-24.3,-15.0,-8.7,-1.8,7.5,16.0,7.1,-2.1,-9.5,-16.5,-25.4,-29.4,-15.3,-8.8,-1.8,11.5,-2.0,-9.1,-15.7,-38.7,-17.6,3.3,23.6,42.0,57.5,69.4,77.7,79.9,77.8,69.4,57.8,43.1,25.8,7.3,-11.8,-31.0,-55.4,-63.5,-65.6,-63.2,-58.1,-57.3,-61.3,-62.3,-59.6,-51.7,-39.1,-26.2,-13.6,-0.7,7.9,10.5,12.7,11.1,8.9,-38.1,-42.9,-42.1,-35.4,-33.5,-34.0,-34.1,-40.2,-39.9,-34.7,-31.3,-31.4,34.8,28.1,25.1,27.1,25.7,29.6,36.0,43.7,46.5,46.9,46.1,42.7,34.8,32.2,32.9,32.5,36.1,37.0,37.5,36.7,1362.2,1364.8,1367.4,1367.6,1363.0,1354.5,1342.9,1330.1,1325.6,1330.1,1340.8,1349.4,1352.2,1351.1,1349.0,1347.5,1347.5,1323.8,1317.8,1311.2,1304.8,1300.2,1299.0,1302.4,1306.5,1310.9,1315.9,1301.4,1296.2,1290.8,1285.7,1302.0,1299.1,1296.8,1297.4,1298.9,1320.0,1315.2,1312.9,1312.0,1313.1,1315.4,1311.0,1310.5,1311.2,1315.0,1311.3,1310.4,1317.0,1305.2,1299.8,1298.7,1299.0,1304.7,1314.5,1306.6,1302.2,1301.5,1302.6,1307.1,1314.2,1302.3,1301.0,1301.6,1312.0,1302.8,1302.0,1303.3
2,0,0.033,0.98,1,-7.6,2.2,1308.2,0.109,0.066,0.025,-80.1,-79.9,-77.3,-72.9,-65.4,-53.9,-40.5,-25.5,-8.3,9.1,25.0,39.5,50.3,57.1,61.4,64.5,66.2,-65.1,-55.6,-44.1,-32.6,-22.0,10.7,22.2,33.0,43.2,50.7,-5.4,-6.1,-6.7,-7.2,-21.1,-14.5,-7.9,-0.8,5.5,-51.4,-43.4,-33.5,-26.3,-34.6,-44.5,12.7,20.6,30.4,37.7,31.0,21.4,-33.4,-24.2,-15.1,-9.0,-2.4,6.7,15.0,6.2,-2.9,-10.1,-16.9,-25.4,-29.3,-15.4,-9.1,-2.4,10.6,-2.7,-9.5,-15.9,-40.2,-18.6,2.8,23.6,42.3,58.1,69.8,77.6,79.7,77.7,69.6,58.2,43.3,25.9,7.2,-12.2,-31.6,-56.7,-64.4,-66.7,-64.8,-60.6,-59.5,-62.5,-63.1,-60.8,-53.7,-40.1,-27.1,-14.4,-1.5,7.6,10.0,12.1,10.6,8.5,-38.4,-43.2,-42.5,-35.8,-33.6,-34.2,-34.4,-40.3,-40.0,-34.8,-31.4,-31.5,34.7,28.0,24.9,26.9,25.5,29.5,36.1,43.3,45.7,46.0,45.2,42.0,34.8,32.1,32.7,32.4,36.2,36.3,36.7,36.0,1362.1,1364.6,1367.2,1366.9,1361.7,1352.9,1341.2,1328.5,1324.0,1328.1,1338.9,1347.6,1350.2,1348.4,1345.7,1343.8,1344.0,1321.7,1316.8,1311.3,1305.4,1300.7,1299.3,1303.0,1306.3,1309.2,1312.4,1301.4,1296.2,1290.7,1285.5,1301.6,1298.7,1296.3,1296.4,1297.7,1318.5,1313.7,1311.5,1310.4,1311.5,1313.7,1310.0,1309.3,1309.9,1313.6,1309.8,1309.1,1315.6,1304.2,1299.0,1297.9,1298.1,1303.6,1313.1,1304.5,1300.0,1299.3,1300.5,1305.1,1312.7,1301.3,1300.0,1300.5,1310.3,1301.1,1300.4,1301.7
3,0,0.067,0.98,1,-7.7,2.0,1305.6,0.104,0.063,0.026,-80.1,-79.9,-77.2,-72.8,-65.5,-54.1,-40.7,-25.7,-8.5,8.8,24.8,39.2,50.0,56.8,61.2,64.4,66.1,-65.2,-55.8,-44.3,-32.8,-22.0,10.4,21.9,32.7,43.0,50.5,-5.5,-6.2,-6.8,-7.3,-21.3,-14.7,-8.0,-0.9,5.4,-51.4,-43.4,-33.6,-26.2,-34.6,-44.5,12.5,20.5,30.3,37.7,30.8,21.2,-33.1,-24.1,-15.1,-9.1,-2.6,6.3,14.6,5.8,-3.1,-10.1,-16.8,-25.2,-29.0,-15.4,-9.2,-2.6,10.1,-2.8,-9.5,-15.8,-40.2,-18.7,2.7,23.5,42.1,57.9,69.6,77.4,79.5,77.6,69.6,58.3,43.4,26.0,7.2,-12.3,-31.7,-56.7,-64.6,-67.0,-65.1,-60.9,-59.6,-62.5,-63.2,-60.8,-53.6,-40.3,-27.2,-14.5,-1.6,7.3,9.7,11.9,10.3,8.2,-38.6,-43.4,-42.6,-36.0,-33.9,-34.4,-34.6,-40.4,-40.0,-34.9,-31.5,-31.6,34.5,27.6,24.4,26.4,25.0,29.1,35.8,42.9,45.3,45.6,44.8,41.8,34.5,31.6,32.2,32.0,35.9,35.8,36.2,35.5,1360.0,1362.4,1364.8,1364.4,1359.4,1350.8,1338.9,1326.1,1321.7,1325.9,1336.9,1345.8,1348.6,1346.9,1344.3,1342.4,1342.7,1319.9,1315.0,1309.2,1303.3,1298.5,1297.2,1301.0,1304.3,1307.2,1310.4,1299.3,1293.9,1288.2,1282.9,1298.9,1296.0,1293.6,1293.8,1295.1,1316.4,1311.5,1309.3,1308.1,1309.3,1311.5,1307.9,1307.3,1307.9,1311.6,1307.8,1307.0,1312.5,1301.2,1296.1,1294.9,1295.2,1300.7,1310.2,1301.5,1296.9,1296.2,1297.5,1302.0,1309.7,1298.5,1297.2,1297.6,1307.4,1298.2,1297.5,1298.8
4,0,0.100,0.98,1,-7.9,1.8,1305.3,0.101,0.067,0.026,-80.1,-79.9,-77.3,-72.9,-65.6,-54.2,-40.9,-25.9,-8.7,8.7,24.7,39.2,50.0,56.8,61.1,64.2,65.9,-65.2,-55.9,-44.4,-33.0,-22.3,10.3,21.8,32.6,42.8,50.2,-5.7,-6.4,-7.0,-7.5,-21.4,-14.9,-8.2,-1.2,5.1,-51.6,-43.7,-33.8,-26.5,-34.9,-44.7,12.3,20.2,30.0,37.3,30.5,20.9,-33.2,-24.2,-15.3,-9.4,-3.0,5.9,14.0,5.3,-3.5,-10.5,-17.1,-25.4,-29.0,-15.6,-9.5,-3.0,9.5,-3.3,-9.9,-16.1,-40.4,-18.9,2.5,23.2,41.9,57.8,69.5,77.4,79.5,77.6,69.6,58.2,43.4,25.9,7.1,-12.4,-31.8,-57.1,-64.9,-67.2,-65.3,-61.1,-59.8,-62.6,-63.3,-61.0,-53.8,-40.4,-27.4,-14.7,-1.8,7.0,9.4,11.6,10.1,7.9,-38.8,-43.6,-42.8,-36.3,-34.1,-34.7,-34.8,-40.5,-40.2,-35.0,-31.7,-31.9,34.4,27.3,24.0,26.0,24.7,28.9,35.7,42.8,45.1,45.4,44.6,41.6,34.3,31.3,31.9,31.7,35.8,35.6,36.0,35.2,1360.0,1362.6,1365.1,1364.6,1359.6,1350.8,1338.8,1325.9,1321.4,1325.4,1336.4,1345.3,1348.2,1346.4,1343.7,1341.7,1341.7,1319.7,1314.9,1309.3,1303.4,1298.6,1297.1,1301.0,1304.2,1307.1,1310.2,1299.2,1293.8,1288.2,1282.9,1298.8,1295.9,1293.5,1293.6,1294.9,1316.3,1311.5,1309.2,1308.0,1309.2,1311.5,1307.8,1307.1,1307.7,1311.4,1307.6,1306.8,1312.1,1300.8,1295.7,1294.6,1294.8,1300.2,1309.6,1301.0,1296.6,1296.0,1297.2,1301.6,1309.2,1298.1,1296.8,1297.3,1306.9,1297.9,1297.2,1298.5
5,0,0.133,0.98,1,-8.2,1.6,1305.6,0.100,0.069,0.026,-80.2,-80.0,-77.4,-73.1,-65.8,-54.5,-41.3,-26.2,-9.0,8.4,24.5,39.0,49.8,56.7,61.0,64.1,65.9,-65.3,-56.0,-44.6,-33.1,-22.5,9.8,21.3,32.0,42.3,49.8,-6.1,-6.8,-7.3,-7.9,-21.7,-15.2,-8.5,-1.5,4.8,-51.8,-43.9,-34.1,-26.8,-35.1,-44.9,12.0,19.9,29.7,37.0,30.2,20.6,-33.1,-24.4,-15.6,-9.6,-3.2,5.5,13.5,5.0,-3.7,-10.7,-17.2,-25.5,-29.0,-15.9,-9.8,-3.2,9.1,-3.5,-10.1,-16.3,-40.6,-19.2,2.1,22.8,41.6,57.5,69.4,77.4,79.6,77.7,69.7,58.3,43.4,25.8,6.9,-12.7,-32.2,-57.3,-65.1,-67.5,-65.5,-61.3,-60.0,-62.9,-63.5,-61.2,-54.1,-40.7,-27.7,-15.1,-2.3,6.7,9.1,11.3,9.8,7.7,-39.0,-43.7,-43.0,-36.5,-34.3,-34.8,-35.0,-40.7,-40.3,-35.2,-31.8,-32.0,34.4,27.2,23.9,25.9,24.5,28.8,35.8,42.7,45.0,45.3,44.4,41.5,34.3,31.2,31.8,31.6,35.8,35.4,35.8,35.1,1360.2,1362.7,1365.3,1365.0,1359.8,1351.0,1339.0,1326.2,1321.7,1325.8,1336.6,1345.4,1348.3,1346.6,1343.9,1341.8,1341.7,1320.2,1315.4,1309.8,1304.0,1299.3,1297.7,1301.3,1304.4,1307.2,1310.2,1299.7,1294.3,1288.7,1283.3,1299.2,1296.3,1293.9,1294.0,1295.2,1316.9,1312.0,1309.8,1308.4,1309.7,1312.1,1308.1,1307.4,1307.9,1311.6,1307.9,1307.1,1311.9,1300.8,1295.9,1294.8,1295.0,1300.3,1309.5,1301.1,1296.9,1296.3,1297.6,1301.7,1309.0,1298.3,1297.0,1297.4,1306.7,1298.1,1297.5,1298.8
6,0,0.167,0.98,1,-8.6,0.9,1303.5,0.085,0.079,0.023,-80.4,-80.2,-77.4,-72.9,-65.4,-54.0,-40.9,-26.1,-9.0,8.4,24.4,38.8,49.4,56.1,60.4,63.5,65.2,-65.7,-56.5,-45.3,-33.9,-23.4,9.4,20.8,31.4,41.5,48.9,-6.7,-7.4,-8.0,-8.5,-22.1,-15.6,-9.0,-2.2,4.1,-52.1,-44.3,-34.5,-27.2,-35.5,-45.3,11.4,19.3,29.1,36.3,29.5,20.0,-33.5,-25.0,-16.3,-10.3,-3.8,5.0,12.9,4.4,-4.3,-11.4,-18.0,-26.1,-29.4,-16.6,-10.4,-3.8,8.4,-4.1,-10.7,-17.0,-40.9,-19.3,2.2,23.0,41.8,57.6,69.4,77.1,79.2,77.3,69.3,57.9,42.9,25.3,6.4,-13.2,-32.8,-58.2,-66.2,-68.7,-66.8,-62.6,-61.3,-64.2,-64.9,-62.6,-55.5,-41.7,-28.9,-16.4,-3.7,5.8,8.1,10.2,8.7,6.7,-39.7,-44.4,-43.7,-37.3,-35.1,-35.5,-35.8,-41.4,-41.0,-35.9,-32.6,-32.8,33.8,26.3,22.9,24.9,23.6,28.0,35.2,42.1,44.2,44.5,43.7,40.7,33.6,30.4,31.0,30.8,35.2,34.6,35.0,34.2,1359.5,1361.8,1364.1,1363.3,1357.5,1348.0,1335.7,1323.0,1318.7,1322.6,1333.2,1341.9,1344.6,1342.9,1340.3,1338.4,1338.7,1319.1,1314.6,1309.0,1303.2,1298.5,1296.4,1299.9,1302.9,1305.5,1308.1,1298.3,1292.8,1287.0,1281.4,1297.4,1294.5,1292.0,1292.0,1293.1,1315.5,1310.7,1308.5,1307.0,1308.3,1310.7,1306.4,1305.6,1306.0,1309.5,1305.9,1305.2,1309.3,1298.3,1293.5,1292.3,1292.5,1297.4,1306.4,1298.2,1294.2,1293.6,1294.9,1299.0,1306.3,1295.8,1294.5,1294.9,1303.6,1295.6,1295.0,1296.3
7,0,0.200,0.98,1,-9.3,-0.8,1300.9,0.070,0.092,0.020,-80.3,-80.1,-77.2,-72.7,-65.3,-54.0,-41.1,-26.4,-9.4,8.0,24.1,38.6,49.2,55.8,60.0,63.0,64.7,-66.1,-56.9,-45.7,-34.5,-24.0,8.3,19.7,30.3,40.5,47.8,-7.5,-8.2,-8.9,-9.5,-22.8,-16.4,-9.9,-3.0,3.3,-52.5,-44.8,-35.1,-27.9,-36.1,-45.7,10.5,18.4,28.0,35.3,28.5,19.1,-34.2,-25.9,-17.3,-11.2,-4.6,4.3,12.3,3.8,-5.0,-12.2,-18.9,-27.1,-30.1,-17.5,-11.2,-4.5,7.7,-4.8,-11.6,-17.9,-41.7,-20.1,1.5,22.4,41.1,56.8,68.3,75.8,77.7,75.9,68.0,56.5,41.6,24.1,5.1,-14.5,-34.0,-59.9,-67.9,-70.5,-68.7,-64.5,-63.3,-66.2,-66.9,-64.6,-57.4,-43.8,-31.0,-18.7,-6.1,3.8,6.0,8.1,6.6,4.6,-41.4,-46.1,-45.5,-39.2,-37.0,-37.4,-37.8,-43.3,-42.9,-37.8,-34.6,-34.8,32.3,24.5,20.9,23.0,21.6,26.2,33.6,40.5,42.7,42.9,42.1,39.1,32.1,28.6,29.2,29.0,33.6,32.9,33.2,32.5,1358.4,1360.5,1362.7,1361.7,1355.3,1345.3,1332.4,1319.4,1314.7,1318.4,1328.9,1337.6,1340.3,1339.0,1336.5,1334.8,1335.4,1318.1,1313.7,1308.0,1302.1,1297.4,1294.8,1298.2,1301.1,1303.5,1305.8,1296.5,1290.8,1284.8,1279.0,1295.1,1292.0,1289.4,1289.3,1290.5,1314.1,1309.3,1307.0,1305.3,1306.7,1309.1,1304.2,1303.4,1303.6,1306.9,1303.3,1302.8,1306.6,1295.5,1290.6,1289.3,1289.4,1294.1,1302.9,1294.9,1291.2,1290.7,1292.1,1296.3,1303.5,1293.0,1291.5,1291.8,1300.3,1292.5,1292.0,1293.5
8,0,0.233,0.98,1,-9.8,-2.9,1297.7,0.057,0.096,0.019,-80.2,-80.2,-77.4,-72.9,-65.6,-54.5,-41.6,-27.0,-9.9,7.7,23.9,38.4,49.0,55.6,59.7,62.6,64.2,-66.3,-57.3,-46.4,-35.3,-25.0,7.9,19.3,29.9,39.8,47.1,-8.3,-9.0,-9.7,-10.4,-23.4,-17.0,-10.6,-3.7,2.5,-53.0,-45.4,-35.8,-28.5,-36.7,-46.3,9.9,17.6,27.3,34.6,27.7,18.3,-34.6,-26.5,-17.9,-11.7,-5.1,3.9,11.9,3.5,-5.4,-12.6,-19.3,-27.5,-30.5,-18.0,-11.7,-5.0,7.4,-5.2,-12.0,-18.4,-42.8,-21.5,-0.1,20.6,39.1,54.7,66.2,73.7,75.7,73.9,65.9,54.5,39.7,22.2,3.4,-16.1,-35.4,-62.2,-70.1,-72.8,-71.1,-67.1,-66.0,-68.8,-69.4,-66.9,-59.8,-46.0,-33.4,-21.3,-8.9,1.6,3.7,5.7,4.2,2.3,-43.2,-48.0,-47.5,-41.3,-39.0,-39.3,-39.9,-45.4,-45.0,-40.0,-36.8,-37.0,30.4,22.5,18.8,20.8,19.4,24.0,31.5,38.3,40.5,40.8,40.0,37.1,30.1,26.6,27.1,27.0,31.4,30.7,31.1,30.4,1355.5,1357.5,1359.6,1358.6,1351.9,1341.6,1328.6,1315.5,1310.6,1314.2,1324.6,1333.4,1336.3,1335.1,1332.9,1331.4,1332.3,1316.1,1311.7,1306.1,1300.2,1295.4,1292.4,1295.8,1298.8,1301.2,1303.4,1294.0,1288.0,1281.8,1275.8,1292.0,1288.9,1286.2,1286.2,1287.3,1311.9,1307.1,1304.7,1303.0,1304.4,1306.9,1301.6,1300.8,1300.9,1304.1,1300.5,1300.1,1303.0,1291.8,1287.0,1285.6,1285.7,1290.4,1299.2,1291.2,1287.6,1287.0,1288.5,1292.7,1299.9,1289.4,1287.9,1288.1,1296.6,1288.9,1288.4,1289.9
9,0,0.267,0.98,1,-10.3,-5.0,1297.0,0.038,0.099,0.020,-80.7,-80.5,-77.6,-73.1,-65.9,-54.9,-42.2,-27.5,-10.4,7.2,23.5,38.1,48.7,55.3,59.4,62.3,63.9,-66.8,-57.9,-46.8,-35.6,-25.2,6.8,18.2,28.9,39.1,46.5,-8.9,-9.6,-10.2,-10.8,-23.8,-17.4,-11.0,-4.2,2.0,-53.5,-45.9,-36.3,-29.0,-37.2,-46.7,9.3,17.1,26.7,34.0,27.1,17.8,-34.8,-26.9,-18.4,-12.3,-5.7,3.3,11.2,2.9,-5.9,-13.1,-19.8,-27.9,-30.7,-18.5,-12.3,-5.6,6.6,-5.8,-12.6,-18.9,-44.0,-22.8,-1.6,18.9,37.3,52.7,64.1,71.6,73.7,72.0,64.4,53.3,38.7,21.2,2.3,-17.3,-36.6,-63.9,-72.1,-74.8,-73.1,-69.0,-67.9,-71.0,-71.6,-69.2,-62.0,-48.2,-35.9,-23.8,-11.6,-0.9,1.2,3.1,1.6,-0.3,-45.3,-50.2,-49.7,-43.6,-41.3,-41.6,-42.2,-47.7,-47.3,-42.2,-39.1,-39.3,28.3,19.9,16.0,18.0,16.7,21.5,29.4,36.2,38.4,38.7,37.9,34.9,27.9,23.9,24.5,24.3,29.2,28.4,28.8,28.1,1356.3,1357.8,1359.5,1358.2,1351.2,1340.5,1327.1,1313.6,1308.6,1312.1,1322.8,1331.9,1335.3,1334.5,1332.6,1331.4,1332.4,1317.1,1312.9,1307.2,1301.1,1296.3,1293.3,1296.6,1299.5,1301.9,1304.0,1294.4,1288.3,1282.0,1275.8,1291.7,1288.6,1285.8,1285.7,1286.8,1312.7,1307.9,1305.5,1303.6,1305.0,1307.6,1302.0,1301.3,1301.4,1304.4,1300.9,1300.5,1301.8,1290.7,1286.0,1284.5,1284.6,1289.0,1297.5,1289.8,1286.4,1286.0,1287.5,1291.5,1298.6,1288.3,1286.7,1286.9,1295.1,1287.9,1287.5,1288.9
10,0,0.300,0.98,1,-10.3,-6.8,1297.9,0.028,0.098,0.019,-80.9,-80.6,-77.7,-73.1,-65.9,-55.0,-42.2,-27.5,-10.3,7.4,23.7,38.3,48.9,55.4,59.5,62.5,64.0,-66.8,-57.9,-46.8,-35.6,-25.2,6.7,18.0,28.8,38.9,46.3,-8.9,-9.6,-10.2,-10.9,-23.7,-17.4,-11.0,-4.2,1.9,-53.6,-46.0,-36.4,-29.1,-37.3,-46.8,9.3,17.1,26.7,34.1,27.2,17.8,-34.6,-26.8,-18.3,-12.3,-5.8,3.2,11.0,2.8,-6.0,-13.0,-19.7,-27.7,-30.5,-18.4,-12.3,-5.7,6.5,-5.8,-12.5,-18.8,-45.0,-23.9,-2.8,17.6,35.7,50.9,62.1,69.4,71.5,69.8,62.4,51.5,36.9,19.6,0.8,-18.6,-37.8,-65.8,-74.0,-76.8,-75.2,-71.1,-70.0,-73.0,-73.6,-71.1,-63.8,-50.1,-37.8,-25.9,-13.8,-2.9,-0.9,1.0,-0.4,-2.3,-47.0,-52.0,-51.4,-45.2,-42.9,-43.2,-43.9,-49.5,-49.1,-43.9,-40.8,-41.0,26.4,17.7,13.6,15.6,14.3,19.2,27.5,34.2,36.4,36.7,35.9,33.0,25.9,21.7,22.2,22.1,27.2,26.5,26.8,26.2,1358.2,1359.4,1360.7,1359.1,1352.1,1341.2,1327.7,1314.1,1309.1,1312.6,1323.3,1332.6,1336.1,1335.6,1333.9,1333.1,1334.4,1318.7,1314.6,1309.0,1302.9,1298.1,1295.1,1298.5,1301.4,1303.7,1305.6,1296.1,1289.8,1283.3,1277.0,1292.7,1289.7,1286.9,1286.8,1287.8,1314.4,1309.6,1307.1,1305.1,1306.6,1309.2,1303.5,1302.9,1303.0,1306.1,1302.5,1302.1,1302.2,1291.2,1286.5,1285.1,1285.2,1289.6,1298.1,1290.4,1286.9,1286.5,1287.9,1291.9,1299.1,1288.8,1287.2,1287.4,1295.7,1288.4,1288.0,1289.5
