frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.93,1,-19.9,-47.1,1251.1,-0.050,0.016,0.007,-95.7,-95.2,-92.8,-88.9,-81.6,-69.9,-55.4,-38.6,-20.2,-2.3,14.0,28.6,39.5,46.1,49.8,52.7,54.4,-80.7,-71.2,-58.7,-45.6,-33.6,-5.4,7.3,19.9,31.9,40.1,-19.2,-19.3,-19.4,-19.5,-33.8,-26.7,-19.8,-12.8,-6.3,-64.9,-56.5,-46.5,-38.6,-47.0,-57.1,-1.2,7.1,17.0,24.8,17.7,8.0,-47.7,-36.8,-26.7,-20.1,-12.9,-3.0,6.7,-2.9,-12.5,-20.2,-27.4,-37.4,-43.2,-26.9,-20.1,-12.8,2.2,-13.0,-20.3,-27.2,-78.1,-58.1,-38.3,-19.3,-2.8,10.8,20.2,26.4,27.9,26.3,19.9,10.2,-3.6,-20.7,-39.1,-57.6,-76.3,-101.0,-110.3,-114.2,-113.5,-109.5,-109.7,-113.5,-113.7,-109.7,-100.8,-89.7,-78.8,-68.2,-57.4,-44.1,-42.4,-40.9,-42.4,-44.0,-84.3,-89.8,-89.7,-83.5,-81.3,-81.2,-83.3,-89.5,-89.2,-83.8,-80.9,-80.9,-16.5,-24.2,-28.1,-26.4,-28.0,-23.9,-17.1,-10.7,-8.5,-7.9,-8.3,-10.4,-16.8,-20.4,-20.1,-20.6,-17.1,-17.9,-17.4,-17.8,1314.7,1311.7,1309.0,1305.4,1298.6,1288.8,1275.3,1260.5,1256.0,1261.6,1275.5,1286.9,1293.2,1296.3,1298.4,1301.3,1306.1,1281.4,1276.3,1269.6,1262.5,1256.7,1254.8,1260.3,1266.2,1271.4,1275.5,1254.6,1247.0,1238.9,1231.1,1245.4,1242.9,1240.6,1242.1,1244.3,1273.0,1268.9,1266.9,1265.4,1265.2,1267.1,1264.3,1265.0,1266.1,1269.2,1264.4,1263.2,1257.2,1245.0,1239.3,1238.0,1238.5,1244.1,1255.2,1242.9,1236.1,1235.5,1236.9,1243.8,1254.6,1240.9,1239.5,1240.0,1252.3,1238.8,1237.9,1239.5
2,0,0.033,0.93,1,-20.3,-46.6,1252.9,-0.071,0.034,0.005,-95.5,-94.9,-92.3,-88.5,-81.9,-71.0,-56.8,-40.2,-21.1,-2.3,14.9,30.0,40.7,46.7,50.0,52.6,54.3,-80.3,-71.4,-60.2,-48.1,-36.7,-3.7,8.2,19.5,30.1,37.8,-19.5,-19.8,-19.9,-20.2,-33.7,-26.8,-20.1,-13.3,-7.1,-64.7,-56.6,-46.5,-38.8,-47.1,-57.1,-1.2,6.6,16.6,24.4,17.5,7.7,-48.1,-37.7,-27.3,-20.6,-13.4,-3.0,6.7,-2.9,-13.0,-20.8,-28.1,-38.4,-43.7,-27.4,-20.6,-13.2,2.2,-13.4,-20.8,-27.7,-76.4,-56.4,-36.8,-18.0,-1.7,11.7,20.8,26.6,28.1,26.7,20.9,11.4,-2.5,-19.7,-37.9,-56.2,-74.4,-101.6,-110.3,-114.4,-114.2,-111.1,-111.1,-114.1,-114.1,-110.8,-103.3,-89.8,-79.0,-68.6,-57.9,-43.9,-42.4,-41.0,-42.5,-44.1,-83.7,-89.8,-89.6,-83.0,-80.8,-80.8,-82.9,-89.5,-89.4,-83.5,-80.7,-80.6,-15.4,-24.2,-28.4,-26.8,-28.4,-24.0,-16.3,-8.8,-6.3,-5.6,-5.9,-8.5,-15.7,-20.7,-20.5,-21.0,-16.2,-15.2,-14.7,-15.1,1316.5,1312.8,1309.4,1305.2,1298.5,1288.7,1275.3,1260.0,1254.5,1258.9,1272.8,1284.3,1290.6,1293.1,1294.8,1298.1,1303.9,1282.5,1278.7,1273.3,1266.6,1260.9,1259.4,1264.4,1268.7,1271.7,1273.3,1257.8,1250.5,1242.7,1235.0,1248.3,1245.8,1243.5,1244.2,1245.8,1274.5,1270.4,1268.5,1267.0,1266.9,1268.8,1266.0,1266.2,1266.9,1269.6,1265.1,1264.3,1259.2,1247.4,1241.5,1239.9,1240.2,1245.6,1255.8,1244.0,1237.1,1236.8,1238.5,1245.6,1257.0,1242.6,1241.0,1241.1,1253.3,1240.2,1239.7,1241.4
3,0,0.067,0.93,1,-20.2,-45.9,1250.5,-0.060,0.037,0.002,-95.2,-94.5,-91.8,-87.8,-81.1,-70.4,-56.5,-40.0,-21.0,-2.1,15.1,30.1,40.6,46.5,49.9,52.6,54.3,-80.1,-71.2,-60.1,-48.0,-36.6,-3.9,7.9,19.2,29.8,37.5,-19.7,-19.9,-20.1,-20.3,-33.7,-26.8,-20.2,-13.4,-7.1,-64.6,-56.5,-46.5,-38.9,-47.1,-57.1,-1.2,6.5,16.5,24.3,17.4,7.7,-47.2,-37.4,-27.3,-20.6,-13.3,-3.1,6.1,-2.8,-12.7,-20.6,-28.0,-38.0,-42.9,-27.4,-20.5,-13.1,1.7,-13.1,-20.7,-27.7,-76.3,-56.2,-36.5,-17.7,-1.2,12.5,21.9,28.0,29.5,28.0,21.9,12.1,-2.2,-19.6,-38.0,-56.4,-74.9,-100.8,-109.7,-113.7,-113.4,-110.3,-110.3,-113.5,-113.5,-110.3,-102.7,-89.2,-78.3,-67.8,-57.1,-43.3,-41.8,-40.4,-41.9,-43.5,-83.1,-89.3,-89.2,-82.6,-80.3,-80.2,-82.6,-89.2,-89.1,-83.3,-80.4,-80.3,-14.1,-23.4,-27.8,-26.2,-27.9,-23.3,-15.2,-7.5,-4.7,-4.0,-4.3,-7.0,-14.6,-20.0,-19.8,-20.4,-15.2,-13.7,-13.1,-13.5,1313.2,1309.8,1306.7,1302.8,1296.2,1286.6,1273.5,1258.5,1252.9,1257.3,1270.7,1282.0,1288.0,1290.4,1291.8,1294.9,1300.5,1279.2,1275.3,1269.8,1263.2,1257.8,1256.4,1261.1,1265.3,1268.2,1269.7,1254.9,1247.7,1240.1,1232.6,1245.9,1243.3,1241.1,1241.6,1243.2,1271.4,1267.4,1265.4,1263.9,1264.0,1265.9,1262.9,1262.9,1263.7,1266.4,1262.0,1261.2,1256.0,1244.5,1239.0,1237.3,1237.5,1242.9,1252.5,1241.6,1235.2,1235.0,1236.7,1243.2,1253.9,1240.2,1238.5,1238.5,1250.2,1238.1,1237.7,1239.5
4,0,0.100,0.93,1,-19.9,-45.2,1249.0,-0.050,0.046,-0.005,-94.8,-94.0,-91.1,-86.8,-79.9,-69.1,-55.2,-38.9,-20.0,-1.2,15.9,30.9,41.4,47.2,50.5,53.1,54.6,-79.9,-71.4,-60.4,-48.4,-37.1,-4.0,7.9,19.1,29.6,37.1,-19.8,-20.0,-20.2,-20.4,-33.4,-26.6,-20.0,-13.3,-7.2,-64.6,-56.7,-46.7,-39.0,-47.2,-57.1,-1.1,6.5,16.5,24.2,17.4,7.7,-45.8,-36.8,-27.1,-20.3,-13.2,-3.0,5.8,-2.6,-12.3,-20.2,-27.6,-37.2,-41.5,-27.1,-20.2,-12.9,1.4,-12.8,-20.3,-27.3,-75.7,-55.5,-35.9,-17.1,-0.6,13.3,23.0,29.4,31.0,29.2,22.6,12.4,-2.1,-19.6,-38.1,-56.8,-75.4,-99.7,-108.7,-112.8,-112.6,-109.5,-109.7,-113.0,-113.1,-109.9,-102.4,-88.4,-77.4,-66.9,-56.2,-42.5,-41.0,-39.6,-41.1,-42.8,-82.3,-88.5,-88.4,-81.9,-79.5,-79.4,-82.2,-88.7,-88.7,-83.0,-80.0,-79.8,-12.8,-22.7,-27.2,-25.6,-27.3,-22.7,-14.2,-6.2,-3.2,-2.4,-2.8,-5.7,-13.5,-19.2,-19.1,-19.6,-14.3,-12.5,-11.8,-12.2,1311.3,1308.5,1305.9,1302.1,1295.4,1285.6,1272.5,1257.9,1252.3,1256.6,1269.4,1280.2,1286.0,1288.1,1289.2,1291.9,1297.0,1277.1,1273.3,1267.8,1261.3,1256.0,1254.4,1258.7,1262.6,1265.2,1266.6,1252.8,1245.9,1238.5,1231.2,1244.4,1242.0,1239.8,1240.1,1241.4,1269.5,1265.5,1263.5,1261.9,1262.2,1264.2,1260.7,1260.5,1261.1,1263.9,1259.6,1258.9,1253.7,1242.5,1237.3,1235.6,1235.7,1240.8,1250.0,1240.1,1234.4,1234.2,1235.9,1241.8,1251.6,1238.6,1236.9,1236.9,1247.7,1237.0,1236.7,1238.4
5,0,0.133,0.93,1,-19.7,-44.4,1246.9,-0.035,0.052,-0.009,-94.4,-93.5,-90.3,-85.8,-78.8,-68.1,-54.4,-38.1,-19.3,-0.6,16.5,31.3,41.7,47.4,50.6,53.2,54.8,-79.6,-71.2,-60.2,-48.3,-37.1,-4.3,7.5,18.9,29.4,36.9,-19.9,-20.1,-20.3,-20.5,-33.2,-26.5,-20.0,-13.3,-7.2,-64.3,-56.5,-46.5,-38.8,-47.0,-56.9,-1.2,6.3,16.3,24.1,17.3,7.6,-44.7,-36.2,-26.8,-20.2,-13.2,-3.2,5.3,-2.7,-12.1,-19.8,-27.0,-36.4,-40.3,-26.7,-20.0,-12.9,0.9,-12.7,-20.0,-26.8,-75.3,-55.0,-35.3,-16.5,0.2,14.2,24.1,30.7,32.3,30.4,23.6,12.9,-1.8,-19.5,-38.1,-56.9,-75.6,-98.9,-108.0,-112.0,-111.7,-108.5,-108.8,-112.2,-112.5,-109.3,-101.7,-87.6,-76.4,-65.8,-54.9,-41.6,-40.0,-38.6,-40.2,-42.0,-81.6,-87.8,-87.7,-81.2,-78.7,-78.6,-81.5,-88.2,-88.2,-82.5,-79.4,-79.2,-11.6,-21.7,-26.4,-24.9,-26.6,-21.9,-13.1,-4.9,-1.6,-0.8,-1.2,-4.2,-12.3,-18.4,-18.3,-18.8,-13.2,-11.1,-10.4,-10.8,1309.0,1306.5,1304.1,1300.5,1294.1,1284.6,1271.8,1257.3,1251.8,1255.8,1268.2,1278.7,1284.3,1286.1,1286.9,1289.2,1293.9,1274.3,1270.4,1264.7,1258.3,1253.0,1251.0,1255.2,1259.0,1261.8,1263.3,1250.1,1243.4,1236.2,1229.0,1242.3,1239.9,1237.7,1238.0,1239.3,1267.2,1262.9,1260.9,1259.2,1259.8,1261.9,1257.8,1257.4,1258.0,1260.8,1256.6,1256.0,1251.4,1240.2,1235.0,1233.3,1233.3,1238.3,1247.3,1237.9,1232.7,1232.8,1234.5,1239.9,1249.2,1236.6,1234.8,1234.7,1245.0,1235.2,1235.1,1236.8
6,0,0.167,0.98,1,-19.4,-43.9,1247.1,-0.033,0.054,-0.012,-94.2,-93.1,-89.9,-85.2,-78.1,-67.3,-53.7,-37.5,-18.8,-0.1,16.9,31.7,42.0,47.6,50.8,53.4,55.0,-79.4,-71.2,-60.2,-48.3,-37.1,-4.0,7.9,19.1,29.6,37.0,-19.7,-19.9,-20.1,-20.3,-32.8,-26.2,-19.7,-13.1,-7.0,-64.1,-56.3,-46.3,-38.6,-46.7,-56.7,-0.9,6.6,16.6,24.4,17.6,7.8,-43.8,-35.6,-26.4,-19.9,-12.9,-3.1,5.2,-2.6,-11.8,-19.4,-26.6,-35.8,-39.4,-26.3,-19.7,-12.6,0.7,-12.4,-19.6,-26.4,-75.1,-54.7,-34.9,-16.0,0.8,14.8,24.8,31.4,32.9,31.0,24.0,13.2,-1.6,-19.3,-38.0,-57.0,-75.9,-98.3,-107.5,-111.6,-111.3,-108.2,-108.6,-111.9,-112.2,-109.1,-101.5,-87.2,-76.0,-65.3,-54.4,-41.1,-39.6,-38.2,-39.8,-41.5,-81.1,-87.3,-87.3,-80.8,-78.3,-78.1,-81.3,-87.8,-87.8,-82.2,-79.1,-78.9,-10.8,-21.2,-26.0,-24.5,-26.2,-21.4,-12.5,-4.3,-1.0,-0.2,-0.5,-3.5,-11.7,-17.8,-17.7,-18.2,-12.7,-10.8,-10.1,-10.5,1308.9,1306.7,1304.6,1301.0,1294.5,1284.8,1271.9,1257.7,1252.4,1256.6,1268.9,1279.2,1284.6,1286.3,1286.9,1289.0,1293.4,1274.5,1270.5,1264.9,1258.5,1253.3,1251.3,1255.4,1259.1,1261.7,1263.0,1250.4,1243.7,1236.6,1229.6,1242.6,1240.3,1238.2,1238.4,1239.7,1267.3,1263.0,1261.0,1259.3,1260.0,1262.1,1257.9,1257.4,1258.0,1260.9,1256.8,1256.1,1250.9,1240.0,1235.1,1233.4,1233.4,1238.2,1246.8,1238.0,1233.1,1233.2,1234.8,1239.8,1248.7,1236.8,1235.1,1234.9,1244.6,1235.5,1235.4,1237.0
7,0,0.200,0.98,1,-19.1,-43.5,1246.7,-0.037,0.064,-0.013,-93.6,-92.6,-89.2,-84.5,-77.4,-66.7,-53.0,-36.9,-18.3,0.4,17.6,32.4,42.5,47.9,51.1,53.8,55.4,-79.0,-70.8,-59.9,-48.1,-37.0,-3.6,8.1,19.3,29.7,37.1,-19.5,-19.8,-20.0,-20.3,-32.6,-26.0,-19.6,-13.0,-7.0,-63.6,-55.8,-45.8,-38.2,-46.3,-56.2,-0.7,6.8,16.8,24.5,17.7,8.0,-43.3,-35.4,-26.4,-19.8,-12.8,-3.1,5.1,-2.5,-11.6,-19.2,-26.5,-35.5,-38.9,-26.2,-19.6,-12.4,0.5,-12.2,-19.5,-26.3,-74.9,-54.4,-34.4,-15.3,1.5,15.6,25.6,32.0,33.5,31.4,24.4,13.5,-1.3,-19.0,-37.7,-56.6,-75.4,-98.1,-107.2,-111.3,-110.9,-107.8,-108.1,-111.4,-111.7,-108.7,-101.3,-86.9,-75.8,-65.2,-54.3,-40.8,-39.3,-38.0,-39.5,-41.2,-80.9,-87.0,-87.0,-80.6,-78.0,-77.8,-80.9,-87.4,-87.4,-81.9,-78.7,-78.5,-10.1,-20.8,-25.7,-24.1,-25.9,-21.0,-11.8,-3.8,-0.5,0.3,0.0,-2.9,-11.0,-17.3,-17.2,-17.8,-12.0,-10.4,-9.6,-10.0,1309.4,1307.2,1305.2,1301.5,1294.6,1284.5,1271.3,1257.0,1251.7,1255.7,1267.8,1278.0,1283.2,1284.8,1285.1,1287.1,1291.6,1274.4,1270.5,1264.8,1258.5,1253.4,1251.1,1255.1,1258.6,1260.9,1262.0,1250.2,1243.6,1236.6,1229.5,1242.5,1240.2,1238.1,1238.2,1239.4,1267.1,1262.8,1260.7,1259.1,1259.7,1261.9,1257.5,1256.9,1257.3,1260.2,1256.1,1255.5,1250.1,1239.3,1234.6,1232.8,1232.8,1237.3,1245.6,1237.1,1232.5,1232.6,1234.3,1239.1,1247.9,1236.3,1234.5,1234.3,1243.4,1234.9,1234.8,1236.5
8,0,0.233,0.93,1,-18.5,-43.5,1245.0,-0.049,0.066,-0.012,-93.0,-92.0,-88.6,-83.8,-76.7,-66.0,-52.4,-36.3,-17.6,1.1,18.2,33.0,43.1,48.5,51.8,54.5,56.2,-78.3,-70.0,-59.1,-47.3,-36.2,-3.3,8.5,19.7,30.2,37.7,-18.9,-19.2,-19.5,-19.8,-32.1,-25.5,-19.0,-12.5,-6.4,-62.9,-55.1,-45.1,-37.6,-45.6,-55.6,-0.1,7.3,17.4,25.2,18.3,8.5,-42.4,-34.7,-25.7,-19.2,-12.5,-2.8,5.4,-2.2,-11.2,-18.7,-25.7,-34.7,-38.1,-25.5,-19.0,-12.1,0.8,-11.8,-18.9,-25.5,-74.3,-53.8,-33.8,-14.8,1.9,15.9,25.6,31.8,33.1,31.2,24.5,14.0,-0.7,-18.3,-36.9,-55.8,-74.5,-98.0,-107.3,-111.4,-111.0,-107.8,-108.0,-111.3,-111.7,-108.6,-101.0,-86.8,-75.8,-65.3,-54.6,-40.9,-39.4,-38.1,-39.7,-41.4,-80.7,-87.0,-86.9,-80.4,-77.8,-77.6,-80.7,-87.3,-87.3,-81.6,-78.4,-78.2,-9.8,-20.8,-25.9,-24.4,-26.1,-21.0,-11.6,-3.9,-0.8,-0.0,-0.3,-3.0,-10.8,-17.5,-17.5,-18.0,-11.9,-10.5,-9.8,-10.2,1309.0,1306.4,1303.9,1299.8,1292.9,1282.8,1269.4,1255.0,1249.4,1253.3,1265.4,1275.9,1281.4,1283.2,1283.8,1286.0,1290.8,1273.5,1269.7,1264.0,1257.7,1252.5,1250.1,1254.2,1257.7,1260.1,1261.2,1249.2,1242.5,1235.4,1228.2,1241.0,1238.7,1236.5,1236.7,1237.9,1266.3,1262.0,1259.8,1258.0,1258.8,1261.0,1256.4,1255.8,1256.4,1259.3,1255.1,1254.4,1248.2,1237.3,1232.8,1231.0,1231.0,1235.5,1243.8,1234.9,1230.3,1230.4,1232.1,1237.0,1245.9,1234.3,1232.5,1232.3,1241.5,1232.8,1232.8,1234.4
9,0,0.267,0.93,1,-18.0,-43.8,1245.8,-0.068,0.068,-0.009,-92.2,-91.2,-87.9,-83.3,-76.3,-65.7,-52.2,-36.1,-17.4,1.3,18.5,33.5,43.7,49.2,52.5,55.2,57.0,-77.9,-69.6,-58.4,-46.5,-35.3,-2.8,9.0,20.5,31.1,38.7,-18.3,-18.6,-19.0,-19.3,-31.7,-25.1,-18.6,-12.0,-5.8,-62.4,-54.6,-44.6,-37.0,-45.1,-55.1,0.6,8.1,18.2,25.9,19.1,9.3,-42.3,-34.4,-25.4,-18.8,-11.9,-2.2,6.1,-1.7,-10.8,-18.4,-25.6,-34.5,-38.0,-25.2,-18.7,-11.6,1.6,-11.3,-18.6,-25.3,-73.7,-53.3,-33.4,-14.5,2.1,15.8,25.3,31.2,32.4,30.6,24.3,14.2,-0.2,-17.8,-36.3,-55.1,-73.8,-97.9,-107.4,-111.6,-111.2,-108.0,-108.3,-111.6,-111.9,-108.7,-100.9,-87.1,-76.2,-65.8,-55.2,-41.3,-39.9,-38.6,-40.1,-41.8,-80.9,-87.2,-87.2,-80.6,-78.0,-77.9,-80.9,-87.6,-87.5,-81.7,-78.7,-78.5,-10.5,-21.4,-26.3,-24.8,-26.5,-21.5,-12.2,-5.0,-2.1,-1.3,-1.6,-4.1,-11.5,-18.1,-18.1,-18.6,-12.5,-11.5,-10.8,-11.1,1311.0,1308.0,1305.1,1300.7,1293.5,1283.0,1269.4,1254.5,1248.7,1252.7,1265.1,1275.8,1281.8,1283.9,1285.0,1287.7,1292.8,1276.2,1272.4,1266.6,1260.1,1254.7,1252.3,1256.3,1259.9,1262.4,1263.6,1251.1,1244.1,1236.7,1229.3,1242.1,1239.7,1237.4,1237.6,1238.8,1268.4,1264.2,1262.0,1260.1,1260.8,1263.0,1258.2,1257.9,1258.4,1261.1,1256.9,1256.3,1249.1,1238.4,1233.9,1232.1,1232.1,1236.6,1244.7,1235.5,1230.6,1230.6,1232.4,1237.5,1246.8,1235.1,1233.3,1233.1,1242.4,1233.4,1233.2,1235.0
10,0,0.300,0.93,1,-17.4,-44.3,1245.5,-0.076,0.070,-0.007,-91.6,-90.6,-87.4,-82.8,-75.9,-65.3,-51.7,-35.6,-16.8,2.0,19.4,34.4,44.6,49.9,53.1,55.8,57.5,-77.2,-69.0,-58.0,-46.0,-34.9,-2.0,9.8,21.2,31.7,39.2,-17.7,-18.1,-18.5,-18.9,-31.2,-24.6,-18.1,-11.5,-5.3,-61.9,-54.0,-44.1,-36.5,-44.6,-54.5,1.2,8.7,18.8,26.6,19.7,9.9,-41.9,-33.9,-24.8,-18.4,-11.6,-1.8,6.7,-1.3,-10.5,-17.9,-25.0,-34.0,-37.6,-24.6,-18.2,-11.2,2.1,-11.0,-18.1,-24.7,-73.8,-53.4,-33.6,-14.8,1.7,15.2,24.2,29.9,31.1,29.4,23.3,13.5,-0.7,-18.0,-36.3,-54.9,-73.3,-98.5,-108.0,-112.3,-111.9,-108.7,-108.9,-112.1,-112.4,-109.2,-101.4,-87.6,-76.8,-66.5,-56.0,-42.1,-40.6,-39.3,-40.8,-42.5,-81.3,-87.6,-87.6,-81.1,-78.5,-78.4,-81.3,-87.8,-87.8,-81.9,-79.0,-78.9,-11.4,-22.1,-27.1,-25.6,-27.3,-22.2,-13.0,-5.7,-2.9,-2.1,-2.4,-4.9,-12.3,-18.9,-18.9,-19.4,-13.3,-12.1,-11.5,-11.8,1311.6,1308.5,1305.3,1300.8,1293.6,1282.9,1268.8,1253.7,1247.8,1251.9,1264.6,1275.6,1281.7,1283.8,1284.8,1287.6,1292.9,1276.6,1272.9,1267.2,1260.5,1254.9,1252.5,1256.6,1260.2,1262.7,1263.8,1251.2,1244.1,1236.5,1228.9,1241.7,1239.3,1237.1,1237.2,1238.5,1268.6,1264.4,1262.2,1260.3,1260.9,1263.1,1258.3,1258.0,1258.6,1261.3,1257.0,1256.4,1248.8,1238.1,1233.4,1231.6,1231.7,1236.3,1244.6,1235.0,1229.9,1230.0,1231.6,1237.0,1246.6,1234.6,1232.8,1232.7,1242.3,1232.9,1232.7,1234.4
