frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.93,1,22.6,-56.2,816.5,0.106,0.217,-0.042,-44.3,-44.1,-42.1,-38.3,-32.0,-21.4,-8.2,7.3,25.1,43.9,62.8,80.8,94.6,102.7,106.0,107.8,108.8,-37.0,-29.1,-17.7,-5.7,5.3,30.3,42.9,56.0,69.2,80.1,18.3,17.8,17.2,16.6,6.0,12.8,19.4,26.5,33.2,-23.3,-15.9,-6.3,1.8,-6.5,-15.9,41.0,48.8,58.7,67.3,59.9,50.3,-3.8,4.6,13.0,19.3,26.1,37.8,50.9,38.6,27.4,19.8,13.1,4.6,0.6,13.2,19.7,26.6,46.0,26.5,19.3,12.8,-90.3,-72.2,-54.4,-36.7,-19.6,-4.4,7.4,16.5,18.6,16.1,8.4,-2.1,-16.6,-34.9,-55.3,-76.1,-97.0,-108.7,-117.4,-119.7,-117.9,-113.4,-115.1,-121.2,-123.6,-122.0,-114.8,-95.4,-83.8,-72.4,-60.7,-50.1,-48.1,-46.6,-48.7,-50.6,-91.0,-95.8,-95.9,-90.3,-87.6,-87.4,-92.2,-98.5,-99.0,-95.1,-90.9,-90.1,-25.5,-31.4,-34.6,-33.2,-35.1,-32.5,-28.0,-19.9,-16.9,-16.2,-16.4,-18.6,-25.5,-27.2,-26.9,-27.8,-27.6,-25.9,-25.3,-25.5,877.0,875.0,874.8,874.8,872.1,863.5,850.2,833.4,825.5,827.0,835.7,843.9,848.2,849.8,850.1,850.1,850.6,847.0,839.9,831.0,822.0,815.2,807.0,806.9,808.7,810.4,812.1,810.5,805.0,799.2,793.6,809.7,806.6,803.7,803.5,803.6,840.3,833.8,829.8,826.4,829.0,833.2,815.4,813.7,812.8,814.1,812.0,812.8,826.1,811.7,804.1,801.6,800.3,803.8,812.3,804.0,799.6,800.8,803.4,812.1,822.4,805.9,803.2,801.7,810.5,801.4,802.5,805.3
2,0,0.069,0.98,1,23.2,-56.8,817.7,0.094,0.189,-0.045,-44.0,-43.9,-41.9,-38.2,-32.3,-22.0,-8.7,7.2,25.5,44.6,63.6,81.5,95.3,103.2,106.4,108.1,109.1,-36.3,-29.3,-18.3,-6.1,5.1,30.9,43.1,55.8,68.6,79.4,19.0,18.8,18.5,18.0,7.3,14.2,20.9,27.9,34.5,-22.6,-15.3,-6.1,2.1,-6.0,-15.0,41.4,49.4,58.8,67.4,59.9,50.6,-2.4,5.9,14.4,20.5,27.2,38.5,51.3,39.4,28.6,21.2,14.6,6.1,1.9,14.6,21.0,27.7,46.6,27.6,20.7,14.3,-90.3,-72.8,-55.6,-38.3,-21.2,-5.8,6.1,15.6,18.3,15.9,8.4,-2.2,-16.8,-35.2,-55.8,-76.9,-97.8,-108.5,-117.9,-120.8,-119.4,-115.1,-117.1,-123.3,-125.8,-124.6,-117.8,-96.1,-84.7,-73.6,-62.2,-51.3,-49.3,-47.9,-50.0,-52.0,-90.2,-94.3,-94.6,-90.4,-87.6,-87.1,-92.8,-98.1,-98.6,-95.6,-91.6,-90.8,-25.9,-32.1,-35.4,-33.9,-35.8,-33.1,-28.6,-20.5,-17.5,-16.7,-16.9,-19.1,-26.1,-27.9,-27.7,-28.5,-28.2,-26.5,-25.9,-26.1,876.4,874.3,874.7,875.5,873.3,865.3,852.1,835.5,828.0,829.8,839.2,848.5,853.7,855.7,856.1,856.4,857.5,848.6,842.3,833.5,824.6,817.7,810.3,811.0,813.4,815.5,816.9,813.3,807.3,801.2,795.2,811.5,808.6,805.5,805.5,805.8,841.5,835.1,831.5,828.1,830.6,834.2,818.8,817.5,816.9,818.3,816.0,816.6,825.8,812.0,804.7,802.4,801.4,805.0,814.4,805.4,801.1,802.0,804.3,812.4,822.1,806.6,804.3,802.9,812.5,802.9,803.8,806.4
3,0,0.137,0.98,1,24.4,-56.9,798.3,0.069,0.191,-0.075,-43.7,-42.8,-39.8,-34.5,-26.8,-15.2,-1.8,13.6,31.8,50.6,68.3,84.3,95.7,101.8,104.0,105.7,106.6,-35.1,-28.5,-17.9,-5.8,5.3,30.9,43.0,55.7,68.4,78.6,19.9,19.7,19.4,19.1,8.3,15.3,22.2,29.2,35.8,-21.3,-13.9,-5.4,2.8,-5.1,-13.5,41.2,49.6,58.5,67.0,59.1,50.2,0.2,6.5,14.7,21.3,28.2,39.4,51.2,41.3,31.3,23.5,16.4,7.6,4.4,15.7,22.3,29.3,46.4,30.0,22.7,15.9,-89.2,-70.6,-52.0,-33.3,-15.8,-0.7,10.5,18.6,20.4,16.6,7.1,-5.2,-20.4,-38.7,-58.5,-78.7,-98.3,-108.0,-117.9,-121.8,-120.6,-116.2,-118.5,-124.5,-127.1,-125.8,-119.0,-96.6,-86.0,-75.7,-65.1,-53.4,-51.8,-50.5,-52.7,-54.8,-89.0,-91.9,-92.6,-90.3,-87.5,-86.7,-93.3,-96.7,-97.0,-95.4,-92.0,-91.3,-25.3,-34.2,-38.9,-37.5,-39.6,-35.9,-28.9,-18.9,-14.6,-13.4,-13.5,-16.4,-25.9,-30.2,-30.2,-31.0,-28.7,-25.5,-24.5,-24.4,860.2,859.1,860.5,860.6,856.0,846.0,830.6,815.1,810.1,813.2,822.2,830.2,833.5,834.4,833.9,835.4,838.2,829.6,824.3,815.5,807.1,800.2,792.7,795.0,798.6,801.8,803.5,795.6,789.2,782.6,776.0,791.7,789.2,786.2,786.5,787.2,822.1,815.9,812.9,809.3,811.9,814.8,801.8,800.8,800.5,802.1,799.6,799.8,803.6,789.5,782.3,780.1,779.6,783.1,793.5,785.6,782.3,782.7,784.6,791.4,800.0,785.3,783.0,782.1,791.9,783.7,784.2,786.5
4,0,0.206,0.98,1,23.5,-61.3,794.7,0.005,0.197,-0.034,-43.6,-43.3,-40.6,-36.0,-29.7,-19.5,-6.8,9.2,27.3,45.6,63.4,79.9,92.5,99.9,103.0,105.1,106.3,-34.1,-27.7,-17.1,-5.2,5.7,32.4,44.0,56.1,68.1,78.0,19.7,19.6,19.4,18.9,8.4,15.2,21.6,28.5,35.0,-20.8,-13.6,-4.8,3.3,-4.5,-13.0,41.6,49.3,58.5,66.7,59.4,50.3,-0.6,4.8,13.1,20.1,27.4,38.7,49.2,40.4,30.4,22.1,14.4,5.8,3.9,13.6,20.8,28.1,44.4,29.1,21.3,14.0,-93.9,-76.0,-58.3,-40.1,-22.4,-6.4,6.2,15.4,18.1,15.7,8.2,-2.4,-16.8,-35.1,-56.1,-77.9,-99.1,-113.8,-124.2,-127.9,-126.7,-122.5,-124.5,-130.7,-133.0,-131.4,-124.4,-102.7,-92.5,-82.5,-72.1,-59.2,-57.6,-56.5,-58.4,-60.2,-95.0,-99.0,-99.6,-96.4,-93.5,-92.9,-99.0,-103.1,-103.4,-100.9,-97.5,-96.8,-28.5,-39.8,-45.1,-43.6,-45.6,-40.8,-31.3,-21.5,-17.4,-16.4,-16.6,-19.9,-29.5,-35.7,-35.7,-36.3,-31.5,-28.5,-27.6,-27.8,853.6,851.6,852.3,852.2,846.9,836.2,821.3,805.5,799.4,801.7,810.4,819.6,824.5,826.9,826.9,828.1,830.4,826.9,823.1,815.5,808.1,802.7,794.9,795.7,797.7,799.2,798.9,795.3,789.2,783.2,776.9,790.5,788.0,785.0,784.9,785.1,820.2,814.8,812.0,808.3,811.0,814.0,799.7,798.5,797.9,798.9,797.0,797.4,797.3,784.3,778.8,776.1,775.2,777.7,785.7,779.4,776.9,777.9,780.2,786.1,793.7,781.0,778.3,776.8,784.5,778.9,780.1,782.6
5,0,0.274,0.98,1,23.8,-65.2,789.3,-0.055,0.123,-0.024,-45.1,-44.9,-42.3,-38.2,-32.3,-22.5,-9.3,7.4,25.8,44.1,61.3,77.6,90.3,97.9,101.7,104.1,105.4,-34.3,-27.9,-16.9,-4.5,6.6,33.2,45.0,57.3,69.1,78.5,20.6,20.8,20.9,20.8,9.6,16.4,22.9,29.6,36.0,-21.4,-14.0,-4.8,3.6,-4.4,-13.5,42.0,49.7,59.2,67.4,60.2,50.8,1.6,7.6,16.1,22.5,29.0,39.8,49.4,41.4,32.0,24.5,17.5,8.6,6.4,16.5,23.0,29.6,44.7,30.6,23.6,16.9,-96.3,-78.7,-61.1,-43.2,-25.5,-9.7,3.1,12.4,15.3,13.4,6.3,-3.8,-18.1,-36.3,-57.2,-78.7,-99.7,-117.4,-128.1,-132.5,-132.0,-127.9,-129.9,-135.8,-137.7,-135.5,-128.0,-107.4,-97.3,-87.5,-77.5,-63.8,-62.3,-61.3,-63.3,-65.1,-98.9,-103.9,-104.4,-100.5,-97.4,-96.7,-103.1,-108.2,-108.5,-105.1,-101.7,-101.1,-32.6,-45.1,-51.1,-49.7,-51.6,-46.5,-35.9,-25.8,-21.8,-20.8,-20.9,-24.0,-33.9,-41.5,-41.7,-42.2,-36.3,-32.5,-31.6,-31.8,846.3,843.5,842.7,841.8,837.4,827.7,815.3,800.1,793.9,796.5,805.8,816.9,824.0,828.3,830.6,833.7,837.2,822.4,820.0,813.5,807.0,802.6,797.7,799.7,802.7,804.8,804.5,795.5,788.4,781.6,774.2,786.1,783.8,781.2,781.5,782.5,816.0,811.1,808.7,805.3,807.6,810.2,801.0,800.8,801.0,802.5,799.4,799.1,789.3,777.7,773.2,771.2,771.0,774.2,782.7,775.2,771.5,772.1,773.5,778.3,786.5,775.2,773.1,772.2,781.2,774.2,774.8,776.5
6,0,0.343,0.98,1,23.2,-65.8,780.1,-0.054,0.128,-0.049,-48.0,-47.0,-43.6,-38.4,-30.7,-19.0,-4.6,12.2,30.3,48.1,64.1,78.8,89.4,95.5,98.6,100.8,101.9,-36.0,-29.1,-17.8,-5.2,6.2,32.0,43.9,56.4,68.5,77.5,20.4,20.3,20.3,20.2,9.1,15.8,22.2,28.8,35.0,-22.1,-14.7,-5.4,2.7,-5.2,-14.4,40.2,48.2,57.7,65.9,58.7,49.2,1.8,7.4,15.5,21.6,27.8,37.9,47.3,39.5,30.8,23.8,17.2,8.6,6.2,16.2,22.3,28.6,42.5,29.7,23.2,16.8,-97.1,-77.5,-58.0,-38.7,-20.7,-5.4,5.9,12.9,14.2,10.8,2.4,-8.8,-23.6,-41.4,-61.1,-81.4,-101.3,-116.8,-128.2,-133.2,-132.8,-128.6,-130.8,-136.1,-137.7,-135.0,-126.7,-108.2,-98.3,-88.8,-78.9,-64.7,-63.6,-62.7,-64.5,-66.4,-99.4,-104.5,-105.0,-100.8,-97.7,-96.9,-103.3,-108.7,-109.0,-105.3,-101.9,-101.2,-33.5,-45.8,-51.8,-50.5,-52.4,-47.2,-36.9,-27.4,-23.6,-22.5,-22.5,-25.3,-34.9,-42.9,-43.2,-43.7,-37.3,-33.6,-32.6,-32.6,844.4,841.6,839.8,836.5,829.8,819.0,805.3,790.4,785.5,789.1,798.5,808.2,814.0,817.5,820.1,824.0,828.5,813.1,810.8,804.1,797.2,792.4,787.7,790.8,794.8,798.3,799.5,786.1,778.5,770.9,763.1,775.5,773.4,770.6,771.1,772.3,805.7,801.0,798.7,795.2,797.3,799.7,792.4,792.6,793.2,795.2,791.4,790.7,779.4,768.0,763.5,762.0,762.2,765.5,774.5,766.1,762.5,762.6,763.6,768.0,776.8,765.2,763.6,763.4,772.5,765.5,765.4,766.7
7,0,0.411,0.98,1,21.8,-64.9,780.4,-0.039,0.136,-0.067,-50.5,-49.0,-45.1,-39.3,-30.7,-18.1,-3.6,12.5,30.2,47.9,64.0,78.6,88.5,93.9,96.4,98.0,98.5,-38.5,-31.5,-20.1,-7.4,4.3,30.6,42.2,54.5,66.5,75.1,19.1,19.0,19.0,18.9,8.1,14.7,21.0,27.4,33.4,-24.0,-16.6,-7.3,0.7,-7.1,-16.4,38.6,46.5,56.1,64.1,57.0,47.5,0.5,6.5,14.5,20.4,26.2,36.1,45.6,37.6,29.1,22.5,16.0,7.5,4.8,15.4,21.3,27.3,40.7,28.1,21.8,15.7,-95.8,-75.2,-54.6,-34.6,-16.7,-2.5,7.4,13.4,14.1,10.4,1.1,-10.9,-26.1,-44.0,-63.4,-83.1,-102.5,-115.9,-127.2,-132.5,-132.0,-127.7,-129.9,-135.1,-136.9,-134.6,-126.4,-107.6,-97.2,-87.3,-77.0,-62.6,-61.6,-60.7,-62.5,-64.4,-98.8,-103.8,-104.4,-100.1,-96.8,-96.1,-102.7,-108.0,-108.4,-104.8,-101.1,-100.5,-32.1,-43.3,-49.1,-47.7,-49.6,-44.8,-35.6,-26.7,-23.1,-22.2,-22.2,-24.6,-33.4,-39.8,-40.0,-40.6,-35.8,-33.9,-33.0,-32.9,845.5,843.8,842.9,839.5,831.4,819.2,804.4,790.2,786.3,790.6,800.2,809.3,814.1,816.7,818.5,821.5,825.1,812.7,810.1,803.6,796.8,791.8,787.5,790.3,794.1,796.9,797.9,786.0,778.3,770.6,762.8,775.2,773.3,770.9,771.3,772.5,804.8,800.1,797.7,794.5,796.3,798.9,792.1,792.0,792.3,794.5,790.8,790.3,779.5,768.6,764.1,762.8,763.2,766.2,774.8,766.8,763.6,763.2,764.1,768.3,776.8,766.1,764.8,764.9,772.6,766.2,765.8,766.8
8,0,0.480,0.98,1,20.3,-63.6,787.4,0.006,0.127,-0.070,-53.5,-52.1,-48.3,-42.7,-34.1,-21.2,-6.3,10.5,28.6,46.7,63.2,78.2,88.1,93.1,95.4,96.8,97.1,-40.6,-33.5,-22.0,-9.2,2.6,29.5,41.0,53.0,64.9,73.7,17.8,17.9,18.0,18.0,7.0,13.6,19.9,26.3,32.3,-25.7,-18.4,-9.0,-1.1,-9.0,-18.3,37.4,45.2,54.9,62.8,55.9,46.4,-1.3,6.0,14.0,19.4,24.6,34.1,44.4,35.0,26.3,20.3,14.6,6.5,2.9,14.7,20.0,25.5,39.5,25.5,19.9,14.5,-96.3,-75.8,-55.6,-35.6,-17.4,-2.4,8.1,14.5,15.1,11.0,1.3,-11.2,-26.8,-45.1,-64.5,-84.2,-103.7,-114.4,-125.5,-130.5,-129.7,-125.4,-127.5,-132.8,-134.9,-133.1,-125.2,-105.4,-94.5,-84.0,-73.2,-59.7,-58.4,-57.4,-59.2,-61.3,-97.2,-102.2,-102.7,-98.1,-94.7,-94.1,-100.8,-106.3,-106.7,-103.0,-99.1,-98.3,-30.8,-39.9,-44.9,-43.4,-45.2,-41.2,-33.9,-26.7,-24.4,-23.7,-23.7,-25.2,-31.8,-36.3,-36.4,-37.0,-34.0,-34.0,-33.3,-33.2,852.7,851.3,850.3,846.9,839.7,828.4,814.7,800.3,796.1,799.9,809.7,818.7,823.5,825.2,826.7,828.5,831.2,816.7,813.7,807.1,800.5,795.5,791.1,793.8,797.2,800.1,801.4,790.4,783.2,775.9,768.6,781.8,779.9,777.4,777.8,778.9,809.6,804.7,802.2,799.2,800.9,803.5,797.1,796.8,797.2,799.5,795.9,795.4,788.3,777.2,772.5,771.6,771.9,775.3,784.6,774.8,770.8,770.2,771.1,775.8,785.5,774.2,773.2,773.4,781.7,773.5,772.8,773.7
9,0,0.548,0.98,1,18.4,-61.1,791.9,0.047,0.117,-0.065,-56.6,-55.1,-51.5,-46.3,-37.8,-24.7,-9.2,8.2,26.7,44.9,61.5,76.3,86.2,91.1,93.3,94.8,95.3,-42.9,-35.4,-23.6,-10.8,1.2,28.4,40.2,52.1,64.1,73.1,16.5,16.6,16.7,16.8,5.1,11.8,18.3,24.7,30.7,-27.6,-20.1,-10.6,-2.8,-10.7,-20.2,36.0,43.9,53.6,61.5,54.7,45.1,-3.8,4.3,12.4,17.6,22.7,32.1,42.5,32.5,23.7,18.0,12.4,4.3,0.4,12.8,18.1,23.4,37.6,23.2,17.7,12.4,-96.5,-75.9,-55.6,-35.4,-16.8,-1.1,10.0,16.6,17.1,12.7,3.0,-9.6,-25.4,-43.9,-63.5,-83.4,-103.2,-112.2,-123.1,-127.7,-126.5,-122.2,-124.0,-129.2,-131.3,-129.6,-121.8,-102.3,-91.0,-80.0,-68.6,-56.4,-54.8,-53.6,-55.5,-57.7,-95.2,-100.0,-100.3,-95.5,-92.1,-91.6,-97.8,-103.4,-103.8,-100.1,-95.9,-95.2,-28.6,-36.6,-40.9,-39.4,-41.1,-37.6,-31.2,-24.5,-22.7,-22.1,-22.1,-23.3,-29.4,-33.1,-33.0,-33.6,-31.2,-31.6,-31.0,-30.9,856.4,855.4,854.6,851.3,844.9,834.6,821.4,806.8,802.6,806.5,816.5,825.1,829.5,830.4,831.2,832.0,833.9,818.3,814.7,807.8,801.2,796.1,791.7,794.5,797.8,801.0,803.1,792.1,785.6,778.8,772.3,785.8,784.0,781.6,781.9,783.0,811.5,806.8,804.3,801.4,803.0,805.7,799.4,798.9,799.5,802.0,798.5,797.8,794.3,783.2,778.3,777.5,777.7,781.4,790.9,780.4,776.0,775.4,776.3,781.4,791.5,779.7,778.9,779.0,787.7,778.8,778.0,779.0
10,0,0.617,0.98,1,17.2,-57.2,797.4,0.073,0.128,-0.062,-56.1,-54.6,-50.9,-45.7,-37.6,-24.8,-10.0,6.8,24.8,42.8,59.3,74.0,83.8,88.7,90.8,92.2,92.5,-44.2,-36.3,-24.6,-12.1,-0.4,28.0,39.9,51.7,63.4,72.2,15.6,15.6,15.6,15.7,3.7,10.4,16.9,23.5,29.5,-29.2,-21.7,-12.0,-4.2,-12.3,-21.9,34.9,42.8,52.6,60.5,53.6,44.0,-5.7,2.4,10.6,16.0,21.4,30.8,41.1,31.2,22.2,16.2,10.4,2.1,-1.6,11.0,16.5,22.0,36.2,21.8,16.2,10.7,-94.4,-73.2,-52.2,-31.6,-12.6,3.3,14.6,21.4,21.8,17.4,7.2,-6.0,-22.1,-40.9,-60.5,-80.4,-100.0,-110.1,-120.4,-124.5,-123.1,-118.8,-120.3,-125.1,-127.2,-125.7,-118.1,-98.5,-86.7,-75.3,-63.5,-52.0,-50.4,-48.9,-50.9,-53.2,-92.2,-96.9,-97.1,-92.0,-88.7,-88.4,-94.0,-99.7,-100.1,-96.3,-92.1,-91.4,-24.0,-32.1,-36.3,-34.8,-36.5,-32.9,-26.4,-19.0,-16.9,-16.4,-16.4,-18.1,-24.7,-28.5,-28.4,-29.0,-26.3,-26.2,-25.6,-25.5,858.6,858.7,858.9,856.4,850.6,840.9,828.5,813.9,808.6,811.9,821.0,829.1,832.5,832.2,832.2,832.4,833.6,821.4,817.6,810.6,803.9,798.8,794.2,797.1,800.0,803.3,805.8,795.4,789.2,782.8,776.7,790.8,788.6,786.0,786.1,787.1,815.2,810.3,807.6,804.7,806.5,809.5,802.6,802.1,802.5,805.0,801.6,801.0,800.6,789.3,783.9,782.9,783.1,786.9,796.3,786.4,782.2,781.8,782.9,788.1,797.7,785.6,784.5,784.6,793.4,784.7,784.1,785.2
