frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,45.3,-24.7,883.0,0.036,0.063,0.003,-29.3,-28.5,-25.6,-21.1,-12.8,-0.3,13.4,29.1,46.6,64.3,80.7,95.3,106.1,112.4,116.0,118.4,119.7,-14.3,-4.3,8.7,21.6,33.1,59.7,72.2,84.5,96.1,104.1,46.5,46.1,45.9,45.7,31.6,38.6,45.4,52.7,59.2,0.2,7.9,17.7,25.0,16.8,7.2,65.8,73.5,83.1,90.4,83.6,74.3,19.5,29.6,38.9,45.4,52.5,62.3,71.4,62.3,52.8,45.2,38.1,29.0,23.9,38.9,45.6,52.8,66.7,52.7,45.4,38.6,-62.9,-41.4,-19.9,0.6,18.9,33.8,45.0,53.0,54.9,52.9,44.2,32.6,17.4,-0.5,-19.5,-38.7,-57.6,-82.7,-91.6,-94.3,-92.4,-87.2,-86.6,-90.8,-91.6,-89.0,-81.0,-67.9,-55.2,-42.9,-30.4,-20.0,-17.7,-15.7,-17.7,-20.1,-65.0,-70.2,-69.8,-63.8,-61.2,-61.5,-62.9,-68.5,-68.2,-63.1,-60.0,-60.2,7.2,0.3,-2.6,-0.9,-2.4,0.8,7.1,14.0,16.5,17.0,16.4,13.9,7.1,4.5,5.0,4.4,7.2,7.4,8.1,7.5,935.5,937.4,938.9,937.4,929.4,917.7,905.4,893.0,890.3,896.7,908.3,918.3,921.8,921.6,920.9,921.0,921.6,899.5,894.9,889.6,884.2,880.9,881.5,885.1,889.1,892.6,896.5,880.5,873.9,867.5,861.4,875.6,872.8,870.7,871.6,873.6,894.6,891.4,889.7,889.1,889.3,891.0,890.5,890.8,891.8,895.1,891.4,890.1,885.8,875.9,872.3,871.7,872.9,878.2,887.5,878.6,872.9,870.9,871.3,875.2,883.6,873.6,873.1,874.4,884.4,874.6,872.7,873.2
2,0,0.052,0.98,1,45.7,-24.4,885.4,0.051,0.048,0.008,-29.2,-29.2,-26.6,-21.5,-12.3,1.1,15.0,30.6,47.5,64.1,79.5,93.6,104.6,111.4,115.3,117.8,118.9,-12.8,-2.3,10.0,21.8,32.2,61.7,73.9,85.6,96.4,104.2,46.5,46.3,46.1,46.0,32.0,38.9,45.7,52.8,59.4,0.1,7.8,17.7,25.2,16.9,7.1,65.8,73.6,83.4,90.6,83.9,74.5,20.1,30.5,39.6,46.2,53.1,62.9,72.0,63.0,53.7,46.2,39.1,30.1,24.6,39.6,46.3,53.4,67.3,53.3,46.1,39.4,-64.4,-42.9,-21.1,-0.0,18.5,33.8,45.5,53.8,55.8,54.1,45.8,34.7,19.6,1.6,-18.1,-38.0,-57.6,-85.2,-92.7,-94.5,-92.4,-87.9,-87.3,-91.1,-91.6,-88.8,-81.3,-67.6,-54.7,-42.1,-29.3,-19.0,-16.8,-14.8,-16.8,-19.1,-64.8,-70.1,-69.5,-63.5,-60.7,-61.0,-62.4,-68.1,-67.8,-62.7,-59.4,-59.5,7.8,1.3,-1.7,-0.1,-1.6,1.5,7.4,14.2,16.6,17.2,16.6,14.3,8.0,5.7,6.1,5.3,7.6,7.4,8.1,7.5,934.7,937.3,939.6,938.6,930.5,918.7,906.8,896.0,894.5,901.5,913.1,923.0,925.9,924.9,923.3,922.3,922.0,897.8,894.0,889.9,885.5,882.9,882.2,886.5,890.8,894.0,897.8,882.5,876.1,869.7,863.7,877.5,875.0,873.3,874.3,876.7,895.7,892.7,891.2,890.7,890.9,892.5,892.0,892.5,893.7,897.3,893.3,891.8,888.6,878.0,875.0,874.6,875.7,881.5,891.3,881.6,875.5,873.3,873.4,877.3,886.2,876.4,876.2,877.5,887.8,877.1,875.0,875.3
3,0,0.104,0.98,1,45.8,-23.7,884.2,0.056,0.021,0.011,-29.7,-29.8,-27.3,-22.4,-13.1,0.5,14.6,30.4,47.2,63.5,78.5,92.4,103.7,110.8,114.9,117.4,118.6,-13.0,-2.5,10.2,22.2,32.8,61.3,73.7,85.6,96.7,104.6,46.6,46.5,46.5,46.6,32.2,39.2,46.2,53.4,60.0,0.1,7.8,17.9,25.4,17.0,7.1,65.8,73.6,83.5,90.8,84.1,74.6,20.3,31.3,40.4,46.9,53.8,63.6,72.7,63.8,54.6,47.2,40.3,31.1,24.9,40.4,47.0,54.1,68.1,54.1,47.0,40.4,-64.2,-43.0,-21.3,-0.3,18.2,33.7,45.5,54.2,56.2,54.8,46.9,36.0,21.1,3.0,-17.0,-37.2,-57.2,-84.1,-91.6,-93.4,-91.2,-86.6,-86.0,-90.1,-90.7,-87.9,-80.1,-66.8,-53.7,-41.1,-28.2,-18.1,-15.8,-13.8,-15.9,-18.3,-64.2,-69.6,-69.0,-62.8,-60.0,-60.3,-61.9,-67.8,-67.5,-62.3,-59.0,-59.0,8.4,2.4,-0.5,1.1,-0.5,2.4,7.8,14.5,16.9,17.5,17.0,14.8,8.6,6.7,7.1,6.2,8.0,7.8,8.5,7.9,931.0,933.7,936.1,935.4,927.9,916.7,905.4,894.9,893.7,901.2,913.4,924.1,927.6,926.9,925.4,924.1,923.5,895.3,891.3,887.3,883.1,880.8,880.7,885.3,890.1,893.8,898.1,881.0,874.5,868.0,861.9,875.7,873.3,871.8,873.2,876.0,893.5,890.6,889.3,889.1,889.1,890.5,891.1,892.0,893.4,897.2,893.1,891.3,887.2,876.6,873.9,873.7,875.0,881.2,891.5,881.1,874.4,872.0,872.0,875.8,884.9,875.3,875.2,876.8,887.8,876.0,873.7,873.9
4,0,0.156,0.98,1,45.9,-23.0,887.1,0.081,0.007,0.007,-30.4,-30.5,-28.0,-22.9,-13.3,0.6,14.9,30.7,47.3,63.4,78.2,92.0,103.4,110.7,114.7,116.9,117.8,-13.3,-2.6,9.8,21.5,31.9,62.0,74.0,85.4,96.0,104.0,46.6,46.7,46.9,47.2,32.7,39.7,46.6,53.8,60.3,-0.2,7.5,17.6,25.1,16.7,6.7,65.9,73.5,83.4,90.6,84.1,74.6,20.4,31.6,40.8,47.4,54.3,64.0,73.0,64.3,55.1,47.7,40.6,31.4,25.1,40.8,47.5,54.6,68.5,54.5,47.4,40.7,-64.3,-43.0,-21.3,-0.2,18.5,34.1,46.0,54.7,56.7,55.2,47.2,36.2,21.2,3.0,-17.1,-37.6,-57.8,-83.8,-90.9,-92.4,-90.2,-85.8,-85.3,-89.4,-90.2,-87.8,-80.6,-66.0,-52.7,-39.9,-26.8,-16.9,-14.6,-12.6,-14.7,-17.2,-63.5,-69.0,-68.4,-62.1,-59.2,-59.5,-61.3,-67.5,-67.3,-62.1,-58.6,-58.5,9.3,3.6,0.9,2.5,0.9,3.5,8.4,15.3,17.8,18.5,17.9,15.6,9.6,7.9,8.3,7.4,8.9,8.9,9.6,9.1,930.8,934.0,937.1,937.0,929.9,919.0,908.3,898.4,897.4,904.9,917.2,928.1,931.5,930.3,928.2,926.2,924.9,894.4,890.7,887.3,883.7,881.7,882.4,887.0,891.4,894.8,898.9,882.4,876.3,870.2,864.4,878.3,875.9,874.5,875.8,878.4,893.7,890.9,889.8,890.0,889.8,891.0,892.7,893.6,895.2,899.2,895.0,893.1,890.2,879.9,877.4,877.3,878.7,885.2,895.4,885.0,878.1,875.6,875.5,879.2,887.9,878.7,878.7,880.4,891.6,879.6,877.3,877.4
5,0,0.208,0.98,1,45.6,-22.1,888.2,0.103,-0.006,0.000,-31.3,-31.4,-28.7,-23.6,-13.8,0.3,14.8,31.0,47.6,63.4,77.9,91.5,102.9,110.2,114.1,116.3,117.0,-14.0,-3.2,9.4,21.4,31.9,60.2,72.2,83.7,94.8,103.1,45.9,46.2,46.6,47.0,32.3,39.5,46.5,53.7,60.4,-0.9,6.8,17.0,24.6,16.2,6.1,65.1,72.7,82.6,90.0,83.5,74.0,20.1,31.7,41.1,47.6,54.5,64.2,73.5,64.7,55.5,48.2,41.2,31.7,24.8,41.1,47.7,54.7,69.0,54.8,47.8,41.1,-63.5,-42.3,-20.6,0.4,19.1,34.7,46.5,55.2,57.1,55.5,47.5,36.6,21.6,3.3,-17.0,-37.7,-58.0,-82.3,-89.3,-90.7,-88.5,-83.8,-83.6,-88.1,-89.1,-87.1,-79.9,-64.8,-51.4,-38.3,-25.1,-15.5,-13.2,-11.2,-13.5,-16.1,-62.4,-67.9,-67.3,-60.9,-58.1,-58.4,-60.5,-66.9,-66.9,-61.8,-58.1,-57.9,10.2,4.9,2.2,3.7,2.0,4.3,8.7,16.1,18.9,19.7,19.2,17.0,10.6,9.1,9.4,8.3,9.3,10.0,10.8,10.3,929.8,933.3,936.7,937.3,931.0,920.8,910.2,900.6,899.8,907.6,920.1,931.2,934.7,933.5,931.1,928.6,926.7,893.6,889.6,886.2,882.6,880.7,881.7,886.1,890.7,894.3,898.8,882.2,876.3,870.3,864.8,878.8,876.4,875.1,876.7,879.5,893.5,890.5,889.5,889.9,889.7,890.8,892.7,893.5,895.3,899.5,895.3,893.3,891.9,881.5,878.8,878.9,880.3,887.0,897.6,887.0,879.8,877.3,877.0,880.9,889.8,880.2,880.3,882.1,893.8,881.2,878.8,878.8
6,0,0.260,0.98,1,45.5,-20.8,888.4,0.120,-0.024,-0.002,-32.0,-32.0,-29.3,-24.2,-14.5,-0.4,14.2,30.5,47.2,63.0,77.4,91.0,102.4,109.7,113.6,115.6,116.3,-14.8,-3.8,9.0,21.0,31.6,59.9,71.9,83.6,94.7,103.2,45.6,46.1,46.6,47.2,32.5,39.7,46.7,53.8,60.4,-1.5,6.3,16.6,24.4,15.9,5.7,64.7,72.4,82.4,89.8,83.3,73.7,20.1,32.0,41.4,47.9,54.7,64.3,73.6,65.0,55.9,48.6,41.7,32.1,24.9,41.4,48.0,55.0,69.2,55.0,48.1,41.5,-62.0,-41.1,-19.8,0.9,19.4,35.0,47.0,56.1,58.2,56.6,48.6,37.3,22.1,3.6,-16.9,-37.6,-58.1,-80.7,-87.5,-88.5,-86.2,-81.6,-81.6,-86.3,-87.6,-85.7,-78.7,-63.0,-49.6,-36.5,-23.3,-13.9,-11.5,-9.6,-11.8,-14.5,-60.7,-66.2,-65.7,-59.3,-56.4,-56.6,-59.2,-65.7,-65.8,-60.7,-56.9,-56.6,11.5,6.6,4.0,5.4,3.6,5.7,9.7,17.3,20.3,21.1,20.7,18.4,11.9,10.7,11.0,9.9,10.4,11.4,12.3,11.7,927.6,931.3,934.7,935.7,930.2,920.7,910.9,901.6,901.0,909.0,922.0,933.4,937.0,935.6,933.0,930.1,927.7,891.8,887.5,884.1,880.5,878.8,880.1,884.9,890.0,894.2,899.4,881.1,875.3,869.5,864.1,878.2,876.0,875.0,876.7,879.7,892.3,889.3,888.4,889.2,888.9,889.8,892.4,893.4,895.4,899.9,895.6,893.3,892.2,881.7,879.1,879.3,880.7,887.7,898.6,887.7,880.2,877.7,877.4,881.3,890.0,880.6,880.8,882.6,894.8,881.5,879.0,878.9
7,0,0.312,0.98,1,45.3,-19.3,891.0,0.133,-0.039,-0.009,-32.8,-32.7,-30.0,-24.8,-15.2,-1.1,13.6,30.2,47.2,63.2,77.7,91.2,102.6,109.7,113.3,115.2,115.7,-15.1,-4.0,8.5,20.3,30.7,59.7,71.4,82.8,93.8,102.4,45.2,45.9,46.6,47.3,32.5,39.8,46.9,54.0,60.5,-2.0,5.9,16.2,24.0,15.5,5.3,64.5,72.0,82.0,89.5,83.0,73.5,20.2,32.2,41.6,48.2,55.1,64.8,74.0,65.6,56.6,49.2,42.2,32.4,25.0,41.7,48.4,55.4,69.5,55.5,48.5,41.8,-60.0,-39.4,-18.2,2.2,20.7,36.3,48.3,57.4,59.4,57.7,49.5,38.0,22.5,3.9,-16.6,-37.3,-57.7,-78.5,-85.0,-85.9,-83.7,-79.4,-79.8,-84.6,-86.1,-84.6,-78.1,-61.3,-47.9,-34.8,-21.6,-12.1,-9.8,-7.9,-10.2,-13.0,-58.7,-64.3,-63.9,-57.5,-54.5,-54.7,-57.9,-64.6,-64.8,-59.9,-56.0,-55.5,13.6,8.4,5.6,7.0,5.1,7.1,11.1,18.8,22.1,23.0,22.7,20.4,14.0,12.5,12.7,11.5,11.9,13.0,14.0,13.5,927.5,931.4,935.2,936.8,932.2,923.4,914.1,904.9,904.2,912.3,925.5,937.3,941.1,939.5,936.3,933.0,930.5,891.9,887.8,884.9,881.8,880.4,882.4,887.2,892.0,895.9,900.7,882.9,877.6,872.0,866.9,880.7,878.7,877.9,879.6,882.6,893.4,890.3,889.6,890.7,890.2,891.0,894.6,895.3,897.4,902.1,897.8,895.4,894.8,884.2,881.7,882.0,883.4,890.7,901.7,890.8,883.2,880.7,880.3,884.2,892.7,883.4,883.6,885.4,897.8,884.2,881.7,881.6
8,0,0.364,0.98,1,45.4,-17.6,894.3,0.154,-0.050,-0.010,-33.5,-33.4,-30.8,-25.7,-16.0,-1.7,13.4,30.4,47.7,63.7,78.2,91.5,102.7,109.7,113.1,114.8,115.1,-15.1,-3.9,8.5,20.2,30.5,59.8,71.3,82.5,93.3,102.0,45.3,46.1,46.9,47.7,32.8,40.1,47.2,54.3,60.8,-2.2,5.6,16.0,23.8,15.3,5.0,64.6,72.0,82.1,89.5,83.1,73.5,20.1,32.1,41.7,48.5,55.4,65.2,74.3,66.0,56.9,49.5,42.3,32.4,25.0,41.8,48.6,55.7,69.8,55.9,48.8,41.9,-58.7,-38.2,-17.3,3.0,21.4,37.2,49.4,58.7,60.7,58.9,50.4,38.8,23.3,4.7,-15.8,-36.4,-56.8,-76.9,-83.1,-83.9,-81.6,-77.4,-77.8,-82.7,-84.3,-83.0,-76.9,-59.2,-45.7,-32.6,-19.3,-10.0,-7.7,-5.8,-8.2,-10.9,-56.7,-62.3,-61.9,-55.5,-52.5,-52.6,-56.0,-62.8,-63.1,-58.2,-54.2,-53.7,15.6,10.2,7.3,8.7,6.7,8.8,12.9,21.0,24.4,25.3,25.0,22.6,15.9,14.4,14.6,13.4,13.7,15.1,16.0,15.6,928.2,932.6,937.2,939.3,935.3,926.8,917.5,908.6,908.2,916.6,930.1,942.0,945.6,943.4,939.3,935.3,932.0,891.8,888.1,885.7,883.1,882.1,884.7,889.2,893.7,897.2,901.7,885.2,880.4,875.4,870.8,884.1,882.4,881.8,883.3,886.1,894.6,891.6,891.1,892.3,891.9,892.5,896.9,897.5,899.8,904.6,900.4,897.9,897.8,887.3,885.0,885.3,886.9,894.3,905.3,894.7,887.1,884.4,884.0,887.7,895.8,886.9,887.1,889.0,901.4,887.8,885.3,885.1
9,0,0.416,0.98,1,45.2,-16.0,896.3,0.149,-0.058,-0.014,-34.1,-33.8,-30.9,-25.7,-15.9,-1.6,13.5,30.4,47.7,63.7,78.1,91.3,102.4,109.2,112.6,114.3,114.5,-15.5,-4.2,8.2,19.9,30.2,59.6,71.0,82.1,92.8,101.6,45.2,46.1,47.0,48.0,32.8,40.2,47.3,54.4,60.9,-2.5,5.4,15.8,23.6,15.1,4.8,64.2,71.6,81.7,89.2,82.8,73.2,19.9,31.9,41.5,48.5,55.7,65.4,74.3,66.2,57.2,49.4,42.0,32.0,24.9,41.6,48.6,56.0,69.8,56.1,48.8,41.6,-56.6,-35.9,-14.9,5.5,23.9,39.4,51.3,60.2,62.1,60.4,52.1,40.4,24.7,6.0,-14.5,-35.3,-55.7,-75.1,-81.2,-82.0,-79.9,-75.8,-76.3,-81.2,-82.8,-81.7,-75.7,-57.6,-44.2,-31.0,-17.7,-8.5,-6.2,-4.3,-6.7,-9.4,-54.9,-60.6,-60.2,-53.8,-50.8,-50.9,-54.6,-61.4,-61.8,-56.9,-52.8,-52.3,17.4,11.4,8.4,9.8,7.8,10.1,14.7,22.8,26.4,27.4,27.0,24.5,17.7,15.7,15.8,14.6,15.4,16.9,17.9,17.5,929.7,934.0,938.6,940.8,936.9,928.6,919.4,910.5,909.9,918.3,932.0,944.1,947.7,945.6,941.5,937.8,934.7,893.2,889.7,887.5,885.0,884.1,887.2,892.0,896.5,900.0,904.4,887.4,882.7,877.8,873.3,886.3,884.6,884.0,885.5,888.2,896.1,893.1,892.7,894.0,893.5,894.0,899.2,899.8,902.2,907.1,902.8,900.3,899.6,889.2,886.9,887.1,888.8,896.4,907.3,897.0,889.2,886.6,886.2,889.8,897.7,888.7,888.9,890.9,903.5,890.0,887.5,887.4
10,0,0.468,0.98,1,45.2,-15.3,897.8,0.158,-0.066,-0.012,-34.7,-34.3,-31.4,-26.3,-16.7,-2.3,12.9,30.2,47.6,63.7,78.1,91.2,102.2,109.0,112.4,114.1,114.3,-15.6,-4.2,8.3,20.2,30.5,59.8,71.2,82.3,93.0,101.7,45.4,46.3,47.3,48.3,32.9,40.3,47.5,54.5,61.0,-2.7,5.3,15.8,23.6,15.0,4.7,64.3,71.7,81.9,89.3,83.0,73.4,19.8,31.6,41.3,48.4,55.8,65.5,74.1,66.2,57.2,49.3,41.6,31.7,24.7,41.3,48.5,56.1,69.6,56.2,48.6,41.3,-56.1,-35.4,-14.5,5.9,24.3,40.0,52.0,61.1,63.0,61.2,52.6,40.8,25.1,6.4,-14.0,-34.8,-55.2,-73.9,-80.2,-81.1,-79.0,-74.9,-75.7,-80.6,-82.2,-81.1,-75.0,-56.6,-43.3,-30.2,-17.0,-7.7,-5.4,-3.6,-5.9,-8.6,-53.8,-59.6,-59.3,-52.6,-49.6,-49.8,-53.5,-60.7,-61.1,-56.1,-52.0,-51.3,18.1,11.9,8.8,10.2,8.2,10.5,15.4,23.8,27.5,28.6,28.2,25.5,18.3,16.0,16.1,14.9,16.1,18.3,19.3,18.9,929.9,934.3,938.9,941.1,937.6,929.8,921.3,912.6,912.1,920.4,933.7,945.4,948.8,946.8,943.0,939.6,936.6,893.2,890.0,887.9,885.4,884.6,888.1,892.8,897.4,901.2,905.9,888.4,884.0,879.4,875.2,888.0,886.3,885.7,887.0,889.6,896.5,893.5,893.2,894.6,894.1,894.4,900.3,901.0,903.4,908.4,904.1,901.5,900.8,890.6,888.3,888.6,890.4,898.0,908.7,899.0,891.5,888.9,888.4,891.6,899.0,890.1,890.3,892.4,905.1,892.3,889.8,889.6
