frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,32.4,-159.6,1079.0,-0.123,0.014,-0.015,-42.3,-41.9,-39.1,-34.3,-26.5,-14.5,-0.3,16.5,34.7,52.6,68.1,81.7,91.2,96.8,100.2,102.3,103.1,-25.2,-15.9,-3.4,9.5,20.5,44.8,56.0,67.6,78.9,87.0,33.4,33.6,33.9,34.3,20.5,27.1,33.8,40.5,46.4,-11.4,-3.7,5.3,13.0,5.1,-3.8,50.7,58.6,67.4,74.5,67.9,59.2,10.0,18.8,28.0,33.5,39.0,47.8,55.6,47.9,39.7,33.5,27.5,18.5,14.4,28.0,33.6,39.2,51.3,39.2,33.4,27.8,-188.9,-168.1,-147.0,-126.9,-109.5,-95.8,-86.7,-81.0,-79.4,-81.4,-88.7,-99.5,-114.2,-131.9,-151.0,-170.6,-189.6,-217.4,-227.1,-230.9,-229.6,-224.6,-225.6,-230.3,-231.3,-228.8,-220.7,-205.7,-194.8,-184.3,-173.4,-159.9,-158.2,-156.8,-158.3,-160.2,-198.1,-203.0,-203.2,-199.0,-196.3,-196.0,-199.4,-203.9,-203.6,-199.4,-197.0,-197.1,-128.5,-139.0,-143.8,-142.2,-143.6,-138.7,-129.5,-121.6,-118.9,-118.5,-118.9,-121.4,-129.4,-135.6,-135.6,-135.7,-129.7,-128.6,-128.2,-128.5,1134.6,1131.0,1127.7,1122.7,1112.7,1099.4,1084.1,1069.6,1067.0,1073.7,1087.9,1101.4,1110.1,1115.6,1119.7,1124.4,1130.0,1107.5,1107.0,1103.2,1098.2,1094.0,1093.9,1099.2,1104.4,1108.7,1110.2,1088.5,1078.9,1069.6,1060.1,1069.5,1067.1,1065.1,1067.0,1070.0,1099.8,1097.4,1096.1,1094.1,1093.9,1094.9,1096.7,1098.3,1099.5,1101.9,1097.3,1095.7,1070.0,1062.1,1059.5,1058.8,1060.6,1064.0,1071.8,1060.8,1056.3,1054.6,1054.7,1058.2,1067.7,1059.7,1059.1,1060.6,1069.4,1060.6,1058.7,1058.9
2,0,0.033,0.98,1,29.9,-157.2,1057.7,-0.201,0.036,-0.020,-40.7,-41.1,-38.8,-34.3,-27.4,-16.4,-2.5,14.4,33.1,51.4,67.0,80.3,89.2,94.2,97.3,99.0,99.2,-25.5,-17.2,-6.0,5.6,15.8,42.3,52.5,63.0,73.0,80.7,29.8,30.1,30.4,30.6,18.6,24.7,30.8,37.0,42.6,-13.0,-6.0,2.7,10.5,2.8,-5.7,47.5,55.2,63.8,70.6,64.2,55.7,9.9,17.2,25.3,30.8,36.1,44.3,51.2,44.7,37.3,31.4,25.4,17.3,14.2,25.6,31.1,36.5,47.0,36.6,31.0,25.5,-181.4,-161.9,-141.6,-121.9,-105.6,-93.1,-85.3,-80.4,-78.8,-80.0,-86.6,-96.2,-109.6,-126.2,-145.2,-164.8,-183.3,-217.4,-226.2,-229.9,-228.8,-224.1,-225.1,-229.8,-230.7,-228.7,-222.2,-204.3,-193.8,-183.8,-173.5,-157.9,-156.4,-155.2,-156.6,-158.3,-195.5,-200.5,-201.0,-197.2,-194.3,-193.6,-197.7,-201.7,-201.4,-197.2,-195.0,-195.3,-126.2,-137.2,-142.2,-140.6,-142.0,-136.9,-127.4,-120.5,-117.7,-117.4,-117.8,-120.3,-127.7,-132.7,-132.8,-132.8,-127.9,-128.4,-128.1,-128.4,1114.5,1111.5,1109.2,1105.0,1093.7,1077.9,1059.5,1044.0,1041.3,1048.6,1063.5,1078.4,1088.6,1095.1,1098.9,1102.8,1107.9,1094.3,1094.4,1091.2,1086.2,1082.1,1081.3,1085.8,1090.5,1093.1,1092.7,1074.4,1063.6,1052.9,1042.0,1051.3,1049.1,1047.2,1048.7,1051.5,1085.4,1082.8,1081.1,1079.4,1079.2,1080.4,1081.0,1082.1,1082.9,1085.2,1080.7,1079.6,1044.8,1038.4,1037.7,1036.9,1038.6,1040.3,1045.8,1036.7,1034.1,1032.2,1032.2,1034.0,1042.1,1037.7,1037.2,1038.6,1043.4,1038.8,1037.1,1037.0
3,0,0.067,0.98,1,27.2,-156.3,1048.4,-0.232,0.042,-0.020,-42.4,-42.7,-40.2,-35.4,-28.7,-18.0,-4.1,12.5,30.9,48.8,64.1,77.0,85.8,91.0,94.6,96.5,96.8,-28.1,-19.9,-8.7,2.9,13.0,38.8,48.9,59.4,69.6,77.6,26.8,27.0,27.3,27.5,15.9,21.9,28.0,34.1,39.7,-15.6,-8.7,-0.1,7.9,0.2,-8.3,44.3,52.1,60.7,67.6,61.1,52.6,7.4,14.5,22.5,28.0,33.4,41.6,48.6,42.1,34.8,28.8,22.9,14.8,11.8,22.9,28.4,33.9,44.5,34.0,28.4,22.9,-177.8,-159.0,-139.4,-120.1,-104.3,-92.5,-85.2,-80.8,-79.3,-80.3,-86.2,-94.8,-107.1,-122.4,-140.4,-159.2,-176.9,-216.0,-224.8,-228.6,-227.8,-223.1,-224.3,-229.2,-230.0,-227.9,-221.5,-203.8,-193.4,-183.4,-173.2,-157.1,-155.8,-154.9,-156.3,-157.9,-194.3,-199.7,-200.3,-196.4,-193.6,-192.8,-197.0,-201.3,-201.1,-196.6,-194.6,-194.8,-126.2,-137.1,-142.0,-140.4,-141.8,-137.0,-127.7,-120.9,-117.9,-117.5,-117.9,-120.4,-127.8,-132.5,-132.7,-132.7,-128.1,-128.5,-128.1,-128.4,1107.3,1103.8,1101.0,1096.4,1084.8,1068.4,1049.5,1033.3,1030.1,1037.1,1052.2,1067.3,1077.9,1085.3,1089.9,1094.6,1100.4,1088.1,1088.0,1084.4,1078.6,1073.9,1073.0,1077.7,1083.1,1086.3,1086.4,1066.2,1054.7,1043.4,1031.7,1042.1,1039.5,1037.2,1038.7,1041.7,1078.7,1076.0,1074.1,1072.1,1072.0,1073.3,1073.2,1074.7,1075.4,1077.6,1072.9,1071.8,1035.4,1028.7,1027.9,1027.0,1028.8,1030.2,1035.7,1026.8,1024.3,1022.5,1022.4,1024.3,1032.4,1028.0,1027.4,1028.8,1033.5,1029.3,1027.5,1027.5
4,0,0.100,0.98,1,25.0,-156.4,1044.0,-0.257,0.047,-0.021,-44.1,-44.2,-41.4,-36.5,-29.9,-19.5,-5.9,10.4,28.9,46.8,62.1,74.9,83.6,88.7,92.4,94.5,95.0,-30.4,-22.4,-11.2,0.5,10.5,36.0,46.0,56.7,66.9,75.0,24.2,24.4,24.7,24.9,13.7,19.6,25.6,31.7,37.3,-17.7,-10.9,-2.3,5.7,-1.9,-10.4,41.8,49.6,58.1,65.1,58.6,50.1,5.8,12.6,20.4,25.8,31.1,39.2,46.3,39.8,32.7,26.8,21.0,13.0,10.1,20.9,26.2,31.6,42.1,31.9,26.3,20.9,-175.8,-157.5,-138.3,-119.4,-104.0,-92.5,-85.5,-81.5,-80.1,-81.1,-86.7,-94.7,-106.4,-121.0,-138.2,-156.3,-173.4,-214.9,-224.0,-228.2,-227.7,-222.9,-224.5,-229.5,-230.3,-228.0,-221.5,-204.1,-193.8,-184.0,-174.1,-157.5,-156.3,-155.5,-156.9,-158.6,-193.8,-199.5,-200.2,-196.3,-193.5,-192.5,-197.1,-201.5,-201.3,-196.7,-194.9,-195.1,-126.9,-137.7,-142.7,-141.1,-142.5,-137.8,-128.6,-122.1,-119.0,-118.5,-118.8,-121.4,-128.6,-133.3,-133.5,-133.5,-129.0,-129.4,-128.9,-129.2,1104.6,1100.5,1097.2,1092.3,1080.4,1063.8,1044.6,1027.9,1024.3,1030.9,1046.3,1061.6,1072.6,1080.4,1085.7,1091.0,1097.4,1086.2,1086.0,1082.1,1075.8,1070.6,1069.6,1074.6,1080.3,1084.1,1084.5,1063.0,1051.0,1039.2,1027.1,1038.0,1035.1,1032.5,1034.1,1037.2,1076.3,1073.5,1071.4,1069.3,1069.3,1070.7,1070.1,1071.8,1072.5,1074.6,1069.8,1068.7,1030.5,1023.9,1023.2,1022.3,1024.0,1025.1,1030.6,1021.7,1019.4,1017.7,1017.6,1019.3,1027.5,1023.2,1022.6,1024.0,1028.4,1024.6,1022.8,1022.8
5,0,0.133,0.98,1,23.7,-157.7,1046.6,-0.268,0.056,-0.022,-45.2,-45.2,-42.4,-37.4,-30.8,-20.6,-7.1,9.1,27.4,45.4,60.8,73.8,82.6,87.8,91.5,93.6,94.1,-31.8,-23.8,-12.7,-1.1,9.0,34.4,44.4,55.1,65.3,73.6,22.8,22.9,23.2,23.4,12.3,18.2,24.2,30.3,35.8,-18.9,-12.2,-3.6,4.5,-3.2,-11.7,40.3,48.1,56.7,63.7,57.2,48.7,4.4,11.1,19.0,24.3,29.4,37.6,44.8,38.2,31.1,25.3,19.5,11.5,8.6,19.5,24.7,30.0,40.6,30.3,24.8,19.5,-175.9,-157.7,-138.7,-119.9,-104.6,-93.4,-86.8,-83.0,-81.8,-82.8,-88.2,-96.1,-107.6,-122.1,-139.2,-157.3,-174.3,-215.8,-224.9,-229.2,-228.9,-224.2,-225.8,-230.8,-231.6,-229.4,-222.9,-205.3,-195.2,-185.5,-175.7,-158.9,-157.8,-157.1,-158.5,-160.1,-194.7,-200.5,-201.2,-197.4,-194.6,-193.5,-198.3,-202.8,-202.6,-198.0,-196.2,-196.3,-128.4,-139.3,-144.3,-142.8,-144.2,-139.5,-130.3,-123.8,-120.7,-120.3,-120.6,-123.0,-130.1,-134.9,-135.2,-135.2,-130.7,-131.1,-130.7,-130.9,1108.3,1103.9,1100.1,1094.8,1082.8,1066.1,1046.8,1030.0,1026.2,1032.5,1047.7,1063.1,1074.1,1082.2,1087.7,1093.3,1099.9,1090.0,1089.8,1085.9,1079.5,1074.1,1072.8,1077.8,1083.4,1087.1,1087.3,1066.1,1054.1,1042.3,1030.1,1040.8,1037.9,1035.3,1036.7,1039.8,1079.8,1076.9,1074.8,1072.5,1072.5,1073.9,1073.0,1074.6,1075.2,1077.3,1072.4,1071.5,1033.3,1026.8,1025.9,1024.9,1026.5,1027.5,1032.9,1023.8,1021.5,1019.9,1019.9,1021.8,1030.2,1025.8,1025.1,1026.4,1030.7,1026.8,1025.2,1025.2
6,0,0.167,0.98,1,23.1,-159.1,1048.9,-0.276,0.054,-0.020,-45.8,-45.9,-43.0,-38.0,-31.4,-21.3,-7.9,8.1,26.4,44.4,59.9,73.1,82.0,87.3,91.1,93.2,93.7,-32.4,-24.2,-13.1,-1.5,8.5,33.8,43.7,54.5,64.7,73.0,22.1,22.3,22.6,22.8,11.8,17.6,23.5,29.6,35.1,-19.7,-12.9,-4.3,3.7,-4.0,-12.5,39.7,47.5,56.0,63.1,56.6,48.0,4.2,10.9,18.6,23.7,28.8,36.8,43.9,37.4,30.4,24.8,19.2,11.3,8.4,19.1,24.2,29.4,39.7,29.6,24.3,19.1,-176.8,-158.6,-139.6,-120.9,-105.9,-95.0,-88.6,-84.9,-83.6,-84.3,-89.4,-97.0,-108.4,-122.8,-140.0,-157.9,-174.9,-217.4,-226.4,-230.6,-230.2,-225.6,-227.1,-232.0,-232.7,-230.4,-224.0,-206.6,-196.6,-187.0,-177.3,-160.4,-159.4,-158.7,-160.1,-161.7,-196.1,-201.9,-202.7,-198.7,-195.9,-194.9,-199.5,-204.0,-203.9,-199.1,-197.4,-197.6,-130.1,-141.0,-146.0,-144.5,-145.9,-141.2,-131.9,-125.8,-122.8,-122.3,-122.7,-125.1,-131.9,-136.7,-137.0,-136.9,-132.4,-133.0,-132.6,-132.8,1110.9,1106.4,1102.4,1097.0,1084.9,1068.1,1048.9,1032.0,1028.1,1034.3,1049.6,1065.0,1076.3,1084.5,1090.3,1096.0,1102.6,1092.9,1092.7,1088.8,1082.3,1076.9,1075.6,1080.5,1086.2,1089.9,1090.1,1069.0,1056.8,1044.8,1032.5,1043.1,1040.1,1037.5,1038.9,1042.0,1082.7,1079.8,1077.5,1075.2,1075.3,1076.8,1075.8,1077.5,1078.1,1080.1,1075.2,1074.2,1035.1,1028.8,1028.1,1027.1,1028.8,1029.7,1035.0,1025.9,1023.7,1022.1,1022.0,1023.8,1032.0,1028.0,1027.3,1028.6,1032.8,1029.0,1027.3,1027.4
7,0,0.200,0.98,1,23.3,-160.7,1051.6,-0.288,0.044,-0.023,-46.1,-46.1,-43.3,-38.3,-31.7,-21.5,-7.9,8.2,26.5,44.4,59.9,73.0,82.0,87.4,91.3,93.3,93.8,-32.5,-24.3,-13.1,-1.3,8.7,33.7,43.6,54.3,64.6,73.0,22.3,22.5,22.9,23.2,12.0,17.9,23.9,30.0,35.5,-19.7,-12.9,-4.2,3.8,-3.8,-12.4,39.8,47.5,56.0,63.1,56.6,48.1,4.6,11.4,19.1,24.3,29.3,37.2,44.3,37.9,31.0,25.4,19.8,11.9,8.9,19.6,24.7,29.8,40.2,30.1,24.8,19.7,-177.7,-159.6,-140.6,-122.0,-107.0,-96.4,-90.3,-86.9,-85.7,-86.3,-91.2,-98.4,-109.6,-123.9,-141.0,-158.9,-175.8,-218.8,-227.8,-232.1,-231.8,-227.1,-228.8,-233.7,-234.4,-232.1,-225.6,-208.1,-198.1,-188.8,-179.2,-162.2,-161.3,-160.6,-162.0,-163.5,-197.4,-203.3,-204.1,-200.1,-197.3,-196.3,-200.9,-205.5,-205.4,-200.6,-198.9,-199.0,-132.1,-143.1,-148.1,-146.7,-148.0,-143.3,-134.0,-128.0,-125.0,-124.5,-124.9,-127.2,-133.9,-138.8,-139.1,-139.1,-134.4,-135.1,-134.7,-134.8,1113.1,1108.3,1104.0,1098.4,1086.5,1069.8,1050.9,1034.1,1030.2,1036.5,1051.8,1067.5,1079.1,1087.7,1093.9,1100.0,1106.9,1096.1,1096.1,1092.3,1085.8,1080.4,1079.3,1084.4,1090.2,1094.0,1094.2,1072.4,1060.2,1048.2,1035.8,1045.9,1042.9,1040.4,1041.9,1045.1,1085.6,1082.7,1080.5,1078.3,1078.2,1079.7,1079.1,1081.0,1081.7,1083.8,1078.7,1077.6,1037.6,1031.5,1030.8,1029.9,1031.6,1032.7,1038.0,1028.7,1026.2,1024.5,1024.5,1026.2,1034.6,1030.6,1030.0,1031.3,1035.7,1031.7,1029.9,1030.0
8,0,0.233,0.98,1,24.1,-162.5,1054.2,-0.300,0.032,-0.020,-45.6,-45.7,-43.0,-38.2,-31.7,-21.4,-7.8,8.5,26.8,44.7,60.0,73.2,82.3,87.9,91.8,94.0,94.7,-32.0,-23.7,-12.2,-0.3,9.8,34.6,44.5,55.3,65.7,74.3,23.2,23.6,24.0,24.4,12.9,18.8,24.9,31.0,36.6,-19.0,-12.0,-3.3,4.8,-2.9,-11.6,40.7,48.5,57.1,64.1,57.7,49.1,5.2,12.4,20.2,25.4,30.4,38.3,45.5,38.9,31.9,26.3,20.8,12.8,9.6,20.6,25.7,30.9,41.4,31.1,25.8,20.7,-179.1,-161.2,-142.4,-123.9,-109.0,-98.4,-92.5,-89.2,-88.0,-88.4,-92.8,-99.6,-110.5,-124.7,-141.7,-159.6,-176.6,-220.1,-229.2,-233.6,-233.4,-228.9,-230.6,-235.5,-236.1,-233.7,-227.1,-209.9,-200.0,-190.7,-181.2,-164.2,-163.2,-162.6,-163.9,-165.4,-198.9,-204.9,-205.7,-201.7,-199.0,-197.9,-202.6,-207.2,-207.0,-202.2,-200.5,-200.7,-134.4,-145.2,-150.2,-148.8,-150.1,-145.4,-136.3,-130.6,-127.7,-127.3,-127.6,-129.7,-136.1,-141.0,-141.3,-141.3,-136.7,-137.7,-137.3,-137.4,1115.0,1109.8,1105.1,1099.4,1087.7,1071.3,1052.5,1035.8,1032.0,1038.4,1054.0,1070.0,1081.9,1090.9,1097.6,1104.1,1111.3,1099.2,1099.2,1095.4,1089.0,1083.4,1082.6,1087.8,1093.8,1097.8,1098.2,1075.6,1063.3,1051.2,1038.7,1048.4,1045.5,1043.0,1044.7,1048.0,1088.5,1085.7,1083.5,1081.3,1081.1,1082.5,1082.4,1084.4,1085.2,1087.3,1082.1,1080.9,1040.1,1034.2,1033.5,1032.6,1034.4,1035.5,1040.8,1031.2,1028.5,1026.8,1026.7,1028.6,1037.2,1033.2,1032.6,1033.9,1038.6,1034.1,1032.4,1032.4
9,0,0.267,0.98,1,25.6,-165.4,1061.1,-0.310,0.014,-0.020,-45.0,-45.2,-42.6,-38.0,-31.5,-20.9,-6.8,9.9,28.2,45.9,61.1,74.2,83.5,89.2,93.2,95.4,96.0,-30.8,-22.4,-10.9,1.2,11.4,36.3,46.2,56.8,67.3,75.9,24.8,25.3,26.0,26.5,14.7,20.7,26.8,32.9,38.4,-17.7,-10.6,-1.8,6.3,-1.5,-10.1,42.1,50.0,58.5,65.6,59.2,50.6,6.7,14.4,22.4,27.4,32.3,40.2,47.6,40.8,33.8,28.3,23.0,14.8,11.1,22.8,27.7,32.7,43.6,32.9,27.8,22.8,-181.6,-163.9,-145.3,-126.8,-111.9,-101.3,-95.6,-92.5,-91.1,-91.5,-95.5,-101.8,-112.3,-126.3,-143.3,-161.3,-178.4,-222.7,-231.8,-236.1,-236.0,-231.5,-233.4,-238.3,-238.8,-236.3,-229.7,-212.4,-202.7,-193.6,-184.2,-167.3,-166.4,-165.7,-167.0,-168.5,-201.3,-207.3,-208.1,-204.2,-201.5,-200.5,-205.1,-209.7,-209.5,-204.7,-203.1,-203.3,-137.9,-148.6,-153.6,-152.2,-153.6,-148.9,-139.8,-134.2,-131.6,-131.1,-131.4,-133.3,-139.6,-144.5,-144.8,-144.8,-140.3,-141.3,-140.9,-141.0,1120.8,1115.3,1110.3,1104.5,1093.0,1076.9,1058.4,1041.8,1038.3,1044.9,1060.7,1077.0,1089.3,1098.7,1105.8,1112.6,1120.0,1105.7,1106.0,1102.5,1096.3,1090.9,1090.2,1095.7,1101.9,1106.1,1106.5,1082.9,1070.6,1058.5,1046.0,1055.1,1052.3,1050.0,1051.8,1055.2,1095.0,1092.3,1090.3,1088.1,1087.8,1088.9,1089.8,1092.0,1093.0,1095.1,1089.8,1088.4,1047.2,1041.2,1040.5,1039.7,1041.5,1042.9,1048.8,1038.3,1035.1,1033.4,1033.2,1035.3,1044.5,1040.0,1039.5,1040.9,1046.3,1040.9,1039.1,1039.1
10,0,0.300,0.98,1,27.5,-167.6,1064.5,-0.326,-0.003,-0.020,-44.1,-44.2,-41.6,-37.1,-30.8,-20.3,-5.9,11.4,30.1,47.9,63.1,76.1,85.3,91.0,95.0,97.4,98.2,-29.2,-20.8,-9.1,3.2,13.6,38.1,48.1,58.9,69.4,78.3,26.7,27.4,28.2,28.8,17.0,23.0,29.1,35.1,40.5,-15.8,-8.6,0.2,8.4,0.6,-8.2,44.1,51.9,60.5,67.6,61.2,52.6,9.4,17.1,25.0,29.8,34.5,42.2,49.4,42.8,36.0,30.8,25.6,17.6,14.0,25.3,30.1,34.8,45.3,35.0,30.1,25.3,-183.2,-165.9,-147.8,-129.7,-114.8,-104.3,-98.5,-95.5,-94.1,-94.3,-97.8,-103.8,-113.9,-127.6,-144.4,-162.2,-179.2,-224.2,-233.4,-237.9,-238.0,-233.6,-235.6,-240.4,-240.8,-238.1,-231.3,-214.4,-204.9,-195.9,-186.8,-169.7,-168.7,-168.1,-169.4,-170.8,-203.1,-209.2,-210.1,-206.1,-203.3,-202.2,-206.9,-211.6,-211.4,-206.5,-204.9,-205.1,-140.6,-151.4,-156.4,-155.0,-156.3,-151.7,-142.5,-137.5,-135.0,-134.5,-134.7,-136.5,-142.4,-147.2,-147.6,-147.6,-143.1,-144.5,-144.2,-144.3,1123.8,1117.8,1112.3,1106.2,1094.8,1079.1,1061.1,1044.5,1041.2,1048.0,1064.1,1080.5,1093.4,1103.3,1111.1,1118.3,1126.1,1109.6,1110.1,1106.7,1100.6,1095.1,1094.8,1100.5,1107.0,1111.5,1112.1,1087.3,1075.1,1063.0,1050.6,1058.8,1056.2,1054.1,1056.0,1059.4,1098.7,1096.1,1094.2,1092.1,1091.6,1092.7,1094.3,1096.7,1097.8,1100.0,1094.6,1093.0,1049.5,1044.1,1043.9,1043.2,1045.0,1046.1,1051.7,1041.3,1038.3,1036.7,1036.4,1038.0,1047.0,1043.3,1042.8,1044.2,1049.2,1044.3,1042.5,1042.3
