frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,25.0,-134.2,816.5,0.090,0.025,-0.034,-51.6,-51.3,-48.8,-44.1,-36.4,-24.1,-9.2,8.5,27.6,46.4,63.3,78.3,88.5,94.1,96.9,98.7,99.4,-33.9,-25.8,-13.4,-0.1,11.6,36.4,48.5,60.8,72.7,80.8,24.7,25.1,25.5,25.8,13.5,19.8,25.9,32.2,37.9,-18.9,-11.2,-2.0,5.5,-2.1,-11.1,42.7,50.1,59.2,66.5,60.0,51.1,3.8,12.0,20.3,25.7,31.1,39.6,47.5,39.9,32.0,26.0,20.0,11.8,8.3,20.3,25.8,31.3,43.2,31.2,25.6,20.0,-171.2,-151.1,-130.8,-110.9,-92.6,-77.0,-65.4,-57.1,-55.2,-58.5,-68.5,-82.0,-98.3,-117.3,-137.2,-157.5,-177.7,-189.7,-199.6,-203.3,-201.5,-196.6,-198.3,-204.4,-206.9,-204.6,-196.5,-176.7,-165.1,-153.8,-142.2,-129.9,-128.2,-126.8,-128.4,-130.3,-171.0,-175.2,-175.3,-171.0,-168.0,-167.7,-173.0,-177.9,-178.2,-174.8,-171.0,-170.4,-99.4,-108.1,-112.5,-110.8,-112.5,-108.3,-101.0,-92.8,-90.2,-89.7,-90.1,-92.5,-100.1,-104.0,-103.9,-104.2,-101.0,-100.7,-100.2,-100.4,863.7,863.1,863.3,862.0,855.5,845.8,832.7,820.1,817.6,823.7,836.0,846.7,853.2,856.4,857.9,858.4,860.4,833.2,830.4,825.1,820.0,816.3,814.3,818.3,823.7,828.8,832.3,813.6,807.1,800.7,794.1,804.6,803.7,802.5,803.8,805.7,827.3,823.6,822.1,821.0,821.2,822.6,822.0,821.7,822.9,826.2,822.4,821.0,809.0,800.0,796.8,796.1,796.8,800.7,809.3,800.5,797.5,796.7,797.2,799.9,806.5,798.8,798.1,798.6,806.7,799.1,798.1,798.6
2,0,0.036,0.98,1,24.9,-135.1,812.0,0.081,0.018,-0.029,-51.1,-50.7,-48.1,-43.7,-36.7,-25.3,-10.8,7.3,26.7,45.8,63.0,77.9,87.9,93.1,95.6,97.7,98.6,-33.0,-25.0,-12.9,0.3,12.1,36.9,48.6,60.5,71.9,79.9,25.2,25.6,26.1,26.5,14.4,20.5,26.4,32.4,37.8,-18.4,-10.5,-1.2,6.3,-1.3,-10.4,42.8,50.2,59.4,66.8,60.4,51.3,4.4,11.9,20.1,25.6,30.9,39.3,46.4,39.5,31.7,25.6,19.5,11.4,8.9,20.0,25.6,31.0,42.2,30.8,25.2,19.5,-172.6,-151.9,-131.4,-111.4,-93.1,-77.6,-66.3,-58.3,-56.1,-58.8,-67.9,-81.5,-98.3,-117.9,-138.4,-159.5,-180.4,-191.6,-202.0,-206.0,-204.7,-200.2,-202.1,-207.9,-210.1,-207.8,-199.6,-178.7,-167.0,-155.7,-144.1,-131.0,-129.4,-128.1,-129.5,-131.1,-171.5,-175.8,-176.0,-171.7,-168.5,-168.2,-173.9,-178.7,-178.9,-175.6,-171.5,-170.9,-98.8,-109.1,-114.2,-112.4,-114.0,-108.8,-100.1,-91.0,-88.3,-88.0,-88.4,-91.3,-99.8,-104.9,-104.8,-104.8,-100.2,-99.6,-99.3,-99.7,855.8,854.8,855.1,854.0,848.2,839.1,826.3,814.1,812.3,818.3,830.8,841.4,847.6,850.8,852.0,852.7,854.8,827.8,826.3,821.5,816.5,812.8,811.4,814.9,819.8,824.0,826.0,810.6,804.7,798.9,792.8,801.4,800.9,800.0,801.0,802.3,822.2,818.4,817.1,815.7,816.2,817.5,817.4,816.9,817.9,821.1,817.5,816.3,802.4,794.7,791.9,791.0,791.7,794.5,801.5,794.3,792.5,792.0,792.7,794.7,799.9,794.0,793.1,793.3,799.4,794.2,793.6,794.1
3,0,0.071,0.98,1,26.1,-137.8,810.4,0.043,-0.011,-0.028,-50.8,-50.3,-47.7,-43.3,-36.4,-25.2,-11.1,6.8,26.4,45.7,63.0,78.2,88.2,93.3,95.7,97.7,98.5,-31.5,-24.1,-12.3,0.9,12.6,39.3,50.7,62.2,73.1,80.4,27.0,27.6,28.2,28.7,16.4,22.5,28.2,34.2,39.5,-16.7,-8.9,0.4,7.7,0.3,-8.9,44.2,51.4,60.7,67.8,61.5,52.5,6.4,13.7,22.1,27.6,32.8,41.1,47.5,41.2,33.3,27.4,21.2,13.0,11.0,21.9,27.5,32.7,43.3,32.6,27.1,21.3,-173.1,-152.2,-131.5,-111.7,-93.7,-78.6,-67.9,-60.0,-57.6,-60.1,-69.1,-83.0,-100.2,-120.4,-141.1,-162.4,-183.4,-194.6,-205.3,-210.0,-209.2,-205.1,-206.9,-212.5,-214.4,-211.7,-203.3,-182.2,-170.9,-160.0,-148.7,-134.7,-133.2,-131.9,-133.1,-134.7,-174.2,-178.9,-179.2,-174.9,-171.5,-171.2,-177.1,-181.9,-182.2,-178.6,-174.6,-174.1,-100.9,-112.5,-118.1,-116.2,-117.8,-112.1,-102.1,-92.4,-89.5,-89.3,-89.7,-93.0,-102.1,-108.2,-108.2,-108.1,-102.3,-101.1,-100.9,-101.3,851.1,849.7,849.5,848.0,841.9,832.9,821.0,809.8,808.1,814.1,826.8,838.4,845.4,849.0,850.7,852.1,855.0,825.6,825.4,821.8,818.0,815.2,815.4,819.3,823.7,827.2,827.8,812.3,806.3,800.5,794.4,800.7,800.6,800.2,801.1,802.4,819.9,816.8,815.9,814.9,815.0,815.9,818.6,818.1,819.4,822.5,818.9,817.5,799.2,792.8,790.5,789.6,790.3,793.5,799.8,792.7,790.7,790.2,790.7,792.2,797.3,792.3,791.4,791.6,797.9,792.6,792.0,792.4
4,0,0.107,0.98,1,27.8,-139.3,803.9,-0.002,-0.030,-0.036,-49.6,-49.3,-46.9,-42.5,-35.0,-23.1,-8.2,10.3,29.6,48.3,64.6,79.0,88.3,93.2,95.5,97.4,97.9,-30.0,-22.5,-10.6,2.9,14.8,40.7,52.1,63.6,74.7,81.8,28.8,29.6,30.4,31.0,18.5,24.5,30.3,36.2,41.4,-15.2,-7.3,2.0,9.4,1.9,-7.2,45.6,52.9,62.1,69.1,63.0,54.0,7.5,15.4,24.3,29.7,34.6,43.1,49.8,43.2,35.1,29.5,23.4,14.8,12.2,24.1,29.6,34.5,45.6,34.3,29.1,23.5,-171.8,-151.0,-130.1,-110.1,-92.3,-77.6,-67.5,-60.6,-58.9,-61.8,-71.0,-84.7,-101.6,-121.3,-141.7,-162.8,-183.5,-196.1,-207.3,-212.5,-211.9,-207.7,-209.9,-216.0,-217.7,-214.7,-205.8,-184.9,-173.8,-163.1,-151.9,-136.9,-135.5,-134.3,-135.5,-137.0,-175.7,-180.6,-180.9,-176.8,-173.3,-172.8,-179.3,-184.2,-184.5,-180.8,-176.9,-176.4,-102.8,-114.5,-120.4,-118.5,-120.1,-114.4,-104.2,-94.1,-91.1,-91.0,-91.4,-94.6,-104.0,-110.1,-110.1,-110.0,-104.4,-103.1,-103.0,-103.3,844.1,842.1,841.4,839.4,832.3,822.6,810.4,799.6,798.7,805.6,818.7,830.6,838.0,842.4,845.0,847.2,850.7,820.6,821.4,818.5,815.0,812.6,813.1,817.7,822.7,826.6,827.3,808.5,802.0,795.6,788.9,794.2,794.5,794.3,795.8,797.4,814.8,812.3,811.6,810.5,810.2,810.9,815.0,815.2,816.8,819.9,815.9,814.2,792.2,786.0,783.7,783.1,784.1,787.2,794.0,785.9,783.4,782.5,782.8,784.5,790.4,785.2,784.7,785.1,792.0,785.9,784.9,784.9
5,0,0.142,0.98,1,30.2,-140.6,803.4,-0.022,-0.080,-0.054,-49.6,-48.8,-46.1,-41.2,-33.2,-20.5,-4.7,14.4,33.8,52.1,67.4,80.8,89.4,93.9,96.0,97.5,97.5,-28.5,-20.8,-9.0,4.3,16.1,43.2,54.0,65.0,75.5,82.6,31.2,32.4,33.6,34.8,21.8,27.8,33.7,39.5,44.6,-13.5,-5.6,3.8,11.2,3.8,-5.4,47.6,54.8,64.0,70.9,65.1,56.1,10.6,18.5,27.6,33.5,38.7,47.2,53.3,47.5,39.4,33.3,26.8,17.9,15.1,27.4,33.2,38.7,49.4,38.5,32.8,26.8,-169.8,-148.9,-128.2,-108.3,-91.0,-76.8,-67.5,-61.4,-60.2,-63.4,-72.6,-86.4,-103.3,-123.1,-143.4,-164.6,-185.3,-196.7,-207.5,-212.9,-212.8,-209.3,-212.3,-218.1,-219.8,-217.0,-208.7,-186.5,-175.6,-165.1,-154.2,-138.7,-137.4,-136.3,-137.5,-139.1,-175.9,-181.3,-181.9,-177.6,-174.1,-173.5,-180.8,-186.2,-186.7,-182.8,-178.9,-178.2,-104.2,-116.4,-122.3,-120.6,-122.2,-116.6,-106.2,-95.5,-92.1,-91.8,-92.2,-95.7,-105.6,-112.7,-112.8,-112.8,-106.4,-103.2,-102.9,-103.2,838.9,836.2,834.8,832.4,825.2,816.3,805.1,795.4,795.6,803.7,817.6,829.9,837.8,843.0,846.4,850.1,854.8,816.4,818.2,816.3,813.5,811.7,814.6,820.0,825.7,830.0,831.1,808.3,801.6,795.1,788.3,792.5,793.1,793.2,794.7,796.4,811.2,809.5,809.6,808.8,807.8,807.8,815.7,816.7,818.9,822.4,817.7,815.4,789.7,784.6,783.0,782.5,784.1,787.8,794.3,786.3,783.3,781.9,781.7,782.9,788.4,783.8,783.6,784.5,792.3,785.9,784.5,784.2
6,0,0.178,0.98,1,32.8,-141.2,806.3,0.006,-0.119,-0.073,-49.6,-48.5,-45.7,-40.5,-31.5,-17.7,-0.6,19.0,38.3,56.0,70.4,83.0,91.1,95.2,97.0,98.2,97.7,-26.9,-19.3,-7.5,5.8,17.9,45.1,55.6,66.2,76.6,83.9,33.6,35.2,36.8,38.3,25.2,31.1,37.0,42.7,47.8,-11.5,-3.3,6.0,13.5,6.1,-3.0,49.4,56.7,65.9,72.7,67.0,58.1,13.6,21.9,31.1,37.1,42.3,50.8,56.8,51.1,43.0,37.0,30.3,21.3,18.3,30.8,36.9,42.3,52.9,42.0,36.4,30.2,-169.2,-148.4,-127.7,-107.8,-90.6,-76.7,-67.8,-62.4,-61.8,-65.7,-75.7,-89.9,-106.9,-126.4,-146.5,-167.5,-188.0,-195.6,-206.4,-211.9,-212.1,-208.8,-212.4,-218.5,-220.7,-218.4,-210.5,-186.5,-175.6,-165.1,-154.1,-138.3,-137.3,-136.3,-137.5,-139.1,-175.2,-180.5,-181.3,-177.2,-173.6,-172.8,-181.3,-186.7,-187.5,-183.9,-179.7,-178.7,-104.0,-116.0,-122.1,-120.4,-122.1,-116.5,-106.4,-96.0,-92.7,-92.3,-92.6,-95.9,-105.4,-112.0,-112.1,-112.2,-106.5,-104.4,-104.0,-104.1,836.9,834.9,834.5,832.7,826.0,817.8,806.9,798.6,800.3,809.3,823.8,836.2,843.8,848.7,851.6,854.6,858.8,813.4,815.4,814.0,811.9,810.8,815.1,821.1,827.4,832.4,834.0,808.7,802.5,796.4,790.1,793.9,795.1,795.6,797.4,799.1,809.5,808.0,808.6,808.2,806.9,806.4,817.2,818.4,821.2,825.2,820.3,817.4,791.2,786.2,784.7,784.7,786.5,790.7,798.0,790.0,786.7,784.8,784.4,785.2,790.0,786.0,786.2,787.4,795.8,788.9,787.1,786.5
7,0,0.213,0.98,1,35.8,-139.6,805.7,0.096,-0.185,-0.088,-50.9,-49.3,-45.9,-39.9,-29.3,-14.1,3.3,22.8,41.8,59.2,73.0,85.2,92.7,96.3,97.3,97.6,96.3,-25.1,-16.6,-4.2,9.5,21.5,47.3,57.7,68.2,78.3,85.0,36.7,38.5,40.5,42.5,28.5,34.8,40.8,46.7,51.7,-9.0,-0.8,8.4,15.6,8.4,-0.7,51.4,58.4,67.4,73.9,68.5,59.9,17.2,26.5,35.9,41.8,47.1,55.0,60.6,55.6,48.1,42.1,35.6,26.2,21.6,35.9,41.7,47.2,56.8,47.1,41.5,35.5,-169.5,-147.8,-126.3,-105.8,-88.1,-74.4,-65.5,-59.9,-59.8,-64.8,-76.5,-92.0,-110.0,-130.1,-149.9,-170.2,-190.1,-191.3,-201.8,-206.9,-206.9,-203.4,-207.6,-214.0,-216.8,-215.1,-207.4,-182.5,-171.7,-161.3,-150.6,-135.3,-134.4,-133.5,-135.1,-137.2,-171.6,-176.8,-177.7,-173.7,-170.0,-169.1,-178.8,-184.4,-185.5,-182.2,-177.9,-176.5,-102.0,-113.1,-118.7,-117.2,-119.2,-114.8,-106.2,-95.4,-91.5,-90.7,-90.8,-93.8,-103.2,-110.0,-110.3,-110.8,-106.0,-101.8,-101.0,-100.9,829.0,828.8,829.4,828.3,822.9,816.4,807.9,801.2,804.0,814.1,829.0,840.8,846.8,849.2,850.9,853.5,857.1,800.3,801.3,800.2,798.9,798.8,805.0,812.5,820.3,827.3,831.5,800.5,794.9,789.3,783.6,788.4,789.7,790.5,792.7,795.2,798.7,797.3,798.7,799.7,797.7,796.4,812.0,813.6,817.2,822.5,816.9,813.1,790.1,784.4,783.0,783.7,786.4,792.7,802.4,793.3,788.3,785.6,784.4,784.7,789.5,784.5,785.3,787.7,799.5,789.7,787.0,785.8
8,0,0.249,0.98,1,37.4,-137.2,800.8,0.158,-0.233,-0.098,-53.7,-51.7,-47.9,-41.1,-29.0,-12.3,6.4,26.4,45.2,62.0,74.9,86.2,93.1,96.2,96.9,96.7,95.0,-23.6,-14.8,-2.2,11.4,23.6,49.1,59.0,69.2,78.8,84.9,38.8,40.8,43.1,45.3,30.6,37.1,43.4,49.3,54.3,-7.2,1.1,10.1,17.1,10.0,1.1,52.5,59.5,68.2,74.4,69.3,60.9,19.6,29.1,38.4,44.5,49.8,57.3,62.3,57.9,50.9,44.8,38.3,29.1,23.8,38.5,44.4,50.1,58.5,50.0,44.2,38.1,-168.9,-146.9,-125.0,-103.9,-85.8,-71.9,-63.0,-57.7,-58.4,-64.6,-77.7,-93.9,-112.2,-131.8,-151.1,-170.7,-190.1,-186.1,-196.6,-201.8,-201.8,-198.5,-203.1,-209.6,-212.8,-211.8,-204.5,-178.2,-167.4,-157.0,-146.2,-131.6,-130.9,-130.1,-131.9,-134.3,-167.2,-172.2,-173.3,-169.3,-165.5,-164.5,-175.4,-181.1,-182.4,-179.6,-175.0,-173.4,-99.4,-110.2,-115.6,-114.4,-116.6,-112.8,-104.8,-94.5,-90.4,-89.2,-89.1,-91.7,-100.7,-107.5,-107.9,-108.8,-104.5,-100.1,-98.8,-98.5,820.6,821.9,823.7,823.0,818.3,812.9,805.5,799.8,804.0,815.2,830.1,841.1,845.7,846.5,847.0,849.2,852.2,787.2,788.2,787.5,786.9,787.6,795.4,803.7,812.2,820.4,826.0,791.9,786.9,781.9,776.9,782.0,783.6,784.6,786.8,789.5,787.4,786.2,788.2,789.9,787.5,785.6,805.0,807.0,811.2,817.2,811.2,806.8,784.7,778.7,777.9,779.2,782.4,789.7,800.6,791.1,785.3,781.9,780.1,779.7,784.4,779.5,780.9,784.0,797.1,786.5,783.1,781.3
9,0,0.284,0.98,1,39.0,-135.4,801.9,0.172,-0.251,-0.103,-52.6,-50.6,-46.7,-40.0,-28.2,-11.5,7.9,28.5,47.5,64.1,76.5,87.4,94.0,96.9,97.4,97.1,95.1,-22.4,-13.6,-0.9,12.9,25.3,50.0,59.8,69.9,79.4,85.7,40.1,42.5,45.0,47.5,32.5,39.0,45.5,51.4,56.3,-5.9,2.4,11.4,18.6,11.5,2.5,53.5,60.5,69.2,75.4,70.4,62.0,21.6,31.3,40.4,46.6,52.1,59.5,64.4,60.1,53.3,47.1,40.5,31.4,25.9,40.5,46.6,52.4,60.8,52.2,46.4,40.2,-165.9,-144.6,-123.4,-103.0,-85.4,-71.8,-62.9,-57.6,-58.4,-64.6,-77.6,-93.5,-111.5,-130.9,-150.0,-169.6,-188.8,-183.5,-193.8,-198.9,-198.8,-195.4,-200.1,-207.0,-210.6,-209.9,-203.0,-175.6,-164.4,-153.6,-142.5,-128.7,-128.0,-127.2,-129.0,-131.5,-164.8,-169.9,-171.0,-166.9,-163.2,-162.1,-173.3,-179.3,-180.8,-178.1,-173.2,-171.5,-97.8,-107.8,-113.0,-111.9,-114.2,-110.7,-103.5,-93.8,-89.8,-88.5,-88.4,-90.8,-99.0,-105.1,-105.5,-106.5,-103.2,-99.4,-98.0,-97.7,820.5,822.0,824.0,823.9,819.9,814.7,807.1,801.1,805.7,817.5,833.5,845.3,850.4,851.4,851.6,853.1,855.4,786.8,787.4,786.5,785.8,786.4,794.3,802.6,811.6,820.2,826.5,791.7,786.8,781.8,776.9,782.7,784.3,785.2,787.5,790.3,787.4,786.1,788.1,790.0,787.5,785.5,805.4,807.5,811.8,818.1,812.0,807.5,785.3,779.3,778.7,780.1,783.4,790.9,802.0,792.2,786.2,782.6,780.8,780.4,784.9,780.4,781.9,785.2,798.3,787.4,783.8,782.1
10,0,0.320,0.98,1,40.5,-133.8,804.2,0.178,-0.273,-0.112,-52.0,-49.9,-45.9,-38.9,-26.9,-9.7,10.2,31.4,50.3,66.3,78.1,88.4,94.6,97.0,97.3,97.0,95.1,-21.9,-13.1,-0.2,13.8,26.3,51.0,60.7,70.8,80.1,86.2,40.9,43.5,46.3,49.0,34.4,40.8,47.0,52.7,57.5,-5.1,3.0,12.3,19.4,12.4,3.2,54.3,61.2,70.0,76.0,71.3,62.8,24.5,33.9,42.6,48.9,54.3,61.6,66.3,62.5,56.0,49.8,43.2,34.5,28.8,42.8,48.9,54.6,62.6,54.6,48.8,42.6,-162.5,-141.6,-121.0,-101.0,-83.9,-70.6,-61.7,-56.1,-57.0,-63.4,-76.7,-92.6,-110.4,-129.6,-148.6,-167.9,-186.7,-181.4,-191.8,-196.9,-196.7,-193.1,-197.8,-205.1,-209.0,-208.5,-201.6,-173.4,-162.2,-151.4,-140.2,-126.4,-125.8,-125.1,-127.0,-129.6,-163.0,-168.4,-169.5,-165.1,-161.2,-160.1,-171.6,-178.1,-179.8,-176.9,-171.8,-169.9,-95.9,-106.0,-111.3,-110.2,-112.7,-109.4,-102.3,-92.2,-87.9,-86.4,-86.2,-88.5,-97.3,-103.3,-103.8,-105.0,-101.8,-97.7,-96.1,-95.7,819.2,821.5,823.9,824.0,820.3,814.9,807.5,802.5,808.1,820.9,837.1,848.9,853.7,854.2,853.8,854.6,855.9,786.2,786.6,785.9,785.4,786.6,795.0,803.3,812.6,821.5,828.2,793.0,788.3,783.5,778.9,784.4,786.4,787.7,789.9,792.7,787.7,786.6,788.8,791.3,788.7,786.6,807.3,809.5,814.2,820.8,814.7,809.8,786.1,780.4,780.4,782.2,785.7,793.0,803.7,795.1,789.4,785.7,783.3,781.9,786.0,782.5,784.3,787.8,799.8,790.4,786.6,784.4
