frame,face_id,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
1,0,0.000,0.98,1,30.1,-67.0,829.0,0.082,0.159,-0.068,-42.7,-41.4,-38.2,-33.3,-25.2,-12.5,2.3,18.2,36.3,55.1,73.3,89.6,101.2,107.2,109.6,110.9,111.2,-31.9,-22.9,-11.0,1.3,12.9,38.4,50.7,63.4,75.9,85.8,27.1,26.9,26.6,26.4,15.0,21.9,28.5,35.4,41.7,-16.9,-9.5,0.1,8.0,-0.1,-9.6,47.8,55.4,65.1,73.6,66.2,56.8,4.5,13.7,22.4,28.6,35.3,46.1,58.1,46.7,36.4,29.1,22.5,13.8,8.7,22.9,29.2,36.0,53.2,35.7,28.8,22.5,-100.1,-80.0,-60.0,-40.6,-23.5,-9.8,-0.7,5.4,5.9,2.3,-6.5,-17.6,-32.2,-49.8,-68.6,-87.7,-106.7,-119.6,-128.3,-131.5,-130.1,-125.7,-127.3,-132.7,-134.8,-133.3,-126.4,-107.1,-95.6,-84.3,-72.8,-61.0,-59.4,-58.2,-60.1,-62.3,-101.7,-106.6,-106.8,-101.3,-98.5,-98.3,-103.5,-109.7,-110.2,-106.2,-102.3,-101.5,-35.2,-41.6,-45.2,-43.9,-45.8,-43.2,-38.7,-31.4,-28.6,-27.7,-27.7,-29.3,-35.5,-37.9,-37.8,-38.8,-38.2,-37.4,-36.5,-36.5,893.5,892.3,892.0,890.1,883.8,872.5,856.9,840.9,835.6,839.5,850.4,859.4,863.7,865.2,865.6,866.9,869.2,855.3,849.5,842.3,834.4,828.2,823.9,826.2,829.4,832.0,834.2,825.2,819.0,812.3,805.9,821.2,818.6,816.0,816.1,816.7,848.3,842.8,839.8,837.6,838.9,841.9,832.6,831.7,831.8,834.2,830.9,830.7,835.0,822.4,816.0,814.4,814.5,818.8,828.4,818.6,813.2,812.8,814.5,821.8,832.1,817.4,815.9,815.8,826.0,815.1,814.7,816.5
2,0,0.068,0.98,1,28.8,-66.6,821.4,0.076,0.161,-0.076,-44.0,-42.5,-39.1,-34.1,-26.0,-13.2,1.8,18.0,36.3,55.3,73.5,89.6,100.4,105.7,107.6,108.8,109.0,-33.1,-24.5,-12.8,-0.5,11.2,36.7,48.7,61.0,73.2,82.9,25.8,25.5,25.2,25.0,14.0,20.8,27.4,34.1,40.4,-18.0,-10.7,-1.2,6.8,-1.3,-10.7,46.2,53.9,63.6,72.1,64.7,55.2,3.8,12.9,21.6,27.5,33.7,44.3,56.5,44.9,34.7,27.9,21.6,13.0,7.9,22.2,28.1,34.5,51.5,34.1,27.6,21.7,-100.6,-80.1,-59.8,-40.0,-22.5,-8.5,0.5,6.1,6.3,2.4,-6.6,-18.0,-32.8,-50.5,-69.2,-88.1,-106.9,-118.1,-127.3,-131.0,-129.9,-125.7,-127.3,-132.3,-134.2,-132.8,-126.0,-106.9,-95.6,-84.7,-73.4,-60.8,-59.5,-58.3,-60.2,-62.4,-100.7,-105.6,-105.8,-100.5,-97.6,-97.2,-102.8,-109.0,-109.4,-105.5,-101.5,-100.7,-34.4,-41.1,-44.9,-43.6,-45.5,-42.8,-38.2,-31.1,-28.5,-27.6,-27.4,-28.7,-34.8,-37.6,-37.6,-38.6,-37.8,-37.2,-36.4,-36.2,888.5,887.2,886.6,884.0,877.6,866.2,850.4,833.9,828.8,832.7,843.7,852.7,856.9,858.1,858.4,859.8,862.4,848.7,843.1,835.9,828.0,821.7,818.1,820.5,823.4,825.4,826.7,818.7,812.1,805.0,798.2,813.7,811.3,808.6,808.6,809.2,841.0,835.4,832.5,830.2,831.5,834.5,826.0,825.1,825.2,827.7,824.3,824.2,826.9,814.3,808.0,806.6,806.8,811.0,820.9,810.4,804.7,804.2,805.7,813.1,824.2,809.4,808.0,808.1,818.2,806.9,806.3,807.9
3,0,0.136,0.98,1,28.0,-67.2,817.7,0.069,0.164,-0.081,-44.8,-43.1,-39.6,-34.5,-26.3,-13.4,1.5,17.6,35.9,55.0,73.2,89.1,99.6,104.6,106.3,107.3,107.4,-33.8,-25.4,-13.8,-1.5,10.2,35.8,47.7,59.9,71.9,81.3,24.9,24.6,24.3,24.1,13.2,20.0,26.5,33.2,39.4,-18.7,-11.5,-2.1,5.8,-2.2,-11.5,45.2,52.8,62.4,70.9,63.5,54.1,3.4,12.2,20.7,26.7,32.9,43.4,55.3,44.1,34.0,27.2,20.9,12.4,7.5,21.4,27.4,33.8,50.3,33.4,26.9,21.0,-100.9,-80.3,-59.9,-39.9,-22.4,-8.4,0.6,6.2,6.2,2.1,-7.2,-18.9,-34.0,-51.7,-70.4,-89.1,-107.7,-118.7,-128.1,-131.9,-130.8,-126.7,-128.2,-133.1,-135.0,-133.5,-126.8,-107.8,-96.7,-85.9,-74.8,-61.7,-60.5,-59.4,-61.2,-63.4,-101.3,-106.2,-106.5,-101.3,-98.3,-97.9,-103.7,-109.6,-110.1,-106.1,-102.3,-101.5,-34.6,-41.6,-45.6,-44.3,-46.2,-43.4,-38.4,-31.4,-28.8,-27.9,-27.7,-28.9,-35.0,-38.2,-38.2,-39.2,-38.0,-37.5,-36.7,-36.5,885.3,884.1,883.5,880.8,873.8,862.0,846.1,829.8,824.6,828.5,839.4,848.2,852.3,853.4,853.6,855.0,857.7,845.1,839.7,832.6,824.9,818.9,815.4,817.8,820.7,822.3,823.4,815.4,808.7,801.5,794.6,810.1,807.6,804.9,804.9,805.5,837.3,831.8,828.9,826.7,828.0,830.9,822.8,821.8,821.9,824.4,821.0,820.9,822.4,810.0,803.9,802.6,802.9,807.0,816.7,806.4,800.9,800.3,801.8,808.8,819.7,805.3,803.9,804.1,814.1,803.1,802.5,804.0
4,0,0.204,0.98,1,26.7,-68.6,806.1,0.027,0.160,-0.083,-45.1,-43.6,-39.9,-34.2,-25.6,-12.9,1.5,17.1,35.1,53.8,71.2,86.8,97.0,102.1,103.9,105.1,105.2,-34.0,-26.3,-15.3,-3.3,8.0,34.5,46.1,57.8,69.2,78.0,23.4,23.2,23.0,22.9,11.8,18.8,25.4,32.1,38.4,-19.9,-12.8,-3.8,4.2,-3.7,-12.6,43.5,51.2,60.6,68.8,61.4,52.2,3.8,10.9,19.1,25.2,31.5,41.8,52.6,43.1,33.8,26.8,20.3,11.8,7.9,20.1,26.2,32.7,47.6,32.9,26.3,20.1,-100.8,-80.2,-59.6,-39.5,-21.8,-7.9,1.2,6.7,7.0,3.0,-6.5,-18.5,-33.7,-51.6,-70.6,-89.5,-107.9,-120.8,-130.6,-135.0,-134.3,-130.3,-131.9,-136.5,-138.2,-136.7,-129.9,-109.8,-99.1,-88.9,-78.3,-64.5,-63.5,-62.5,-64.4,-66.5,-102.1,-106.5,-107.0,-102.8,-99.8,-99.2,-105.4,-110.3,-110.6,-107.4,-103.9,-103.2,-35.2,-44.7,-49.8,-48.5,-50.5,-46.6,-39.3,-31.8,-28.8,-27.7,-27.6,-29.0,-36.0,-41.2,-41.4,-42.2,-39.2,-38.7,-37.8,-37.5,872.4,871.6,871.9,869.5,862.1,849.6,833.5,818.1,813.6,817.7,827.6,836.8,841.0,842.2,842.4,844.5,847.8,835.2,831.4,824.8,817.8,812.4,808.5,811.2,814.0,815.5,815.5,807.7,800.5,793.1,785.7,800.0,797.6,794.8,794.8,795.5,827.9,822.3,819.6,816.9,818.7,821.5,814.0,813.2,813.3,815.6,812.2,812.0,807.6,795.7,790.4,789.0,789.4,793.3,802.9,793.9,789.1,788.4,789.6,795.3,804.8,792.3,790.9,791.1,800.5,791.3,790.7,792.0
5,0,0.272,0.98,1,25.6,-72.0,793.2,-0.032,0.149,-0.082,-46.1,-44.6,-40.8,-34.6,-25.3,-12.3,1.8,16.9,34.8,53.1,70.0,85.0,94.8,99.6,101.3,102.8,103.2,-34.7,-27.6,-16.7,-4.4,7.1,32.7,44.8,57.3,69.3,78.0,22.3,22.0,21.7,21.5,10.2,17.3,24.1,30.9,37.4,-20.3,-12.9,-4.5,3.7,-4.1,-12.6,41.6,49.9,58.8,67.2,59.2,50.2,3.3,9.6,17.8,23.9,29.9,40.2,50.6,42.0,33.3,26.5,19.9,11.1,7.5,19.2,25.2,31.4,45.6,32.0,25.6,19.5,-101.4,-80.5,-59.2,-38.8,-21.7,-8.9,-1.4,3.1,3.7,-0.1,-9.3,-20.9,-35.5,-53.0,-71.8,-90.3,-108.0,-124.1,-134.5,-139.7,-139.0,-134.7,-136.4,-140.9,-142.5,-140.2,-132.7,-113.5,-103.5,-94.1,-84.2,-70.1,-69.1,-68.3,-70.1,-72.2,-104.9,-108.3,-109.1,-106.5,-103.6,-102.8,-108.9,-112.2,-112.1,-110.1,-107.2,-106.8,-39.7,-50.8,-56.9,-55.5,-57.6,-52.8,-44.0,-35.4,-31.6,-30.4,-30.2,-32.2,-40.9,-47.1,-47.5,-48.1,-44.0,-43.3,-42.3,-42.0,862.2,861.1,861.2,858.4,849.8,835.8,817.3,802.3,799.6,805.4,816.6,826.5,830.9,832.5,832.7,835.6,840.2,827.4,824.0,817.1,809.8,803.5,799.0,803.3,807.9,810.9,811.8,798.6,790.6,782.4,774.1,787.2,785.3,782.7,783.6,785.1,818.3,812.8,810.4,807.8,809.4,811.7,805.3,805.0,805.4,808.0,804.2,803.7,792.9,780.8,775.4,774.1,774.8,778.7,789.4,779.6,775.1,774.1,775.0,780.4,790.2,778.2,776.8,777.2,787.0,777.5,776.7,777.8
6,0,0.341,0.98,1,24.0,-75.1,792.8,-0.069,0.160,-0.075,-47.4,-45.7,-41.8,-35.7,-26.7,-13.8,0.2,15.3,32.9,51.0,67.7,82.8,92.8,97.9,100.0,101.5,101.9,-36.3,-29.0,-17.6,-5.1,6.6,31.0,43.6,56.8,69.3,77.7,20.9,20.4,20.0,19.8,8.7,15.6,22.2,28.9,35.2,-22.0,-14.8,-5.9,2.1,-5.7,-14.6,40.0,48.0,57.3,65.6,57.9,48.7,1.6,7.9,16.0,22.0,28.0,38.4,48.8,40.1,31.1,24.4,17.9,9.3,5.7,17.3,23.2,29.4,43.8,30.1,23.7,17.6,-102.5,-81.4,-60.0,-39.9,-23.3,-11.2,-4.2,-0.2,0.0,-3.5,-12.1,-23.1,-37.5,-54.6,-73.2,-91.6,-109.4,-126.0,-137.0,-142.6,-142.4,-138.1,-139.9,-144.4,-145.6,-142.3,-133.6,-117.5,-107.5,-98.1,-88.4,-73.5,-72.7,-71.9,-73.7,-75.6,-108.6,-113.3,-113.9,-110.0,-107.2,-106.4,-112.4,-117.1,-117.1,-113.7,-110.8,-110.4,-42.9,-54.1,-60.1,-58.8,-60.8,-56.1,-47.1,-39.1,-35.7,-34.7,-34.5,-36.3,-44.1,-50.9,-51.3,-51.9,-47.3,-46.3,-45.4,-45.2,864.8,862.6,860.9,856.4,846.6,832.1,814.1,798.6,794.9,800.1,811.2,821.1,826.1,828.9,830.7,834.5,839.4,829.3,826.0,819.3,811.7,805.3,801.0,805.0,809.4,812.3,813.5,799.5,791.1,782.5,774.0,786.8,784.5,781.7,782.3,783.7,819.4,814.4,811.8,808.9,810.4,813.0,805.9,806.0,806.2,808.5,804.6,804.2,792.2,780.6,775.5,774.1,774.7,778.4,788.3,778.5,773.8,773.0,774.1,779.7,789.6,777.3,776.0,776.3,786.0,776.7,775.9,777.1
7,0,0.409,0.98,1,22.6,-75.8,797.9,-0.062,0.171,-0.068,-48.2,-46.8,-43.2,-37.6,-29.1,-16.7,-2.6,12.8,30.8,49.4,66.6,82.0,92.2,97.3,99.4,101.0,101.6,-37.3,-30.0,-18.7,-6.1,5.6,30.0,42.5,55.8,68.1,76.5,19.5,19.0,18.4,18.0,7.3,14.1,20.6,27.2,33.4,-23.1,-16.0,-7.0,1.0,-6.8,-15.8,39.1,46.9,56.3,64.6,57.0,47.7,-0.3,6.0,14.0,20.2,26.4,36.8,47.3,38.4,29.3,22.3,15.7,7.2,3.8,15.2,21.2,27.7,42.3,28.4,21.7,15.5,-103.8,-83.0,-62.2,-42.3,-25.7,-13.3,-5.9,-1.4,-1.2,-4.7,-13.4,-24.3,-38.6,-55.7,-74.0,-92.3,-110.1,-126.5,-137.7,-143.4,-143.2,-138.9,-140.4,-145.1,-146.1,-142.7,-133.9,-118.0,-108.1,-98.7,-89.0,-73.8,-72.9,-72.1,-73.8,-75.7,-109.5,-114.6,-115.1,-110.6,-107.7,-107.0,-112.7,-118.0,-118.0,-114.2,-111.2,-110.6,-43.4,-54.3,-60.0,-58.7,-60.7,-56.1,-47.3,-39.6,-36.4,-35.4,-35.3,-37.1,-44.6,-51.1,-51.3,-52.0,-47.5,-46.5,-45.6,-45.5,870.4,867.9,866.0,861.4,851.8,837.5,819.8,803.8,799.4,804.2,814.8,824.2,829.3,832.4,834.4,838.2,843.1,834.7,831.3,824.4,816.5,810.3,805.8,809.0,812.9,815.2,816.0,804.1,796.0,787.7,779.4,792.3,790.1,787.3,787.5,788.5,824.5,819.5,816.8,813.8,815.4,818.2,810.1,809.8,809.9,812.0,808.2,808.1,797.3,785.9,781.0,779.3,779.8,783.2,792.4,783.3,778.8,778.2,779.4,785.0,794.8,782.5,781.0,781.1,790.2,781.6,781.0,782.4
8,0,0.477,0.98,1,22.3,-74.3,801.4,-0.040,0.174,-0.065,-47.8,-46.6,-43.3,-38.0,-29.9,-17.7,-3.6,12.0,30.1,48.7,66.2,81.8,92.2,97.6,99.8,101.4,102.0,-37.3,-30.2,-19.0,-6.5,5.2,29.6,42.1,55.3,67.6,76.1,19.1,18.5,18.0,17.5,6.9,13.7,20.2,26.9,33.3,-23.2,-16.2,-7.1,0.9,-6.9,-16.0,38.9,46.6,56.1,64.5,56.9,47.6,-1.1,5.6,13.8,19.9,26.1,36.8,47.8,38.4,28.9,21.9,15.3,6.8,3.1,14.9,20.9,27.4,42.8,27.9,21.3,15.1,-103.0,-82.7,-62.5,-42.9,-26.2,-13.3,-5.3,-0.4,-0.0,-3.6,-12.1,-22.8,-36.9,-53.9,-72.3,-90.6,-108.6,-125.3,-136.3,-141.7,-141.4,-137.0,-138.4,-143.2,-144.4,-141.1,-132.5,-116.2,-106.0,-96.4,-86.4,-71.6,-70.6,-69.8,-71.5,-73.4,-108.2,-113.3,-113.8,-109.0,-106.2,-105.6,-111.1,-116.5,-116.6,-112.7,-109.6,-109.0,-41.7,-52.1,-57.6,-56.3,-58.3,-53.9,-45.6,-37.9,-34.8,-33.8,-33.7,-35.3,-42.7,-48.7,-48.9,-49.7,-45.7,-44.9,-44.0,-43.9,872.9,870.6,868.9,864.9,856.2,842.5,825.1,808.8,803.9,808.3,818.9,828.4,833.5,836.4,838.0,841.4,845.8,837.2,833.4,826.2,818.2,811.9,807.3,810.2,813.9,816.1,816.8,806.1,798.2,790.0,781.8,795.5,793.2,790.3,790.6,791.5,827.5,822.2,819.3,816.4,818.1,821.0,812.0,811.6,811.7,813.8,810.1,810.0,802.2,790.0,784.6,782.9,783.2,786.8,796.5,787.1,782.3,781.8,783.2,789.3,799.6,786.3,784.7,784.7,794.3,784.9,784.5,786.0
9,0,0.545,0.98,1,23.7,-71.7,807.5,-0.002,0.180,-0.073,-46.9,-45.5,-41.9,-36.7,-28.8,-16.7,-2.5,13.1,31.3,50.0,67.7,83.5,94.1,99.5,101.7,103.4,104.0,-36.7,-29.0,-18.0,-6.0,5.5,31.2,43.2,55.4,67.2,76.1,20.3,19.9,19.5,19.2,8.5,15.4,21.9,28.6,34.8,-22.4,-15.3,-6.0,1.9,-5.9,-15.1,40.5,48.1,57.7,66.2,58.6,49.2,0.0,7.1,15.4,21.5,27.8,38.5,49.8,40.0,30.3,23.3,16.7,8.0,4.2,16.4,22.5,29.0,44.8,29.4,22.7,16.5,-102.0,-81.6,-61.4,-41.9,-24.8,-11.3,-2.6,2.7,3.0,-0.6,-9.2,-20.4,-35.1,-52.7,-71.5,-90.3,-108.8,-123.5,-133.7,-138.4,-138.1,-134.2,-135.7,-140.2,-141.5,-139.4,-132.1,-113.4,-102.8,-92.7,-82.2,-68.0,-67.0,-66.1,-67.9,-69.9,-105.4,-110.6,-111.0,-106.0,-103.1,-102.5,-108.4,-114.1,-114.4,-110.5,-107.0,-106.3,-38.5,-48.6,-53.9,-52.7,-54.7,-50.6,-42.8,-34.7,-31.5,-30.5,-30.3,-31.8,-39.4,-45.3,-45.5,-46.3,-42.7,-41.4,-40.5,-40.3,876.4,874.2,872.8,869.3,861.8,849.3,833.2,816.9,811.6,815.0,824.9,833.8,838.2,840.5,841.6,844.7,848.8,839.9,836.0,829.1,821.3,815.2,810.9,813.3,816.0,817.1,816.6,810.0,802.9,795.4,788.0,801.7,799.2,796.3,796.2,796.6,831.4,825.8,822.8,819.8,821.7,824.8,815.4,814.6,814.4,816.4,813.0,813.1,809.6,797.5,791.7,789.9,790.0,793.4,802.6,793.5,788.8,788.6,790.2,796.6,807.0,793.3,791.6,791.3,800.5,791.3,791.2,792.9
10,0,0.613,0.98,1,26.3,-69.0,812.0,0.032,0.174,-0.080,-45.0,-43.4,-39.7,-34.3,-26.4,-14.2,0.1,16.0,34.2,52.9,70.4,86.1,96.8,102.2,104.5,106.1,106.7,-34.5,-26.6,-15.5,-3.5,7.8,33.5,45.3,57.4,69.0,78.2,22.7,22.4,22.2,22.0,11.3,18.2,24.7,31.4,37.6,-20.2,-13.1,-3.8,4.2,-3.7,-12.9,43.1,50.5,60.1,68.7,61.3,51.9,2.9,10.0,18.4,24.5,30.9,41.7,52.9,43.5,33.7,26.7,19.9,11.0,7.1,19.3,25.5,32.0,48.0,32.7,26.0,19.7,-100.3,-79.9,-59.9,-40.4,-23.1,-9.3,-0.1,5.6,6.0,2.2,-6.6,-18.1,-33.1,-51.0,-70.0,-89.0,-107.9,-121.0,-130.8,-135.1,-134.7,-131.0,-132.7,-137.3,-138.8,-137.1,-130.4,-110.4,-99.6,-89.3,-78.6,-64.9,-63.8,-62.9,-64.8,-66.9,-102.6,-107.8,-108.2,-103.2,-100.2,-99.7,-105.9,-111.8,-112.2,-108.4,-104.7,-103.9,-35.4,-45.4,-50.6,-49.4,-51.4,-47.6,-40.0,-31.1,-27.3,-26.2,-26.0,-27.9,-36.3,-42.2,-42.5,-43.4,-39.8,-37.1,-36.1,-35.9,877.5,875.7,874.9,872.2,865.7,854.2,839.0,823.2,817.9,821.1,830.4,838.8,842.8,844.7,845.5,848.4,852.1,841.2,837.0,830.2,822.6,816.7,812.9,815.1,817.5,818.5,818.1,812.4,805.8,798.9,791.9,805.6,803.2,800.5,800.2,800.5,833.7,828.0,825.1,822.2,824.2,827.2,817.9,816.9,816.8,818.9,815.6,815.7,814.7,802.6,796.8,794.9,795.0,798.5,807.6,799.4,794.9,794.8,796.4,802.6,812.2,798.5,796.7,796.3,805.7,797.1,797.0,798.7
