	start_ms	end_ms	head	brows	right-hand	left-hand	body	video_name	sType	sentence	speaker	start_frames	end_frames	frame_count	main_sign	pos
0	300	866			ДЕВОЧКА			gen_q-dev_upala-alt	gen_q	dev_upala	alt	6.0	24.0	60	ДЕВОЧКА	N
1	866	2000		br_raise				gen_q-dev_upala-alt	gen_q	dev_upala	alt	24.0	60.0	60		
2	933	2000	turn_forward					gen_q-dev_upala-alt	gen_q	dev_upala	alt	26.0	60.0	60		
3	1033	2000			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-alt	gen_q	dev_upala	alt	29.0	60.0	60	CLF:ЧЕЛОВЕК:УПАСТЬ	V
4	1233	2000				ПЛОСКОСТЬ		gen_q-dev_upala-alt	gen_q	dev_upala	alt	36.0	60.0	60		
5	637	708			ДЕВОЧКА			gen_q-dev_upala-kar	gen_q	dev_upala	kar	16.0	18.0	52	ДЕВОЧКА	N
6	708	1559		br_raise				gen_q-dev_upala-kar	gen_q	dev_upala	kar	18.0	44.0	52		
7	885	1629			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-kar	gen_q	dev_upala	kar	23.0	46.0	52	CLF:ЧЕЛОВЕК:УПАСТЬ	V
8	1169	1629				ПЛОСКОСТЬ		gen_q-dev_upala-kar	gen_q	dev_upala	kar	32.0	46.0	52		
9	400	2033		br_raise				gen_q-dev_upala-makh	gen_q	dev_upala	makh	9.0	61.0	65		
10	566	933			ДЕВОЧКА			gen_q-dev_upala-makh	gen_q	dev_upala	makh	14.0	26.0	65	ДЕВОЧКА	N
11	1200	1800			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-makh	gen_q	dev_upala	makh	35.0	54.0	65	CLF:ЧЕЛОВЕК:УПАСТЬ	V
12	1200	1966	turn_forward					gen_q-dev_upala-makh	gen_q	dev_upala	makh	35.0	59.0	65		
13	1266	1800				ПЛОСКОСТЬ		gen_q-dev_upala-makh	gen_q	dev_upala	makh	37.0	54.0	65		
