video_name,PC_1,PC_2,PC_3,PC_4,sType,deaf,speaker_id,sentence
gen_q-dev_upala-alt,-1.1742933492393992,0.006152647591106342,-0.47865401432223303,0.20316656520652715,gen_q,deaf,alt,dev_upala
gen_q-dev_upala-gul,-0.6179987611756522,-0.3985575957410517,-0.7252655952511904,-0.22443604365466596,gen_q,hearing,gul,dev_upala
gen_q-dev_upala-kar,0.1954462526562878,-0.19104857222787247,0.17217926801870245,-0.14483547099966015,gen_q,deaf,kar,dev_upala
gen_q-dev_upala-makh,-1.3051673217115691,-0.3937213244075067,-0.2748741680910171,-0.03323559720651961,gen_q,deaf,makh,dev_upala
gen_q-dev_upala-mira,-0.5458477529265175,-0.39994005729627735,-0.027728300555974222,-0.06497469706689646,gen_q,deaf,mira,dev_upala
gen_q-dev_upala-shyr,0.05110821567702527,-0.24519145324288885,-0.20931457629176187,-0.1351446811314029,gen_q,hearing,shyr,dev_upala
gen_q-dev_upala-tanya,-1.4472122600169217,0.6487902292209736,0.4250960459996119,-0.13326014144256837,gen_q,deaf,tanya,dev_upala
gen_q-dev_upala-vik,-0.0087583856035032,-0.6906172151125519,0.05813804779281539,-0.021037300664439956,gen_q,hearing,vik,dev_upala
gen_q-dev_upala-x,0.21141833043494265,0.7952778584611915,-0.05995114624725484,-0.25941307999899843,gen_q,hearing,x,dev_upala
gen_q-dom_post-alt,-1.1500752026264083,0.4937038026657301,0.13107495293664023,0.03786097949864145,gen_q,deaf,alt,dom_post
gen_q-dom_post-kar,-0.708372502624812,-0.29954844058065405,0.40237982102573444,-0.09323435186344806,gen_q,deaf,kar,dom_post
gen_q-dom_post-makh,-1.4956069187927614,-0.3717142675489851,-0.3590577627175797,-0.20754206734857777,gen_q,deaf,makh,dom_post
gen_q-dom_post-mira,-0.258032066595508,0.17211320485517012,-0.16998339569867965,-0.1542879094325433,gen_q,deaf,mira,dom_post
gen_q-dom_post-shyr,0.04752963052325456,-0.08323399433275203,0.023202439908461325,-0.054237288245743136,gen_q,hearing,shyr,dom_post
gen_q-dom_post-tanya,-0.14348543669640001,0.04977821742245852,1.9888310834804337,-0.46098709852694153,gen_q,deaf,tanya,dom_post
gen_q-mal_chit-alt,-1.4703703830217507,0.2313505860496753,0.2129833885687104,-0.31185390766416754,gen_q,deaf,alt,mal_chit
gen_q-mal_chit-gul,-1.3855051572608477,-0.42022923733504014,-0.34437625615361894,-0.3250376723316135,gen_q,hearing,gul,mal_chit
gen_q-mal_chit-kar,0.19135904323482786,0.33425894831891767,-0.06083620401631562,-0.47959748546788317,gen_q,deaf,kar,mal_chit
gen_q-mal_chit-makh,-1.2911447477315958,-0.04018121598245317,-0.40042228212564535,-0.1130946185981572,gen_q,deaf,makh,mal_chit
gen_q-mal_chit-mira,-0.7995829591629593,-0.42378224494078287,0.006113539142608315,-0.08304852131399662,gen_q,deaf,mira,mal_chit
gen_q-mal_chit-shyr,3.386268990066433e-05,0.00019220386538469636,-0.05175091316741072,-0.2914944778934564,gen_q,hearing,shyr,mal_chit
gen_q-mal_chit-tanya,-0.6602221445206976,0.5435073145283796,0.38475527705943563,-0.25573200951797576,gen_q,deaf,tanya,mal_chit
gen_q-mal_chit-vik,-0.3004421821153271,-0.2968067622691052,0.22436568950154995,-0.2037451483688897,gen_q,hearing,vik,mal_chit
gen_q-mal_chit-x,-0.8628119703333594,1.8894144009298492,-0.8707996755303337,-0.7530393951932863,gen_q,hearing,x,mal_chit
gen_q-mama_ust-alt,-1.0509505423234438,0.6598702255061449,-0.22838345298662155,-0.0006491112886704564,gen_q,deaf,alt,mama_ust
