video_name,PC_1,PC_2,PC_3,PC_4,sType,deaf,speaker_id,sentence
gen_q-dev_upala-alt,-1.1742933492393992,0.0061526475911029,-0.4786540143222337,0.20316656520651882,gen_q,deaf,alt,dev_upala
gen_q-dev_upala-gul,-0.617998761175651,-0.39855759574105454,-0.7252655952511906,-0.22443604365466524,gen_q,hearing,gul,dev_upala
gen_q-dev_upala-kar,0.19544625265628848,-0.1910485722278722,0.17217926801870304,-0.14483547099965002,gen_q,deaf,kar,dev_upala
gen_q-dev_upala-makh,-1.305167321711568,-0.3937213244075118,-0.2748741680910177,-0.033235597206527745,gen_q,deaf,makh,dev_upala
gen_q-dev_upala-mira,-0.5458477529265164,-0.3999400572962797,-0.027728300555974084,-0.06497469706688849,gen_q,deaf,mira,dev_upala
gen_q-dev_upala-shyr,0.051108215677026045,-0.24519145324288916,-0.209314576291762,-0.1351446811313996,gen_q,hearing,shyr,dev_upala
gen_q-dev_upala-tanya,-1.447212260016924,0.6487902292209702,0.42509604599961265,-0.13326014144255283,gen_q,deaf,tanya,dev_upala
gen_q-dev_upala-vik,-0.008758385603501256,-0.690617215112553,0.058138047792815346,-0.021037300664439595,gen_q,hearing,vik,dev_upala
gen_q-dev_upala-x,0.21141833043494024,0.7952778584611941,-0.05995114624725419,-0.2594130799989786,gen_q,hearing,x,dev_upala
gen_q-dom_post-alt,-1.1500752026264103,0.49370380266572744,0.13107495293664068,0.0378609794986384,gen_q,deaf,alt,dom_post
gen_q-dom_post-kar,-0.7083725026248113,-0.29954844058065644,0.40237982102573544,-0.09323435186344364,gen_q,deaf,kar,dom_post
gen_q-dom_post-makh,-1.4956069187927596,-0.3717142675489894,-0.3590577627175803,-0.20754206734858482,gen_q,deaf,makh,dom_post
gen_q-dom_post-mira,-0.25803206659550854,0.17211320485516976,-0.16998339569867954,-0.1542879094325375,gen_q,deaf,mira,dom_post
gen_q-dom_post-shyr,0.04752963052325483,-0.08323399433275203,0.023202439908461422,-0.05423728824574377,gen_q,hearing,shyr,dom_post
gen_q-dom_post-tanya,-0.14348543669640024,0.04977821742245835,1.9888310834804355,-0.4609870985269171,gen_q,deaf,tanya,dom_post
gen_q-mal_chit-alt,-1.4703703830217512,0.23135058604967135,0.21298338856871046,-0.3118539076641698,gen_q,deaf,alt,mal_chit
