video_name,PC_1,PC_2,PC_3,PC_4,sType,deaf,speaker_id,sentence
gen_q-dev_upala-alt,-1.1742933492393992,0.006152647591097293,-0.4786540143222332,0.20316656520651866,gen_q,deaf,alt,dev_upala
gen_q-dev_upala-gul,-0.6179987611756491,-0.39855759574105776,-0.7252655952511906,-0.2244360436546639,gen_q,hearing,gul,dev_upala
gen_q-dev_upala-kar,0.19544625265628937,-0.19104857222787114,0.17217926801870292,-0.14483547099964872,gen_q,deaf,kar,dev_upala
gen_q-dev_upala-makh,-1.3051673217115658,-0.3937213244075178,-0.2748741680910174,-0.03323559720653049,gen_q,deaf,makh,dev_upala
gen_q-dev_upala-mira,-0.5458477529265144,-0.3999400572962827,-0.027728300555973973,-0.06497469706688766,gen_q,deaf,mira,dev_upala
gen_q-dev_upala-shyr,0.05110821567702725,-0.24519145324288905,-0.20931457629176195,-0.13514468113140066,gen_q,hearing,shyr,dev_upala
gen_q-dev_upala-tanya,-1.4472122600169275,0.6487902292209625,0.4250960459996125,-0.13326014144255133,gen_q,deaf,tanya,dev_upala
gen_q-dev_upala-vik,-0.008758385603497537,-0.6906172151125536,0.058138047792815485,-0.021037300664440123,gen_q,hearing,vik,dev_upala
gen_q-dev_upala-x,0.2114183304349361,0.7952778584611953,-0.05995114624725445,-0.2594130799989781,gen_q,hearing,x,dev_upala
gen_q-dom_post-alt,-1.1500752026264127,0.4937038026657212,0.13107495293664012,0.037860979498638425,gen_q,deaf,alt,dom_post
gen_q-dom_post-kar,-0.7083725026248093,-0.2995484405806601,0.40237982102573533,-0.09323435186344434,gen_q,deaf,kar,dom_post
gen_q-dom_post-makh,-1.4956069187927588,-0.3717142675489969,-0.35905776271757983,-0.20754206734858524,gen_q,deaf,makh,dom_post
gen_q-dom_post-mira,-0.2580320665955094,0.17211320485516846,-0.1699833956986796,-0.15428790943253484,gen_q,deaf,mira,dom_post
gen_q-dom_post-shyr,0.047529630523255276,-0.08323399433275173,0.02320243990846136,-0.05423728824574261,gen_q,hearing,shyr,dom_post
gen_q-dom_post-tanya,-0.14348543669640068,0.049778217422457666,1.9888310834804348,-0.46098709852691244,gen_q,deaf,tanya,dom_post
gen_q-mal_chit-alt,-1.470370383021752,0.23135058604966413,0.21298338856871035,-0.31185390766417126,gen_q,deaf,alt,mal_chit
gen_q-mal_chit-gul,-1.3855051572608454,-0.4202292373350527,-0.34437625615361994,-0.3250376723316251,gen_q,hearing,gul,mal_chit
gen_q-mal_chit-kar,0.1913590432348251,0.33425894831891967,-0.06083620401631565,-0.47959748546787795,gen_q,deaf,kar,mal_chit
gen_q-mal_chit-makh,-1.2911447477315954,-0.040181215982464435,-0.40042228212564634,-0.11309461859816852,gen_q,deaf,makh,mal_chit
gen_q-mal_chit-mira,-0.7995829591629557,-0.42378224494078987,0.006113539142609092,-0.08304852131397658,gen_q,deaf,mira,mal_chit
gen_q-mal_chit-shyr,3.386268990065999e-05,0.00019220386538478657,-0.051750913167411094,-0.291494477893467,gen_q,hearing,shyr,mal_chit
gen_q-mal_chit-tanya,-0.6602221445207023,0.5435073145283749,0.3847552770594357,-0.25573200951796726,gen_q,deaf,tanya,mal_chit
gen_q-mal_chit-vik,-0.30044218211532453,-0.2968067622691084,0.2243656895015497,-0.20374514836889557,gen_q,hearing,vik,mal_chit
gen_q-mal_chit-x,-0.862811970333375,1.8894144009298464,-0.8707996755303351,-0.7530393951933004,gen_q,hearing,x,mal_chit
gen_q-mama_ust-alt,-1.0509505423234498,0.6598702255061375,-0.22838345298662271,-0.0006491112886867906,gen_q,deaf,alt,mama_ust
gen_q-mama_ust-gul,-1.949795454262925,-0.33500314860826774,0.06340740634974507,-0.08526671764015747,gen_q,hearing,gul,mama_ust
gen_q-mama_ust-kar,0.5021540512560945,0.19503763987759706,0.011755823631428075,-0.21479634026577957,gen_q,deaf,kar,mama_ust
gen_q-mama_ust-makh,-1.8584798612713957,1.7629709808095124,0.22615188909501782,0.9778052885686448,gen_q,deaf,makh,mama_ust
gen_q-mama_ust-mira,-0.9225672187969743,-0.2325369455970686,-0.05591370978728202,-0.0736564054581735,gen_q,deaf,mira,mama_ust
gen_q-mama_ust-shyr,0.10259157266213352,-0.3086206442840653,-0.11129731378340732,-0.1488256205918199,gen_q,hearing,shyr,mama_ust
gen_q-mama_ust-tanya,-1.6725061976997815,0.09986711392186848,-1.182641719414538,-0.41373535926910754,gen_q,deaf,tanya,mama_ust
gen_q-mama_ust-vik,0.7396058216319226,-0.38301762227274705,-0.43555285085884465,0.18120942219374148,gen_q,hearing,vik,mama_ust
gen_q-mama_ust-x,-2.0619987070570067,1.425680990987925,-0.08309497841266433,-0.12149693793300509,gen_q,hearing,x,mama_ust
gen_q-okno_razb-alt,-1.2888324607387895,-0.006797938545502646,0.27610710057748505,-0.3619533647915354,gen_q,deaf,alt,okno_razb
gen_q-okno_razb-gul,-0.33358481855814237,-1.2049792782267612,-0.03249652745858775,0.4199470451521564,gen_q,hearing,gul,okno_razb
gen_q-okno_razb-kar,1.499561054275159,0.1768920368532865,0.2502847670306929,-0.5570534258342009,gen_q,deaf,kar,okno_razb
gen_q-okno_razb-makh,-2.5495095768155562,-0.09815291502079815,-0.3081602617103285,0.07969959663521572,gen_q,deaf,makh,okno_razb
gen_q-okno_razb-mira,-0.8583448820525312,-0.1583855087885215,-0.07476063459341653,0.09459446060784811,gen_q,deaf,mira,okno_razb
gen_q-okno_razb-shyr,0.32742227586642725,-0.06957713631628126,0.037713628782336084,-0.0714418651046567,gen_q,hearing,shyr,okno_razb
gen_q-okno_razb-tanya,-0.9318915380587288,0.16596641404692047,-1.1604234835294032,0.0588661100115678,gen_q,deaf,tanya,okno_razb
gen_q-okno_razb-x,-0.763572131588575,1.6843679133534217,-0.39102990760029294,-0.5178031907678073,gen_q,hearing,x,okno_razb
gen_q-papa_beg-alt,-1.9308820430005964,0.5353050664365766,0.4827936270457771,0.01972339257077424,gen_q,deaf,alt,papa_beg
gen_q-papa_beg-gul,-1.5092330429174579,-0.17423537738655553,-0.048930067904083996,-0.6325408477812259,gen_q,hearing,gul,papa_beg
gen_q-papa_beg-kar,0.20189587455298152,-0.3330724854284103,0.22806587052457283,-0.16771765742380917,gen_q,deaf,kar,papa_beg
gen_q-papa_beg-makh,-2.12949550465487,-0.49771297771017264,-0.32052421165335565,0.12118931504462038,gen_q,deaf,makh,papa_beg
gen_q-papa_beg-mira,-0.20986601810417915,1.5634730950704516,0.10453046975350799,0.6322726989282824,gen_q,deaf,mira,papa_beg
gen_q-papa_beg-shyr,-0.652309268365089,-0.3566080687726525,0.14068870259089974,-0.06958390903410223,gen_q,hearing,shyr,papa_beg
gen_q-papa_beg-tanya,-1.3794756148963245,0.6364866211340192,0.12534721934278176,-0.2567902376685858,gen_q,deaf,tanya,papa_beg
gen_q-papa_beg-vik,-0.25489167605121327,-0.5633157683484332,-0.018033157805169203,0.3542997478829195,gen_q,hearing,vik,papa_beg
gen_q-papa_beg-x,-1.2965808758018942,1.6202480160170847,-0.030611888777214546,-0.6265521006150224,gen_q,hearing,x,papa_beg
gen_q-reb_tanc-alt,-2.1866551402341337,0.154124853936831,0.20306579939929725,-0.18838240851217575,gen_q,deaf,alt,reb_tanc
gen_q-reb_tanc-gul,-1.8275976901845943,-0.41757295409685546,-0.21490193799674728,-0.07481160879497506,gen_q,hearing,gul,reb_tanc
gen_q-reb_tanc-kar,-0.5208154399280048,-0.12231507540922532,0.06446840497775959,-0.30429209489952624,gen_q,deaf,kar,reb_tanc
gen_q-reb_tanc-makh,-2.2922499093605655,-0.6119230579696833,-0.21277822435957572,0.3048379020183098,gen_q,deaf,makh,reb_tanc
gen_q-reb_tanc-mira,-0.391423068462453,-0.14957929432979344,-0.07361148863625933,-0.11022355032491189,gen_q,deaf,mira,reb_tanc
gen_q-reb_tanc-shyr,1.2014370354951969,0.09620770570439063,-0.07677058735819109,-0.20439871056408138,gen_q,hearing,shyr,reb_tanc
gen_q-reb_tanc-tanya,-1.884189110890492,-0.22584843027934692,-0.8457274324977984,-0.2561398094510545,gen_q,deaf,tanya,reb_tanc
gen_q-reb_tanc-vik,0.2321349427733892,0.17686126676762812,0.024001848718723393,-0.10516127347641156,gen_q,hearing,vik,reb_tanc
gen_q-reb_tanc-x,-1.1407973977970707,1.5443497981022194,-0.3871198507882218,-0.6386857960629475,gen_q,hearing,x,reb_tanc
gen_q-sob_est-alt,-2.1272876548004347,0.25327243802546473,0.3675743239479199,-0.11575261212757472,gen_q,deaf,alt,sob_est
gen_q-sob_est-gul,-1.257699770790634,-0.2074922290369029,-0.4291659207149024,-0.1329444473085388,gen_q,hearing,gul,sob_est
gen_q-sob_est-kar,0.3731255993968998,-0.182834428589424,-0.021065896203334572,-0.12550281674499192,gen_q,deaf,kar,sob_est
gen_q-sob_est-makh,-1.8746329527601455,-0.745881960116713,-0.0152031340795038,0.008793029412741016,gen_q,deaf,makh,sob_est
gen_q-sob_est-mira,-1.0285881281111247,-0.3867377501231781,0.12952291261607918,0.06279462453618742,gen_q,deaf,mira,sob_est
gen_q-sob_est-shyr,0.6474056502480202,0.4244599403563281,-0.3129399610198955,0.0073593107237878135,gen_q,hearing,shyr,sob_est
gen_q-sob_est-tanya,-1.0888483848015542,1.0148507177811201,-0.3165735227667459,-0.1092023092190013,gen_q,deaf,tanya,sob_est
gen_q-sob_est-x,-1.4795368931661936,1.232777643634933,-0.49108963618445145,-0.03719699110538925,gen_q,hearing,x,sob_est
gen_q-tel_slom-alt,-1.3771393264187828,0.3961133471745671,0.28792704329726493,-0.13231901310347058,gen_q,deaf,alt,tel_slom
gen_q-tel_slom-kar,0.09073244187446541,0.20103354725349187,-0.0162953365195731,-0.1961504174404701,gen_q,deaf,kar,tel_slom
gen_q-tel_slom-makh,-1.8282157659187428,-0.4380028881295551,-0.2882334263987474,0.12426115451277103,gen_q,deaf,makh,tel_slom
gen_q-tel_slom-mira,-0.6892712447939038,-0.2301854177830574,0.1057877919769803,0.1424197025175959,gen_q,deaf,mira,tel_slom
gen_q-tel_slom-shyr,-0.5153886324207659,-0.14390624454468848,0.09028873068877283,-0.026510103472615704,gen_q,hearing,shyr,tel_slom
gen_q-tel_slom-tanya,-0.13763923407773543,0.3569480133984346,-0.6607407061192787,0.02850323047344254,gen_q,deaf,tanya,tel_slom
gen_q-tel_slom-x,-1.2027144112619543,1.296300020068813,0.45615598142058816,-0.07348891807092739,gen_q,hearing,x,tel_slom
gen_q-uchit_smeh-alt,-1.4993692076762586,0.08667784380303145,0.8478558419886687,0.03853256743700864,gen_q,deaf,alt,uchit_smeh
gen_q-uchit_smeh-gul,-1.3522285150373259,-0.06706097990682802,-0.46937769995045664,0.08642209399145231,gen_q,hearing,gul,uchit_smeh
gen_q-uchit_smeh-kar,-0.0469883732600528,0.037363673984987425,0.041164816860018716,-0.3932676411027566,gen_q,deaf,kar,uchit_smeh
gen_q-uchit_smeh-makh,-1.7406521023810952,-0.3102562316434007,-0.4157300068445761,0.09705331929880365,gen_q,deaf,makh,uchit_smeh
gen_q-uchit_smeh-mira,-1.6630930364628278,-0.9898429330420537,0.275996863363799,-0.10150813316734406,gen_q,deaf,mira,uchit_smeh
gen_q-uchit_smeh-tanya,-0.8414555657350613,0.28324383529340597,-0.7524323543954341,-0.12012876226993596,gen_q,deaf,tanya,uchit_smeh
gen_q-uchit_smeh-vik,0.4756520270699558,-0.098196923889055,-0.19761683094075674,-0.15313797747901792,gen_q,hearing,vik,uchit_smeh
gen_q-uchit_smeh-x,-1.3753941252171502,1.1750192546916636,-0.31996001737770224,0.06294536698012784,gen_q,hearing,x,uchit_smeh
