,start_frames,start_frames,start_frames,end_frames,end_frames,end_frames
pos,N,Q,V,N,Q,V
video_name,,,,,,
gen_q-dev_upala-alt,6.0,,29.0,24.0,,60.0
gen_q-dev_upala-gul,10.0,,29.0,22.0,,49.0
gen_q-dev_upala-kar,16.0,,23.0,18.0,,46.0
gen_q-dev_upala-makh,14.0,,35.0,26.0,,54.0
gen_q-dev_upala-mira,9.0,,32.0,17.0,,53.0
gen_q-dev_upala-shyr,20.0,,30.0,25.0,,44.0
gen_q-dev_upala-tanya,8.0,,28.0,22.0,,50.0
gen_q-dev_upala-vik,3.0,,19.0,15.0,,35.0
gen_q-dev_upala-x,37.0,,54.0,50.0,,86.0
gen_q-dom_post-alt,16.0,,46.0,33.0,,73.0
gen_q-dom_post-kar,4.0,,21.0,18.0,,46.0
gen_q-dom_post-makh,14.0,,36.0,26.0,,53.0
gen_q-dom_post-mira,4.0,,30.0,18.0,,52.0
gen_q-dom_post-shyr,5.0,,22.0,19.0,,35.0
gen_q-dom_post-tanya,12.0,,37.0,32.0,,68.0
gen_q-mal_chit-alt,9.0,,43.0,26.0,,67.0
gen_q-mal_chit-gul,12.0,,33.0,27.0,,48.0
gen_q-mal_chit-kar,4.0,,21.0,16.0,,40.0
gen_q-mal_chit-makh,10.0,,35.0,27.0,,54.0
gen_q-mal_chit-mira,11.0,,34.0,20.0,,55.0
gen_q-mal_chit-shyr,7.0,,20.0,16.0,,28.0
gen_q-mal_chit-tanya,11.0,,37.0,25.0,,63.0
gen_q-mal_chit-vik,11.0,,28.0,25.0,,44.0
gen_q-mal_chit-x,21.0,,46.0,38.0,,82.0
gen_q-mama_ust-alt,15.0,,54.0,34.0,,70.0
gen_q-mama_ust-gul,16.0,,30.0,28.0,,47.0
gen_q-mama_ust-kar,6.0,,31.0,22.0,,43.0
gen_q-mama_ust-makh,17.0,,43.0,33.0,,59.0
gen_q-mama_ust-mira,8.0,,39.0,27.0,,49.0
gen_q-mama_ust-shyr,11.0,,22.0,20.0,,31.0
gen_q-mama_ust-tanya,13.0,,50.0,48.0,,72.0
gen_q-mama_ust-vik,17.0,,55.0,53.0,,76.0
gen_q-mama_ust-x,17.0,,40.0,37.0,,70.0
gen_q-okno_razb-alt,9.0,,40.0,32.0,,63.0
gen_q-okno_razb-gul,13.0,,30.0,27.0,,44.0
gen_q-okno_razb-kar,0.0,,17.0,12.0,,31.0
gen_q-okno_razb-makh,13.0,,36.0,31.0,,58.0
gen_q-okno_razb-mira,8.0,,35.0,24.0,,54.0
gen_q-okno_razb-shyr,5.0,,14.0,12.0,,22.0
gen_q-okno_razb-tanya,10.0,,32.0,28.0,,47.0
gen_q-okno_razb-x,23.0,,43.0,40.0,,69.0
gen_q-papa_beg-alt,13.0,,42.0,33.0,,61.0
gen_q-papa_beg-gul,5.0,,28.0,24.0,,46.0
gen_q-papa_beg-kar,0.0,,28.0,23.0,,45.0
gen_q-papa_beg-makh,5.0,,30.0,24.0,,60.0
gen_q-papa_beg-mira,16.0,,45.0,36.0,,67.0
gen_q-papa_beg-shyr,14.0,,27.0,24.0,,34.0
gen_q-papa_beg-tanya,11.0,,37.0,34.0,,67.0
gen_q-papa_beg-vik,17.0,,38.0,34.0,,54.0
gen_q-papa_beg-x,13.0,,40.0,36.0,,78.0
gen_q-reb_tanc-alt,5.0,,39.0,26.0,,61.0
gen_q-reb_tanc-gul,8.0,,26.0,24.0,,38.0
gen_q-reb_tanc-kar,3.0,,24.0,18.0,,40.0
gen_q-reb_tanc-makh,26.0,,37.0,32.0,,61.0
gen_q-reb_tanc-mira,13.0,,39.0,31.0,,59.0
gen_q-reb_tanc-shyr,4.0,,14.0,13.0,,24.0
gen_q-reb_tanc-tanya,4.0,,31.0,25.0,,50.0
gen_q-reb_tanc-vik,9.0,,23.0,20.0,,41.0
gen_q-reb_tanc-x,12.0,,37.0,34.0,,70.0
gen_q-sob_est-alt,23.0,,49.0,36.0,,65.0
gen_q-sob_est-gul,11.0,,35.0,30.0,,50.0
gen_q-sob_est-kar,0.0,,19.0,13.0,,35.0
gen_q-sob_est-makh,17.0,,42.0,36.0,,59.0
gen_q-sob_est-mira,22.0,,41.0,32.0,,59.0
gen_q-sob_est-shyr,0.0,,10.0,9.0,,22.0
gen_q-sob_est-tanya,14.0,,31.0,26.0,,51.0
gen_q-sob_est-x,6.0,,29.0,28.0,,60.0
gen_q-tel_slom-alt,17.0,,43.0,31.0,,64.0
gen_q-tel_slom-kar,7.0,,19.0,15.0,,39.0
gen_q-tel_slom-makh,22.0,,44.0,41.0,,60.0
gen_q-tel_slom-mira,11.0,,29.0,24.0,,58.0
gen_q-tel_slom-shyr,11.0,,21.0,21.0,,32.0
gen_q-tel_slom-tanya,11.0,,37.0,34.0,,61.0
gen_q-tel_slom-x,28.0,,50.0,45.0,,69.0
gen_q-uchit_smeh-alt,10.0,,38.0,29.0,,66.0
gen_q-uchit_smeh-gul,12.0,,27.0,25.0,,40.0
gen_q-uchit_smeh-kar,-0.0,,19.0,13.0,,36.0
gen_q-uchit_smeh-makh,12.0,,37.0,34.0,,52.0
gen_q-uchit_smeh-mira,0.0,,30.0,24.0,,50.0
gen_q-uchit_smeh-tanya,12.0,,46.0,39.0,,64.0
gen_q-uchit_smeh-vik,9.0,,33.0,30.0,,48.0
gen_q-uchit_smeh-x,21.0,,44.0,39.0,,81.0
part_q-dev_upala-alt,26.0,4.0,49.0,34.0,17.0,69.0
part_q-dev_upala-gul,27.0,10.0,38.0,37.0,23.0,53.0
part_q-dev_upala-kar,29.0,10.0,37.0,34.0,24.0,49.0
part_q-dev_upala-makh,32.0,13.0,48.0,41.0,29.0,69.0
part_q-dev_upala-mira,36.0,0.0,56.0,47.0,29.0,64.0
part_q-dev_upala-shyr,16.0,6.0,23.0,20.0,14.0,32.0
