	fps	frame_count	video_name
0	30.0	60	gen_q-dev_upala-alt
1	28.222	52	gen_q-dev_upala-kar
2	30.0	65	gen_q-dev_upala-makh
3	30.0	55	gen_q-dev_upala-mira
4	30.0	58	gen_q-dev_upala-tanya
5	30.0	74	part_q-dev_upala-alt
6	28.222	54	part_q-dev_upala-kar
7	30.0	90	part_q-dev_upala-makh
8	30.0	64	part_q-dev_upala-mira
9	30.0	85	part_q-dev_upala-tanya
10	30.0	87	st-dev_upala-alt
11	28.222	57	st-dev_upala-kar
12	30.0	81	st-dev_upala-makh
13	30.0	61	st-dev_upala-mira
14	30.0	70	st-dev_upala-tanya
15	30.0	89	gen_q-dom_post-alt
16	22.9	49	gen_q-dom_post-kar
17	30.0	67	gen_q-dom_post-makh
18	30.0	55	gen_q-dom_post-mira
19	30.0	77	gen_q-dom_post-tanya
20	30.0	93	part_q-dom_post-alt
21	22.9	63	part_q-dom_post-kar
22	30.0	87	part_q-dom_post-makh
23	30.0	90	part_q-dom_post-mira
24	30.0	100	part_q-dom_post-tanya
25	30.0	107	st-dom_post-alt
26	22.9	45	st-dom_post-kar
27	30.0	79	st-dom_post-makh
28	30.0	71	st-dom_post-mira
29	30.0	82	st-dom_post-tanya
30	30.0	80	gen_q-mal_chit-alt
31	19.544	47	gen_q-mal_chit-kar
32	30.0	64	gen_q-mal_chit-makh
33	30.0	64	gen_q-mal_chit-mira
34	30.0	77	gen_q-mal_chit-tanya
35	30.0	96	part_q-mal_chit-alt
36	19.544	58	part_q-mal_chit-kar
37	30.0	107	part_q-mal_chit-makh
38	30.0	68	part_q-mal_chit-mira
39	30.0	91	part_q-mal_chit-tanya
40	30.0	69	st-mal_chit-mira
41	30.0	96	st-mal_chit-alt
42	19.544	59	st-mal_chit-kar
43	30.0	92	st-mal_chit-makh
44	30.0	77	st-mal_chit-tanya
45	22.813	46	gen_q-mama_ust-kar
46	30.0	82	gen_q-mama_ust-alt
47	30.0	90	gen_q-mama_ust-makh
48	30.0	69	gen_q-mama_ust-mira
49	30.0	72	gen_q-mama_ust-tanya
50	22.813	52	part_q-mama_ust-kar
51	30.0	105	part_q-mama_ust-alt
52	30.0	89	part_q-mama_ust-makh
53	30.0	77	part_q-mama_ust-mira
54	30.0	87	part_q-mama_ust-tanya
55	22.813	48	st-mama_ust-kar
56	30.0	64	st-mama_ust-alt
57	30.0	86	st-mama_ust-makh
58	30.0	73	st-mama_ust-mira
59	30.0	53	st-mama_ust-tanya
60	30.0	76	gen_q-okno_razb-alt
